DSType;numPoints;numColors;gamma;alpha;r;k;rangeSpace;rangeBuildTime;rangeQueryTime;modeSpace;modeBuildTime;modeQueryTime
AAS1DModeRangeTreesDS;25000;10000;0;0;158;5;700000;1298081900;75177;100008;112661900;9956139
AAS1DModeRangeTreesDS;25000;10000;0;0;158;10;700000;1298081900;35149;100008;112661900;9200556
AAS1DModeRangeTreesDS;25000;10000;0;0;158;50;700000;1298081900;32138;100008;112661900;9250195
AAS1DModeRangeTreesDS;25000;10000;0;0;158;100;700000;1298081900;32920;100008;112661900;13907808
AAS1DModeRangeTreesDS;25000;10000;0;0;158;500;700000;1298081900;43150;100008;112661900;11916584
AAS1DModeRangeTreesDS;25000;10000;0;0;158;1000;700000;1298081900;45931;100008;112661900;9530288
AAS1DModeRangeTreesDS;25000;10000;0;0;158;5000;700000;1298081900;34490;100008;112661900;11266602
AAS1DModeRangeTreesDS;25000;10000;0;0;158;10000;700000;1298081900;31511;100008;112661900;8880686
AAS1DModeRangeTreesDS;25000;10000;0;0;158;5;700000;564944200;8907;100008;2703400;154725
AAS1DModeRangeTreesDS;25000;10000;0;0;158;10;700000;564944200;14124;100008;2703400;137308
AAS1DModeRangeTreesDS;25000;10000;0;0;158;50;700000;564944200;6163;100008;2703400;140348
AAS1DModeRangeTreesDS;25000;10000;0;0;158;100;700000;564944200;6293;100008;2703400;150235
AAS1DModeRangeTreesDS;25000;10000;0;0;158;500;700000;564944200;6806;100008;2703400;140569
AAS1DModeRangeTreesDS;25000;10000;0;0;158;1000;700000;564944200;5624;100008;2703400;125659
AAS1DModeRangeTreesDS;25000;10000;0;0;158;5000;700000;564944200;5502;100008;2703400;164427
AAS1DModeRangeTreesDS;25000;10000;0;0;158;10000;700000;564944200;6001;100008;2703400;172589
AAS1DModeRangeTreesDS;26000;10000;0;0;161;5;728000;744522400;9014;104008;2387600;179108
AAS1DModeRangeTreesDS;26000;10000;0;0;161;10;728000;744522400;10555;104008;2387600;162815
AAS1DModeRangeTreesDS;26000;10000;0;0;161;50;728000;744522400;10856;104008;2387600;167461
AAS1DModeRangeTreesDS;26000;10000;0;0;161;100;728000;744522400;11030;104008;2387600;184116
AAS1DModeRangeTreesDS;26000;10000;0;0;161;500;728000;744522400;13070;104008;2387600;197325
AAS1DModeRangeTreesDS;26000;10000;0;0;161;1000;728000;744522400;18247;104008;2387600;202392
AAS1DModeRangeTreesDS;26000;10000;0;0;161;5000;728000;744522400;8448;104008;2387600;179793
AAS1DModeRangeTreesDS;26000;10000;0;0;161;10000;728000;744522400;7464;104008;2387600;174854
AAS1DModeRangeTreesDS;1000;1000;0;0;31;5;28000;639100;2101;4008;183900;7382
AAS1DModeRangeTreesDS;1000;1000;0;0;31;10;28000;639100;2986;4008;183900;9211
AAS1DModeRangeTreesDS;1000;1000;0;0;31;50;28000;639100;3461;4008;183900;8312
AAS1DModeRangeTreesDS;1000;1000;0;0;31;100;28000;639100;2251;4008;183900;7289
AAS1DModeRangeTreesDS;1000;1000;0;0;31;500;28000;639100;2315;4008;183900;9327
AAS1DModeRangeTreesDS;1000;1000;0;0;31;1000;28000;639100;2061;4008;183900;5232
AAS1DModeRangeTreesDS;1000;1000;0;0;31;5;28000;1125700;26762;4008;2134200;1087511
