DSType;numPoints;numColors;gamma;alpha;r;k;rangeSpace;rangeBuildTime;rangeQueryTime;modeSpace;modeBuildTime;modeQueryTime
RustDSType::Trivial;50000;1000;100;0;223;5;25065003;201835200;126612;3600168;6231100;131663
RustDSType::Trivial;50000;1000;100;0;223;10;25065003;201835200;144133;3600168;6231100;245555
RustDSType::Trivial;50000;1000;100;0;223;50;25065003;201835200;156872;3600168;6231100;382548
RustDSType::Trivial;50000;1000;100;0;223;100;25065003;201835200;173568;3600168;6231100;583700
RustDSType::Trivial;50000;1000;100;0;223;500;25065003;201835200;213965;3600168;6231100;865378
RustDSType::Trivial;50000;1000;100;0;223;1000;25065003;201835200;208741;3600168;6231100;1716281
RustDSType::Trivial;50000;1000;100;0;223;5000;25065003;201835200;360538;3600168;6231100;1335694
RustDSType::Trivial;50000;1000;100;0;223;10000;25065003;201835200;202688;3600168;6231100;2775648
RustDSType::Trivial;50000;1000;100;0;223;30000;25065003;201835200;193845;3600168;6231100;3942863
RustDSType::Trivial;50000;1000;100;0.1;223;5;25065003;419994500;261899;3600168;12300700;300739
RustDSType::Trivial;50000;1000;100;0.1;223;10;25065003;419994500;359919;3600168;12300700;541887
RustDSType::Trivial;50000;1000;100;0.1;223;50;25065003;419994500;306218;3600168;12300700;856368
RustDSType::Trivial;50000;1000;100;0.1;223;100;25065003;419994500;317008;3600168;12300700;1224475
RustDSType::Trivial;50000;1000;100;0.1;223;500;25065003;419994500;341752;3600168;12300700;1625085
RustDSType::Trivial;50000;1000;100;0.1;223;1000;25065003;419994500;353950;3600168;12300700;2543180
RustDSType::Trivial;50000;1000;100;0.1;223;5000;25065003;419994500;659275;3600168;12300700;4715019
RustDSType::Trivial;50000;1000;100;0.1;223;10000;25065003;419994500;586082;3600168;12300700;3865200
RustDSType::Trivial;50000;1000;100;0.1;223;30000;25065003;419994500;407969;3600168;12300700;4941527
RustDSType::Trivial;50000;1000;100;0.2;223;5;25065003;535215600;229001;3600168;18998600;282325
RustDSType::Trivial;50000;1000;100;0.2;223;10;25065003;535215600;222935;3600168;18998600;567246
RustDSType::Trivial;50000;1000;100;0.2;223;50;25065003;535215600;288016;3600168;18998600;910725
RustDSType::Trivial;50000;1000;100;0.2;223;100;25065003;535215600;294985;3600168;18998600;1216499
RustDSType::Trivial;50000;1000;100;0.2;223;500;25065003;535215600;337582;3600168;18998600;1647343
RustDSType::Trivial;50000;1000;100;0.2;223;1000;25065003;535215600;316182;3600168;18998600;2074849
RustDSType::Trivial;50000;1000;100;0.2;223;5000;25065003;535215600;374163;3600168;18998600;2806453
RustDSType::Trivial;50000;1000;100;0.2;223;10000;25065003;535215600;365178;3600168;18998600;3846503
RustDSType::Trivial;50000;1000;100;0.2;223;30000;25065003;535215600;359947;3600168;18998600;5154565
RustDSType::Trivial;50000;1000;100;0.3;223;5;25065003;504505000;262296;3600168;10939900;293334
RustDSType::Trivial;50000;1000;100;0.3;223;10;25065003;504505000;261626;3600168;10939900;583454
RustDSType::Trivial;50000;1000;100;0.3;223;50;25065003;504505000;278270;3600168;10939900;906807
RustDSType::Trivial;50000;1000;100;0.3;223;100;25065003;504505000;251079;3600168;10939900;1221676
RustDSType::Trivial;50000;1000;100;0.3;223;500;25065003;504505000;367663;3600168;10939900;1703046
RustDSType::Trivial;50000;1000;100;0.3;223;1000;25065003;504505000;346750;3600168;10939900;2126855
RustDSType::Trivial;50000;1000;100;0.3;223;5000;25065003;504505000;398529;3600168;10939900;4381046
RustDSType::Trivial;50000;1000;100;0.3;223;10000;25065003;504505000;601871;3600168;10939900;4364769
RustDSType::Trivial;50000;1000;100;0.3;223;30000;25065003;504505000;406771;3600168;10939900;5172625
RustDSType::Trivial;50000;1000;100;0.4;223;5;25065003;541395000;339667;3600168;17232400;295077
RustDSType::Trivial;50000;1000;100;0.4;223;10;25065003;541395000;241372;3600168;17232400;572002
RustDSType::Trivial;50000;1000;100;0.4;223;50;25065003;541395000;269480;3600168;17232400;894676
RustDSType::Trivial;50000;1000;100;0.4;223;100;25065003;541395000;295084;3600168;17232400;1192908
RustDSType::Trivial;50000;1000;100;0.4;223;500;25065003;541395000;285299;3600168;17232400;1649521
RustDSType::Trivial;50000;1000;100;0.4;223;1000;25065003;541395000;388405;3600168;17232400;2095644
RustDSType::Trivial;50000;1000;100;0.4;223;5000;25065003;541395000;423278;3600168;17232400;2682311
RustDSType::Trivial;50000;1000;100;0.4;223;10000;25065003;541395000;448373;3600168;17232400;3638922
RustDSType::Trivial;50000;1000;100;0.4;223;30000;25065003;541395000;757749;3600168;17232400;5881551
RustDSType::Trivial;50000;1000;100;0.5;223;5;25065003;534773000;258066;3600168;16054500;308208
RustDSType::Trivial;50000;1000;100;0.5;223;10;25065003;534773000;271717;3600168;16054500;567739
