DSType;numPoints;numColors;gamma;alpha;r;k;rangeSpace;rangeBuildTime;rangeQueryTime;modeSpace;modeBuildTime;modeQueryTime
RustDSType::Trivial;5000;2000;0;0;17;5;2040635;26988000;58144;360168;774800;19386
RustDSType::Trivial;5000;2000;0;0;17;10;2040635;26988000;65239;360168;774800;40104
RustDSType::Trivial;5000;2000;0;0;17;50;2040635;26988000;67740;360168;774800;64567
RustDSType::Trivial;5000;2000;0;0;17;100;2040635;26988000;66867;360168;774800;88022
RustDSType::Trivial;5000;2000;0;0;17;500;2040635;26988000;76220;360168;774800;136044
RustDSType::Trivial;5000;2000;0;0;17;1000;2040635;26988000;62370;360168;774800;182414
RustDSType::Trivial;5000;2000;0;0;17;5000;2040635;26988000;76070;360168;774800;321063
RustDSType::Trivial;10000;2000;0;0;21;5;4361259;42122900;58746;720168;1224000;30293
RustDSType::Trivial;10000;2000;0;0;21;10;4361259;42122900;67949;720168;1224000;61513
RustDSType::Trivial;10000;2000;0;0;21;50;4361259;42122900;62902;720168;1224000;94321
RustDSType::Trivial;10000;2000;0;0;21;100;4361259;42122900;64917;720168;1224000;129704
RustDSType::Trivial;10000;2000;0;0;21;500;4361259;42122900;71961;720168;1224000;190871
RustDSType::Trivial;10000;2000;0;0;21;1000;4361259;42122900;92894;720168;1224000;287914
RustDSType::Trivial;10000;2000;0;0;21;5000;4361259;42122900;103794;720168;1224000;439082
RustDSType::Trivial;10000;2000;0;0;21;10000;4361259;42122900;94791;720168;1224000;613946
RustDSType::Trivial;15000;2000;0;0;24;5;6771259;156219600;167488;1080168;4699800;109278
RustDSType::Trivial;15000;2000;0;0;24;10;6771259;156219600;190748;1080168;4699800;195229
RustDSType::Trivial;15000;2000;0;0;24;50;6771259;156219600;210378;1080168;4699800;314786
RustDSType::Trivial;15000;2000;0;0;24;100;6771259;156219600;231543;1080168;4699800;401104
RustDSType::Trivial;15000;2000;0;0;24;500;6771259;156219600;269230;1080168;4699800;664508
RustDSType::Trivial;15000;2000;0;0;24;1000;6771259;156219600;291508;1080168;4699800;835355
RustDSType::Trivial;15000;2000;0;0;24;5000;6771259;156219600;282873;1080168;4699800;1338070
RustDSType::Trivial;15000;2000;0;0;24;10000;6771259;156219600;301575;1080168;4699800;1892478
RustDSType::Trivial;20000;2000;0;0;27;5;9282507;198010700;193846;1440168;6251100;128359
RustDSType::Trivial;20000;2000;0;0;27;10;9282507;198010700;211957;1440168;6251100;270611
RustDSType::Trivial;20000;2000;0;0;27;50;9282507;198010700;247581;1440168;6251100;402152
RustDSType::Trivial;20000;2000;0;0;27;100;9282507;198010700;258426;1440168;6251100;594982
RustDSType::Trivial;20000;2000;0;0;27;500;9282507;198010700;302662;1440168;6251100;818525
RustDSType::Trivial;20000;2000;0;0;27;1000;9282507;198010700;293913;1440168;6251100;1012625
RustDSType::Trivial;20000;2000;0;0;27;5000;9282507;198010700;308106;1440168;6251100;1625620
RustDSType::Trivial;20000;2000;0;0;27;10000;9282507;198010700;363009;1440168;6251100;2347616
RustDSType::Trivial;25000;2000;0;0;29;5;11832507;252932500;228985;1800168;8188400;145061
RustDSType::Trivial;25000;2000;0;0;29;10;11832507;252932500;240830;1800168;8188400;320815
RustDSType::Trivial;25000;2000;0;0;29;50;11832507;252932500;252844;1800168;8188400;515489
RustDSType::Trivial;25000;2000;0;0;29;100;11832507;252932500;288624;1800168;8188400;682839
RustDSType::Trivial;25000;2000;0;0;29;500;11832507;252932500;288675;1800168;8188400;908839
RustDSType::Trivial;25000;2000;0;0;29;1000;11832507;252932500;305361;1800168;8188400;1289173
RustDSType::Trivial;25000;2000;0;0;29;5000;11832507;252932500;331293;1800168;8188400;1901773
RustDSType::Trivial;25000;2000;0;0;29;10000;11832507;252932500;338872;1800168;8188400;2609026
RustDSType::Trivial;30000;2000;0;0;31;5;14382507;301941900;271077;2160168;10708500;200632
RustDSType::Trivial;30000;2000;0;0;31;10;14382507;301941900;244674;2160168;10708500;396357
RustDSType::Trivial;30000;2000;0;0;31;50;14382507;301941900;313325;2160168;10708500;690988
RustDSType::Trivial;30000;2000;0;0;31;100;14382507;301941900;322701;2160168;10708500;830377
RustDSType::Trivial;30000;2000;0;0;31;500;14382507;301941900;311898;2160168;10708500;1140909
RustDSType::Trivial;30000;2000;0;0;31;1000;14382507;301941900;310501;2160168;10708500;1491368
RustDSType::Trivial;30000;2000;0;0;31;5000;14382507;301941900;346025;2160168;10708500;2001250
RustDSType::Trivial;30000;2000;0;0;31;10000;14382507;301941900;356719;2160168;10708500;2903330
RustDSType::Trivial;30000;2000;0;0;31;30000;14382507;301941900;407638;2160168;10708500;4099330
