DSType;numPoints;numColors;gamma;alpha;r;k;rangeSpace;rangeBuildTime;rangeQueryTime;modeSpace;modeBuildTime;modeQueryTime
RustDSType::Trivial;50000;1;0;0;36;5;25065003;168393400;138229;3600168;5906600;125032
RustDSType::Trivial;50000;1;0;0;36;10;25065003;168393400;144325;3600168;5906600;273660
RustDSType::Trivial;50000;1;0;0;36;50;25065003;168393400;167644;3600168;5906600;387137
RustDSType::Trivial;50000;1;0;0;36;100;25065003;168393400;125323;3600168;5906600;473518
RustDSType::Trivial;50000;1;0;0;36;500;25065003;168393400;140937;3600168;5906600;626421
RustDSType::Trivial;50000;1;0;0;36;1000;25065003;168393400;146969;3600168;5906600;808744
RustDSType::Trivial;50000;1;0;0;36;5000;25065003;168393400;208738;3600168;5906600;1054375
RustDSType::Trivial;50000;1;0;0;36;10000;25065003;168393400;168322;3600168;5906600;1379429
RustDSType::Trivial;50000;1;0;0;36;30000;25065003;168393400;171900;3600168;5906600;1763716
RustDSType::Trivial;50000;10;0;0;36;5;25065003;148162000;106906;3600168;5640700;111641
RustDSType::Trivial;50000;10;0;0;36;10;25065003;148162000;107582;3600168;5640700;226707
RustDSType::Trivial;50000;10;0;0;36;50;25065003;148162000;138691;3600168;5640700;351217
RustDSType::Trivial;50000;10;0;0;36;100;25065003;148162000;124124;3600168;5640700;478302
RustDSType::Trivial;50000;10;0;0;36;500;25065003;148162000;139275;3600168;5640700;672834
RustDSType::Trivial;50000;10;0;0;36;1000;25065003;148162000;185196;3600168;5640700;815797
RustDSType::Trivial;50000;10;0;0;36;5000;25065003;148162000;164456;3600168;5640700;1067616
RustDSType::Trivial;50000;10;0;0;36;10000;25065003;148162000;189315;3600168;5640700;1368599
RustDSType::Trivial;50000;10;0;0;36;30000;25065003;148162000;174301;3600168;5640700;1759499
RustDSType::Trivial;50000;100;0;0;36;5;25065003;148679300;105007;3600168;5501700;113432
RustDSType::Trivial;50000;100;0;0;36;10;25065003;148679300;106745;3600168;5501700;233158
RustDSType::Trivial;50000;100;0;0;36;50;25065003;148679300;117493;3600168;5501700;349180
RustDSType::Trivial;50000;100;0;0;36;100;25065003;148679300;122065;3600168;5501700;481090
RustDSType::Trivial;50000;100;0;0;36;500;25065003;148679300;139765;3600168;5501700;640800
RustDSType::Trivial;50000;100;0;0;36;1000;25065003;148679300;158331;3600168;5501700;849899
RustDSType::Trivial;50000;100;0;0;36;5000;25065003;148679300;168792;3600168;5501700;1084376
RustDSType::Trivial;50000;100;0;0;36;10000;25065003;148679300;168714;3600168;5501700;1396855
RustDSType::Trivial;50000;100;0;0;36;30000;25065003;148679300;171074;3600168;5501700;1801180
RustDSType::Trivial;50000;1000;0;0;36;5;25065003;148653600;103267;3600168;5664500;113878
RustDSType::Trivial;50000;1000;0;0;36;10;25065003;148653600;109249;3600168;5664500;238043
RustDSType::Trivial;50000;1000;0;0;36;50;25065003;148653600;122109;3600168;5664500;352792
RustDSType::Trivial;50000;1000;0;0;36;100;25065003;148653600;124953;3600168;5664500;475119
RustDSType::Trivial;50000;1000;0;0;36;500;25065003;148653600;140433;3600168;5664500;646901
RustDSType::Trivial;50000;1000;0;0;36;1000;25065003;148653600;149224;3600168;5664500;832001
RustDSType::Trivial;50000;1000;0;0;36;5000;25065003;148653600;163431;3600168;5664500;1131591
RustDSType::Trivial;50000;1000;0;0;36;10000;25065003;148653600;167949;3600168;5664500;1509918
RustDSType::Trivial;50000;1000;0;0;36;30000;25065003;148653600;211190;3600168;5664500;1912591
RustDSType::Trivial;50000;10000;0;0;36;5;25065003;147222700;102062;3600168;5593300;110558
RustDSType::Trivial;50000;10000;0;0;36;10;25065003;147222700;106888;3600168;5593300;225068
RustDSType::Trivial;50000;10000;0;0;36;50;25065003;147222700;117401;3600168;5593300;348655
RustDSType::Trivial;50000;10000;0;0;36;100;25065003;147222700;123856;3600168;5593300;475206
RustDSType::Trivial;50000;10000;0;0;36;500;25065003;147222700;142438;3600168;5593300;636234
RustDSType::Trivial;50000;10000;0;0;36;1000;25065003;147222700;149655;3600168;5593300;853098
RustDSType::Trivial;50000;10000;0;0;36;5000;25065003;147222700;220580;3600168;5593300;1237795
RustDSType::Trivial;50000;10000;0;0;36;10000;25065003;147222700;166838;3600168;5593300;1729511
RustDSType::Trivial;50000;10000;0;0;36;30000;25065003;147222700;170982;3600168;5593300;2395783
RustDSType::Trivial;50000;50000;0;0;36;5;25065003;151220200;105711;3600168;5610900;112935
RustDSType::Trivial;50000;50000;0;0;36;10;25065003;151220200;106766;3600168;5610900;228991
RustDSType::Trivial;50000;50000;0;0;36;50;25065003;151220200;117934;3600168;5610900;355345
