DSType;numPoints;numColors;gamma;alpha;r;k;rangeSpace;rangeBuildTime;rangeQueryTime;modeSpace;modeBuildTime;modeQueryTime
RustDSType::Trivial;50000;1000;0;0;2;5;25065003;184042300;140261;3600168;6744600;127043
RustDSType::Trivial;50000;1000;0;0;2;10;25065003;184042300;167095;3600168;6744600;268965
RustDSType::Trivial;50000;1000;0;0;2;50;25065003;184042300;189189;3600168;6744600;418411
RustDSType::Trivial;50000;1000;0;0;2;100;25065003;184042300;156449;3600168;6744600;499119
RustDSType::Trivial;50000;1000;0;0;2;500;25065003;184042300;176428;3600168;6744600;662076
RustDSType::Trivial;50000;1000;0;0;2;1000;25065003;184042300;171584;3600168;6744600;929859
RustDSType::Trivial;50000;1000;0;0;2;5000;25065003;184042300;187260;3600168;6744600;1148179
RustDSType::Trivial;50000;1000;0;0;2;10000;25065003;184042300;193824;3600168;6744600;1525305
RustDSType::Trivial;50000;1000;0;0;2;30000;25065003;184042300;194146;3600168;6744600;1993507
RustDSType::Trivial;50000;1000;0;0;5;5;25065003;157556800;122245;3600168;5864300;118406
RustDSType::Trivial;50000;1000;0;0;5;10;25065003;157556800;141019;3600168;5864300;254182
RustDSType::Trivial;50000;1000;0;0;5;50;25065003;157556800;157018;3600168;5864300;379071
RustDSType::Trivial;50000;1000;0;0;5;100;25065003;157556800;135514;3600168;5864300;486201
RustDSType::Trivial;50000;1000;0;0;5;500;25065003;157556800;172752;3600168;5864300;676356
RustDSType::Trivial;50000;1000;0;0;5;1000;25065003;157556800;186631;3600168;5864300;842486
RustDSType::Trivial;50000;1000;0;0;5;5000;25065003;157556800;211982;3600168;5864300;1141614
RustDSType::Trivial;50000;1000;0;0;5;10000;25065003;157556800;223170;3600168;5864300;1495152
RustDSType::Trivial;50000;1000;0;0;5;30000;25065003;157556800;215567;3600168;5864300;1916823
RustDSType::Trivial;50000;1000;0;0;10;5;25065003;172149700;141780;3600168;6189200;112306
RustDSType::Trivial;50000;1000;0;0;10;10;25065003;172149700;145083;3600168;6189200;234222
RustDSType::Trivial;50000;1000;0;0;10;50;25065003;172149700;167808;3600168;6189200;347213
RustDSType::Trivial;50000;1000;0;0;10;100;25065003;172149700;163845;3600168;6189200;483959
RustDSType::Trivial;50000;1000;0;0;10;500;25065003;172149700;187733;3600168;6189200;647711
RustDSType::Trivial;50000;1000;0;0;10;1000;25065003;172149700;201087;3600168;6189200;833735
RustDSType::Trivial;50000;1000;0;0;10;5000;25065003;172149700;224533;3600168;6189200;1125597
RustDSType::Trivial;50000;1000;0;0;10;10000;25065003;172149700;193300;3600168;6189200;1525879
RustDSType::Trivial;50000;1000;0;0;10;30000;25065003;172149700;196541;3600168;6189200;2001934
RustDSType::Trivial;50000;1000;0;0;20;5;25065003;160000800;116460;3600168;5773700;112353
RustDSType::Trivial;50000;1000;0;0;20;10;25065003;160000800;118136;3600168;5773700;230051
RustDSType::Trivial;50000;1000;0;0;20;50;25065003;160000800;130816;3600168;5773700;361905
RustDSType::Trivial;50000;1000;0;0;20;100;25065003;160000800;137449;3600168;5773700;498931
RustDSType::Trivial;50000;1000;0;0;20;500;25065003;160000800;150558;3600168;5773700;661373
RustDSType::Trivial;50000;1000;0;0;20;1000;25065003;160000800;164706;3600168;5773700;868032
RustDSType::Trivial;50000;1000;0;0;20;5000;25065003;160000800;225365;3600168;5773700;1127768
RustDSType::Trivial;50000;1000;0;0;20;10000;25065003;160000800;214573;3600168;5773700;1485620
