DSType;numPoints;numColors;gamma;alpha;r;k;rangeSpace;rangeBuildTime;rangeQueryTime;modeSpace;modeBuildTime;modeQueryTime
RustDSType::GridNoColor;10000;10000;0;0;21;5;5075696;19154900;54155;1807360;313304100;62640
RustDSType::GridNoColor;10000;10000;0;0;21;10;5075696;19154900;48519;1807360;313304100;109491
RustDSType::GridNoColor;10000;10000;0;0;21;50;5075696;19154900;49472;1807360;313304100;205289
RustDSType::GridNoColor;10000;10000;0;0;21;100;5075696;19154900;63962;1807360;313304100;380787
RustDSType::GridNoColor;10000;10000;0;0;21;500;5075696;19154900;66719;1807360;313304100;463912
RustDSType::GridNoColor;10000;10000;0;0;21;1000;5075696;19154900;52548;1807360;313304100;602004
RustDSType::GridNoColor;10000;10000;0;0;21;5000;5075696;19154900;57124;1807360;313304100;792549
RustDSType::GridNoColor;10000;10000;0;0;21;10000;5075696;19154900;54517;1807360;313304100;890383
RustDSType::GridNoColor;20000;10000;0;0;27;5;10791408;51272800;62047;3857600;1516663900;106729
RustDSType::GridNoColor;20000;10000;0;0;27;10;10791408;51272800;67494;3857600;1516663900;198273
RustDSType::GridNoColor;20000;10000;0;0;27;50;10791408;51272800;87936;3857600;1516663900;600965
RustDSType::GridNoColor;20000;10000;0;0;27;100;10791408;51272800;79374;3857600;1516663900;536024
RustDSType::GridNoColor;20000;10000;0;0;27;500;10791408;51272800;73566;3857600;1516663900;737743
RustDSType::GridNoColor;20000;10000;0;0;27;1000;10791408;51272800;58904;3857600;1516663900;1011422
RustDSType::GridNoColor;20000;10000;0;0;27;5000;10791408;51272800;63795;3857600;1516663900;1614025
RustDSType::GridNoColor;20000;10000;0;0;27;10000;10791408;51272800;84734;3857600;1516663900;2718780
RustDSType::GridNoColor;20000;10000;0;0;27;12500;10791408;51272800;92919;3857600;1516663900;2113708
RustDSType::GridNoColor;20000;10000;0;0;27;15000;10791408;51272800;67323;3857600;1516663900;1940568
RustDSType::GridNoColor;20000;10000;0;0;27;17500;10791408;51272800;63218;3857600;1516663900;2496520
RustDSType::GridNoColor;20000;10000;0;0;27;20000;10791408;51272800;47164;3857600;1516663900;2795896
RustDSType::GridNoColor;30000;10000;0;0;31;5;16711408;105379100;65745;5981168;3096378500;117189
RustDSType::GridNoColor;30000;10000;0;0;31;10;16711408;105379100;65869;5981168;3096378500;243009
RustDSType::GridNoColor;30000;10000;0;0;31;50;16711408;105379100;62815;5981168;3096378500;397624
RustDSType::GridNoColor;30000;10000;0;0;31;100;16711408;105379100;66485;5981168;3096378500;634564
RustDSType::GridNoColor;30000;10000;0;0;31;500;16711408;105379100;70258;5981168;3096378500;971374
RustDSType::GridNoColor;30000;10000;0;0;31;1000;16711408;105379100;70256;5981168;3096378500;1410873
RustDSType::GridNoColor;30000;10000;0;0;31;5000;16711408;105379100;74555;5981168;3096378500;1657607
RustDSType::GridNoColor;30000;10000;0;0;31;10000;16711408;105379100;62551;5981168;3096378500;1861118
RustDSType::GridNoColor;30000;10000;0;0;31;12500;16711408;105379100;65821;5981168;3096378500;2198726
RustDSType::GridNoColor;30000;10000;0;0;31;15000;16711408;105379100;58578;5981168;3096378500;2563509
RustDSType::GridNoColor;30000;10000;0;0;31;17500;16711408;105379100;61300;5981168;3096378500;2889997
RustDSType::GridNoColor;30000;10000;0;0;31;20000;16711408;105379100;73450;5981168;3096378500;3699217
RustDSType::GridNoColor;30000;10000;0;0;31;22500;16711408;105379100;62308;5981168;3096378500;5709357
RustDSType::GridNoColor;30000;10000;0;0;31;25000;16711408;105379100;81147;5981168;3096378500;6747243
RustDSType::GridNoColor;30000;10000;0;0;31;27500;16711408;105379100;86138;5981168;3096378500;7034984
RustDSType::GridNoColor;30000;10000;0;0;31;30000;16711408;105379100;61231;5981168;3096378500;5621062
RustDSType::GridNoColor;40000;10000;0;0;34;5;22862832;138341800;68529;8153504;4892024600;208594
RustDSType::GridNoColor;40000;10000;0;0;34;10;22862832;138341800;102129;8153504;4892024600;312650
RustDSType::GridNoColor;40000;10000;0;0;34;50;22862832;138341800;71767;8153504;4892024600;509722
RustDSType::GridNoColor;40000;10000;0;0;34;100;22862832;138341800;79539;8153504;4892024600;829714
RustDSType::GridNoColor;40000;10000;0;0;34;500;22862832;138341800;73928;8153504;4892024600;1413107
RustDSType::GridNoColor;40000;10000;0;0;34;1000;22862832;138341800;92450;8153504;4892024600;2873941
RustDSType::GridNoColor;40000;10000;0;0;34;5000;22862832;138341800;131591;8153504;4892024600;2686803
RustDSType::GridNoColor;40000;10000;0;0;34;10000;22862832;138341800;69085;8153504;4892024600;2425662
RustDSType::GridNoColor;40000;10000;0;0;34;12500;22862832;138341800;67809;8153504;4892024600;4064015
RustDSType::GridNoColor;40000;10000;0;0;34;15000;22862832;138341800;103164;8153504;4892024600;6695451
RustDSType::GridNoColor;40000;10000;0;0;34;17500;22862832;138341800;123550;8153504;4892024600;6346614
RustDSType::GridNoColor;40000;10000;0;0;34;20000;22862832;138341800;87878;8153504;4892024600;7151745
RustDSType::GridNoColor;40000;10000;0;0;34;22500;22862832;138341800;78479;8153504;4892024600;9298245
RustDSType::GridNoColor;40000;10000;0;0;34;25000;22862832;138341800;80270;8153504;4892024600;7685898
RustDSType::GridNoColor;40000;10000;0;0;34;27500;22862832;138341800;75874;8153504;4892024600;10458097
RustDSType::GridNoColor;40000;10000;0;0;34;30000;22862832;138341800;104817;8153504;4892024600;10109085
RustDSType::GridNoColor;40000;10000;0;0;34;32500;22862832;138341800;75425;8153504;4892024600;11297313
RustDSType::GridNoColor;40000;10000;0;0;34;35000;22862832;138341800;99847;8153504;4892024600;15380659
RustDSType::GridNoColor;40000;10000;0;0;34;37500;22862832;138341800;89241;8153504;4892024600;11854741
RustDSType::GridNoColor;40000;10000;0;0;34;40000;22862832;138341800;65428;8153504;4892024600;9275012
RustDSType::GridNoColor;50000;10000;0;0;36;5;29102832;113026700;72997;10316816;7598705100;176616
RustDSType::GridNoColor;50000;10000;0;0;36;10;29102832;113026700;72966;10316816;7598705100;366266
RustDSType::GridNoColor;50000;10000;0;0;36;50;29102832;113026700;73136;10316816;7598705100;621914
RustDSType::GridNoColor;50000;10000;0;0;36;100;29102832;113026700;83089;10316816;7598705100;921595
RustDSType::GridNoColor;50000;10000;0;0;36;500;29102832;113026700;83717;10316816;7598705100;1962435
RustDSType::GridNoColor;50000;10000;0;0;36;1000;29102832;113026700;94350;10316816;7598705100;2409156
RustDSType::GridNoColor;50000;10000;0;0;36;5000;29102832;113026700;83503;10316816;7598705100;3359910
RustDSType::GridNoColor;50000;10000;0;0;36;10000;29102832;113026700;81561;10316816;7598705100;5385804
RustDSType::GridNoColor;50000;10000;0;0;36;12500;29102832;113026700;160825;10316816;7598705100;7651913
RustDSType::GridNoColor;50000;10000;0;0;36;15000;29102832;113026700;128596;10316816;7598705100;4703636
RustDSType::GridNoColor;50000;10000;0;0;36;17500;29102832;113026700;74748;10316816;7598705100;4728730
RustDSType::GridNoColor;50000;10000;0;0;36;20000;29102832;113026700;74319;10316816;7598705100;5366006
RustDSType::GridNoColor;50000;10000;0;0;36;22500;29102832;113026700;76860;10316816;7598705100;6155266
RustDSType::GridNoColor;50000;10000;0;0;36;25000;29102832;113026700;125055;10316816;7598705100;7251400
RustDSType::GridNoColor;50000;10000;0;0;36;27500;29102832;113026700;75700;10316816;7598705100;7344260
RustDSType::GridNoColor;50000;10000;0;0;36;30000;29102832;113026700;74295;10316816;7598705100;7949846
RustDSType::GridNoColor;50000;10000;0;0;36;32500;29102832;113026700;72727;10316816;7598705100;8563361
RustDSType::GridNoColor;50000;10000;0;0;36;35000;29102832;113026700;71432;10316816;7598705100;8971869
RustDSType::GridNoColor;50000;10000;0;0;36;37500;29102832;113026700;73911;10316816;7598705100;11312651
RustDSType::GridNoColor;50000;10000;0;0;36;40000;29102832;113026700;74505;10316816;7598705100;11639058
