DSType;numPoints;numColors;gamma;alpha;r;k;rangeSpace;rangeBuildTime;rangeQueryTime;modeSpace;modeBuildTime;modeQueryTime
RustDSType::GridNoColor;40000;1;0;0;34;5;22862832;90106700;78586;16339476;3228456900;24047
RustDSType::GridNoColor;40000;1;0;0;34;10;22862832;90106700;67959;16339476;3228456900;59688
RustDSType::GridNoColor;40000;1;0;0;34;50;22862832;90106700;93386;16339476;3228456900;78982
RustDSType::GridNoColor;40000;1;0;0;34;100;22862832;90106700;72154;16339476;3228456900;132465
RustDSType::GridNoColor;40000;1;0;0;34;500;22862832;90106700;92511;16339476;3228456900;199707
RustDSType::GridNoColor;40000;1;0;0;34;1000;22862832;90106700;80672;16339476;3228456900;306929
RustDSType::GridNoColor;40000;1;0;0;34;5000;22862832;90106700;94769;16339476;3228456900;418555
RustDSType::GridNoColor;40000;1;0;0;34;10000;22862832;90106700;93402;16339476;3228456900;534719
RustDSType::GridNoColor;40000;1;0;0;34;12500;22862832;90106700;93341;16339476;3228456900;640218
RustDSType::GridNoColor;40000;1;0;0;34;15000;22862832;90106700;96738;16339476;3228456900;684579
RustDSType::GridNoColor;40000;1;0;0;34;17500;22862832;90106700;74496;16339476;3228456900;657517
RustDSType::GridNoColor;40000;1;0;0;34;20000;22862832;90106700;73376;16339476;3228456900;759714
RustDSType::GridNoColor;40000;1;0;0;34;22500;22862832;90106700;122904;16339476;3228456900;808868
RustDSType::GridNoColor;40000;1;0;0;34;25000;22862832;90106700;74414;16339476;3228456900;831914
RustDSType::GridNoColor;40000;1;0;0;34;27500;22862832;90106700;66084;16339476;3228456900;884537
RustDSType::GridNoColor;40000;1;0;0;34;30000;22862832;90106700;69435;16339476;3228456900;1059983
RustDSType::GridNoColor;40000;1;0;0;34;32500;22862832;90106700;80734;16339476;3228456900;1083142
RustDSType::GridNoColor;40000;1;0;0;34;35000;22862832;90106700;77610;16339476;3228456900;1102627
RustDSType::GridNoColor;40000;1;0;0;34;37500;22862832;90106700;65005;16339476;3228456900;1160130
RustDSType::GridNoColor;40000;1;0;0;34;40000;22862832;90106700;69357;16339476;3228456900;1209783
RustDSType::GridNoColor;40000;5000;0;0;34;5;22862832;89005200;59406;8632592;4346828500;140861
RustDSType::GridNoColor;40000;5000;0;0;34;10;22862832;89005200;61509;8632592;4346828500;274263
RustDSType::GridNoColor;40000;5000;0;0;34;50;22862832;89005200;66273;8632592;4346828500;467887
RustDSType::GridNoColor;40000;5000;0;0;34;100;22862832;89005200;60822;8632592;4346828500;760343
RustDSType::GridNoColor;40000;5000;0;0;34;500;22862832;89005200;68578;8632592;4346828500;1192565
RustDSType::GridNoColor;40000;5000;0;0;34;1000;22862832;89005200;78161;8632592;4346828500;1495552
RustDSType::GridNoColor;40000;5000;0;0;34;5000;22862832;89005200;83140;8632592;4346828500;2048603
RustDSType::GridNoColor;40000;5000;0;0;34;10000;22862832;89005200;71188;8632592;4346828500;2339021
RustDSType::GridNoColor;40000;5000;0;0;34;12500;22862832;89005200;65619;8632592;4346828500;2722482
RustDSType::GridNoColor;40000;5000;0;0;34;15000;22862832;89005200;66913;8632592;4346828500;3378086
RustDSType::GridNoColor;40000;5000;0;0;34;17500;22862832;89005200;101741;8632592;4346828500;3633865
RustDSType::GridNoColor;40000;5000;0;0;34;20000;22862832;89005200;65179;8632592;4346828500;3927070
RustDSType::GridNoColor;40000;5000;0;0;34;22500;22862832;89005200;68434;8632592;4346828500;4535553
RustDSType::GridNoColor;40000;5000;0;0;34;25000;22862832;89005200;64822;8632592;4346828500;5180561
RustDSType::GridNoColor;40000;5000;0;0;34;27500;22862832;89005200;78795;8632592;4346828500;8277911
RustDSType::GridNoColor;40000;5000;0;0;34;30000;22862832;89005200;93812;8632592;4346828500;10527303
RustDSType::GridNoColor;40000;5000;0;0;34;32500;22862832;89005200;75774;8632592;4346828500;8353135
RustDSType::GridNoColor;40000;5000;0;0;34;35000;22862832;89005200;84095;8632592;4346828500;9084379
RustDSType::GridNoColor;40000;5000;0;0;34;37500;22862832;89005200;96330;8632592;4346828500;9730256
RustDSType::GridNoColor;40000;5000;0;0;34;40000;22862832;89005200;64581;8632592;4346828500;9946301
RustDSType::GridNoColor;40000;10000;0;0;34;5;22862832;68663000;86884;8151248;4855658900;176829
RustDSType::GridNoColor;40000;10000;0;0;34;10;22862832;68663000;78988;8151248;4855658900;418743
RustDSType::GridNoColor;40000;10000;0;0;34;50;22862832;68663000;106467;8151248;4855658900;757232
RustDSType::GridNoColor;40000;10000;0;0;34;100;22862832;68663000;105598;8151248;4855658900;1034239
RustDSType::GridNoColor;40000;10000;0;0;34;500;22862832;68663000;90418;8151248;4855658900;1292461
RustDSType::GridNoColor;40000;10000;0;0;34;1000;22862832;68663000;67924;8151248;4855658900;1520132
RustDSType::GridNoColor;40000;10000;0;0;34;5000;22862832;68663000;74300;8151248;4855658900;2216033
RustDSType::GridNoColor;40000;10000;0;0;34;10000;22862832;68663000;67931;8151248;4855658900;3041601
