DSType;numPoints;numColors;gamma;alpha;r;k;rangeSpace;rangeBuildTime;rangeQueryTime;modeSpace;modeBuildTime;modeQueryTime
AAS1DModeChanDS;100000;1000;100;0;316;5;2800000;25922582100;76075;1998864;191558919700;1367
AAS1DModeChanDS;100000;1000;100;0;316;10;2800000;25922582100;79711;1998864;191558919700;2382
AAS1DModeChanDS;100000;1000;100;0;316;50;2800000;25922582100;80925;1998864;191558919700;8642
AAS1DModeChanDS;100000;1000;100;0;316;100;2800000;25922582100;80740;1998864;191558919700;18966
AAS1DModeChanDS;100000;1000;100;0;316;500;2800000;25922582100;70699;1998864;191558919700;2887
AAS1DModeChanDS;100000;1000;100;0;316;1000;2800000;25922582100;75004;1998864;191558919700;3329
AAS1DModeChanDS;100000;1000;100;0;316;5000;2800000;25922582100;73977;1998864;191558919700;3272
AAS1DModeChanDS;100000;1000;100;0;316;10000;2800000;25922582100;76447;1998864;191558919700;3013
AAS1DModeChanDS;100000;1000;100;0;316;30000;2800000;25922582100;88022;1998864;191558919700;2798
AAS1DModeChanDS;100000;1000;100;0;316;60000;2800000;25922582100;68550;1998864;191558919700;2691
AAS1DModeChanDS;100000;1000;100;0.1;316;5;2800000;42794481700;84152;1998864;209927019400;1222
AAS1DModeChanDS;100000;1000;100;0.1;316;10;2800000;42794481700;78930;1998864;209927019400;2162
AAS1DModeChanDS;100000;1000;100;0.1;316;50;2800000;42794481700;75232;1998864;209927019400;11468
AAS1DModeChanDS;100000;1000;100;0.1;316;100;2800000;42794481700;83589;1998864;209927019400;15006
AAS1DModeChanDS;100000;1000;100;0.1;316;500;2800000;42794481700;73448;1998864;209927019400;2929
AAS1DModeChanDS;100000;1000;100;0.1;316;1000;2800000;42794481700;76063;1998864;209927019400;2770
AAS1DModeChanDS;100000;1000;100;0.1;316;5000;2800000;42794481700;87826;1998864;209927019400;2672
AAS1DModeChanDS;100000;1000;100;0.1;316;10000;2800000;42794481700;77348;1998864;209927019400;2381
AAS1DModeChanDS;100000;1000;100;0.1;316;30000;2800000;42794481700;76762;1998864;209927019400;2688
AAS1DModeChanDS;100000;1000;100;0.1;316;60000;2800000;42794481700;80712;1998864;209927019400;2451
AAS1DModeChanDS;100000;1000;100;0.2;316;5;2800000;37531456900;69041;1998864;177012782900;1083
AAS1DModeChanDS;100000;1000;100;0.2;316;10;2800000;37531456900;75631;1998864;177012782900;2108
AAS1DModeChanDS;100000;1000;100;0.2;316;50;2800000;37531456900;67034;1998864;177012782900;10830
AAS1DModeChanDS;100000;1000;100;0.2;316;100;2800000;37531456900;68917;1998864;177012782900;18248
AAS1DModeChanDS;100000;1000;100;0.2;316;500;2800000;37531456900;65751;1998864;177012782900;2810
AAS1DModeChanDS;100000;1000;100;0.2;316;1000;2800000;37531456900;67442;1998864;177012782900;3393
AAS1DModeChanDS;100000;1000;100;0.2;316;5000;2800000;37531456900;73544;1998864;177012782900;3491
AAS1DModeChanDS;100000;1000;100;0.2;316;10000;2800000;37531456900;68320;1998864;177012782900;2585
AAS1DModeChanDS;100000;1000;100;0.2;316;30000;2800000;37531456900;69427;1998864;177012782900;2410
AAS1DModeChanDS;100000;1000;100;0.2;316;60000;2800000;37531456900;67782;1998864;177012782900;1915
AAS1DModeChanDS;100000;1000;100;0.3;316;5;2800000;28403277300;67560;1998864;180967949000;567
AAS1DModeChanDS;100000;1000;100;0.3;316;10;2800000;28403277300;64645;1998864;180967949000;2013
AAS1DModeChanDS;100000;1000;100;0.3;316;50;2800000;28403277300;63369;1998864;180967949000;7823
AAS1DModeChanDS;100000;1000;100;0.3;316;100;2800000;28403277300;68824;1998864;180967949000;15984
AAS1DModeChanDS;100000;1000;100;0.3;316;500;2800000;28403277300;64143;1998864;180967949000;4900
AAS1DModeChanDS;100000;1000;100;0.3;316;1000;2800000;28403277300;68005;1998864;180967949000;4081
AAS1DModeChanDS;100000;1000;100;0.3;316;5000;2800000;28403277300;67640;1998864;180967949000;4007
AAS1DModeChanDS;100000;1000;100;0.3;316;10000;2800000;28403277300;63886;1998864;180967949000;3343
AAS1DModeChanDS;100000;1000;100;0.3;316;30000;2800000;28403277300;65495;1998864;180967949000;2437
AAS1DModeChanDS;100000;1000;100;0.3;316;60000;2800000;28403277300;62986;1998864;180967949000;1947
AAS1DModeChanDS;100000;1000;100;0.4;316;5;2800000;17009838300;68275;1998864;170828360800;964
AAS1DModeChanDS;100000;1000;100;0.4;316;10;2800000;17009838300;70309;1998864;170828360800;1546
AAS1DModeChanDS;100000;1000;100;0.4;316;50;2800000;17009838300;66846;1998864;170828360800;7234
AAS1DModeChanDS;100000;1000;100;0.4;316;100;2800000;17009838300;67306;1998864;170828360800;11931
AAS1DModeChanDS;100000;1000;100;0.4;316;500;2800000;17009838300;64202;1998864;170828360800;4846
AAS1DModeChanDS;100000;1000;100;0.4;316;1000;2800000;17009838300;62772;1998864;170828360800;4169
AAS1DModeChanDS;100000;1000;100;0.4;316;5000;2800000;17009838300;67618;1998864;170828360800;3630
AAS1DModeChanDS;100000;1000;100;0.4;316;10000;2800000;17009838300;72815;1998864;170828360800;4361
AAS1DModeChanDS;100000;1000;100;0.4;316;30000;2800000;17009838300;64985;1998864;170828360800;3536
AAS1DModeChanDS;100000;1000;100;0.4;316;60000;2800000;17009838300;66106;1998864;170828360800;2570
AAS1DModeChanDS;100000;1000;100;0.5;316;5;2800000;11368607900;68218;1998864;150271013000;822
AAS1DModeChanDS;100000;1000;100;0.5;316;10;2800000;11368607900;65457;1998864;150271013000;1462
AAS1DModeChanDS;100000;1000;100;0.5;316;50;2800000;11368607900;70805;1998864;150271013000;6743
AAS1DModeChanDS;100000;1000;100;0.5;316;100;2800000;11368607900;70980;1998864;150271013000;12181
AAS1DModeChanDS;100000;1000;100;0.5;316;500;2800000;11368607900;70916;1998864;150271013000;5067
AAS1DModeChanDS;100000;1000;100;0.5;316;1000;2800000;11368607900;68483;1998864;150271013000;5780
AAS1DModeChanDS;100000;1000;100;0.5;316;5000;2800000;11368607900;71378;1998864;150271013000;4428
AAS1DModeChanDS;100000;1000;100;0.5;316;10000;2800000;11368607900;74396;1998864;150271013000;4008
AAS1DModeChanDS;100000;1000;100;0.5;316;30000;2800000;11368607900;69502;1998864;150271013000;3514
AAS1DModeChanDS;100000;1000;100;0.5;316;60000;2800000;11368607900;67747;1998864;150271013000;2830
AAS1DModeChanDS;100000;1000;100;0.6;316;5;2800000;9890326800;67651;1998864;125637099600;433
