DSType;numPoints;numColors;gamma;alpha;r;k;rangeSpace;rangeBuildTime;rangeQueryTime;modeSpace;modeBuildTime;modeQueryTime
AAS1DModeChanDS;1000;10;-1;-1;31;5;28000;399800;1617;19704;1440900;231
AAS1DModeChanDS;1000;10;-1;-1;31;10;28000;399800;1832;19704;1440900;342
AAS1DModeChanDS;1000;10;-1;-1;31;50;28000;399800;1558;19704;1440900;157
AAS1DModeChanDS;1000;10;-1;-1;31;100;28000;399800;2357;19704;1440900;163
AAS1DModeChanDS;1000;10;-1;-1;31;500;28000;399800;2792;19704;1440900;129
AAS1DModeChanDS;1000;10;-1;-1;31;1000;28000;399800;2442;19704;1440900;110
AAS1DModeChanDS;2000;20;-1;-1;44;5;56000;1376700;2673;39504;8582400;468
AAS1DModeChanDS;2000;20;-1;-1;44;10;56000;1376700;2492;39504;8582400;457
AAS1DModeChanDS;2000;20;-1;-1;44;50;56000;1376700;2818;39504;8582400;261
AAS1DModeChanDS;2000;20;-1;-1;44;100;56000;1376700;1878;39504;8582400;209
AAS1DModeChanDS;2000;20;-1;-1;44;500;56000;1376700;2078;39504;8582400;196
AAS1DModeChanDS;2000;20;-1;-1;44;1000;56000;1376700;2027;39504;8582400;182
AAS1DModeChanDS;3000;30;-1;-1;54;5;84000;5473600;2171;59344;22957800;258
AAS1DModeChanDS;3000;30;-1;-1;54;10;84000;5473600;2333;59344;22957800;504
AAS1DModeChanDS;3000;30;-1;-1;54;50;84000;5473600;2369;59344;22957800;675
AAS1DModeChanDS;3000;30;-1;-1;54;100;84000;5473600;2327;59344;22957800;274
AAS1DModeChanDS;3000;30;-1;-1;54;500;84000;5473600;2426;59344;22957800;243
AAS1DModeChanDS;3000;30;-1;-1;54;1000;84000;5473600;2349;59344;22957800;204
AAS1DModeChanDS;4000;40;-1;-1;63;5;112000;7383900;3077;79768;67810900;296
AAS1DModeChanDS;4000;40;-1;-1;63;10;112000;7383900;2967;79768;67810900;552
AAS1DModeChanDS;4000;40;-1;-1;63;50;112000;7383900;4319;79768;67810900;1242
AAS1DModeChanDS;4000;40;-1;-1;63;100;112000;7383900;3524;79768;67810900;392
AAS1DModeChanDS;4000;40;-1;-1;63;500;112000;7383900;3850;79768;67810900;256
AAS1DModeChanDS;4000;40;-1;-1;63;1000;112000;7383900;2839;79768;67810900;231
AAS1DModeChanDS;5000;50;-1;-1;70;5;140000;22036200;3819;99216;109969800;328
AAS1DModeChanDS;5000;50;-1;-1;70;10;140000;22036200;3347;99216;109969800;693
AAS1DModeChanDS;5000;50;-1;-1;70;50;140000;22036200;3353;99216;109969800;1351
AAS1DModeChanDS;5000;50;-1;-1;70;100;140000;22036200;3126;99216;109969800;377
AAS1DModeChanDS;5000;50;-1;-1;70;500;140000;22036200;3756;99216;109969800;406
AAS1DModeChanDS;5000;50;-1;-1;70;1000;140000;22036200;3983;99216;109969800;368
AAS1DModeChanDS;5000;50;-1;-1;70;5000;140000;22036200;2639;99216;109969800;115
AAS1DModeChanDS;6000;60;-1;-1;77;5;168000;23608900;3026;119448;201302000;344
AAS1DModeChanDS;6000;60;-1;-1;77;10;168000;23608900;2877;119448;201302000;792
AAS1DModeChanDS;6000;60;-1;-1;77;50;168000;23608900;3150;119448;201302000;2043
AAS1DModeChanDS;6000;60;-1;-1;77;100;168000;23608900;2998;119448;201302000;319
AAS1DModeChanDS;6000;60;-1;-1;77;500;168000;23608900;2741;119448;201302000;307
AAS1DModeChanDS;6000;60;-1;-1;77;1000;168000;23608900;2988;119448;201302000;320
AAS1DModeChanDS;6000;60;-1;-1;77;5000;168000;23608900;2830;119448;201302000;206
AAS1DModeChanDS;7000;70;-1;-1;83;5;196000;24040700;3213;139128;235781600;369
AAS1DModeChanDS;7000;70;-1;-1;83;10;196000;24040700;4401;139128;235781600;571
AAS1DModeChanDS;7000;70;-1;-1;83;50;196000;24040700;3116;139128;235781600;2020
AAS1DModeChanDS;7000;70;-1;-1;83;100;196000;24040700;3317;139128;235781600;578
AAS1DModeChanDS;7000;70;-1;-1;83;500;196000;24040700;3768;139128;235781600;419
AAS1DModeChanDS;7000;70;-1;-1;83;1000;196000;24040700;3676;139128;235781600;320
