DSType;numPoints;numColors;gamma;alpha;r;k;rangeSpace;rangeBuildTime;rangeQueryTime;modeSpace;modeBuildTime;modeQueryTime
AAS1DModeChanDS;25000;10000;-1;-1;158;5;700000;565455900;8788;499728;15593615300;344
AAS1DModeChanDS;25000;10000;-1;-1;158;10;700000;565455900;7100;499728;15593615300;763
AAS1DModeChanDS;25000;10000;-1;-1;158;50;700000;565455900;8298;499728;15593615300;4655
AAS1DModeChanDS;25000;10000;-1;-1;158;100;700000;565455900;8076;499728;15593615300;6926
AAS1DModeChanDS;25000;10000;-1;-1;158;500;700000;565455900;8529;499728;15593615300;1247
AAS1DModeChanDS;25000;10000;-1;-1;158;1000;700000;565455900;7539;499728;15593615300;1281
AAS1DModeChanDS;25000;10000;-1;-1;158;5000;700000;565455900;9017;499728;15593615300;598
AAS1DModeChanDS;25000;10000;-1;-1;158;10000;700000;565455900;6950;499728;15593615300;829
AAS1DModeChanDS;50000;10000;-1;-1;223;5;1400000;3999329900;9711;997848;48543250300;296
AAS1DModeChanDS;50000;10000;-1;-1;223;10;1400000;3999329900;9466;997848;48543250300;627
AAS1DModeChanDS;50000;10000;-1;-1;223;50;1400000;3999329900;9361;997848;48543250300;3999
AAS1DModeChanDS;50000;10000;-1;-1;223;100;1400000;3999329900;9635;997848;48543250300;6332
AAS1DModeChanDS;50000;10000;-1;-1;223;500;1400000;3999329900;9750;997848;48543250300;1123
AAS1DModeChanDS;50000;10000;-1;-1;223;1000;1400000;3999329900;9621;997848;48543250300;1073
AAS1DModeChanDS;50000;10000;-1;-1;223;5000;1400000;3999329900;9450;997848;48543250300;1049
AAS1DModeChanDS;50000;10000;-1;-1;223;10000;1400000;3999329900;9626;997848;48543250300;816
AAS1DModeChanDS;50000;10000;-1;-1;223;30000;1400000;3999329900;9564;997848;48543250300;472
AAS1DModeChanDS;75000;10000;-1;-1;273;5;2100000;9059597700;14100;1496248;98798250300;291
AAS1DModeChanDS;75000;10000;-1;-1;273;10;2100000;9059597700;13658;1496248;98798250300;669
AAS1DModeChanDS;75000;10000;-1;-1;273;50;2100000;9059597700;13758;1496248;98798250300;3468
AAS1DModeChanDS;75000;10000;-1;-1;273;100;2100000;9059597700;13802;1496248;98798250300;6189
AAS1DModeChanDS;75000;10000;-1;-1;273;500;2100000;9059597700;13742;1496248;98798250300;1157
AAS1DModeChanDS;75000;10000;-1;-1;273;1000;2100000;9059597700;13781;1496248;98798250300;1207
AAS1DModeChanDS;75000;10000;-1;-1;273;5000;2100000;9059597700;13980;1496248;98798250300;1259
AAS1DModeChanDS;75000;10000;-1;-1;273;10000;2100000;9059597700;14120;1496248;98798250300;1220
AAS1DModeChanDS;75000;10000;-1;-1;273;30000;2100000;9059597700;13757;1496248;98798250300;829
AAS1DModeChanDS;75000;10000;-1;-1;273;60000;2100000;9059597700;13689;1496248;98798250300;512
AAS1DModeChanDS;100000;10000;-1;-1;316;5;2800000;16754562500;31045;1998864;175352767500;300
AAS1DModeChanDS;100000;10000;-1;-1;316;10;2800000;16754562500;29440;1998864;175352767500;634
AAS1DModeChanDS;100000;10000;-1;-1;316;50;2800000;16754562500;29164;1998864;175352767500;3621
AAS1DModeChanDS;100000;10000;-1;-1;316;100;2800000;16754562500;29845;1998864;175352767500;6726
AAS1DModeChanDS;100000;10000;-1;-1;316;500;2800000;16754562500;29970;1998864;175352767500;1220
AAS1DModeChanDS;100000;10000;-1;-1;316;1000;2800000;16754562500;30326;1998864;175352767500;1274
AAS1DModeChanDS;100000;10000;-1;-1;316;5000;2800000;16754562500;31159;1998864;175352767500;1354
AAS1DModeChanDS;100000;10000;-1;-1;316;10000;2800000;16754562500;30091;1998864;175352767500;1368
AAS1DModeChanDS;100000;10000;-1;-1;316;30000;2800000;16754562500;30188;1998864;175352767500;1046
AAS1DModeChanDS;100000;10000;-1;-1;316;60000;2800000;16754562500;29695;1998864;175352767500;848
AAS1DModeChanDS;125000;10000;-1;-1;353;5;3500000;21874963200;42314;2496888;263199891900;314
AAS1DModeChanDS;125000;10000;-1;-1;353;10;3500000;21874963200;41801;2496888;263199891900;625
AAS1DModeChanDS;125000;10000;-1;-1;353;50;3500000;21874963200;41384;2496888;263199891900;3415
AAS1DModeChanDS;125000;10000;-1;-1;353;100;3500000;21874963200;42129;2496888;263199891900;6317
AAS1DModeChanDS;125000;10000;-1;-1;353;500;3500000;21874963200;41478;2496888;263199891900;1296
AAS1DModeChanDS;125000;10000;-1;-1;353;1000;3500000;21874963200;41896;2496888;263199891900;1492
AAS1DModeChanDS;125000;10000;-1;-1;353;5000;3500000;21874963200;42690;2496888;263199891900;1815
AAS1DModeChanDS;125000;10000;-1;-1;353;10000;3500000;21874963200;43138;2496888;263199891900;1372
AAS1DModeChanDS;125000;10000;-1;-1;353;30000;3500000;21874963200;40874;2496888;263199891900;1347
AAS1DModeChanDS;125000;10000;-1;-1;353;60000;3500000;21874963200;41529;2496888;263199891900;951
AAS1DModeChanDS;150000;10000;-1;-1;387;5;4200000;49924120600;274606;2998168;369102429000;292
AAS1DModeChanDS;150000;10000;-1;-1;387;10;4200000;49924120600;279029;2998168;369102429000;967
AAS1DModeChanDS;150000;10000;-1;-1;387;50;4200000;49924120600;272480;2998168;369102429000;3704
AAS1DModeChanDS;150000;10000;-1;-1;387;100;4200000;49924120600;274308;2998168;369102429000;6954
AAS1DModeChanDS;150000;10000;-1;-1;387;500;4200000;49924120600;279159;2998168;369102429000;1379
AAS1DModeChanDS;150000;10000;-1;-1;387;1000;4200000;49924120600;273212;2998168;369102429000;1945
AAS1DModeChanDS;150000;10000;-1;-1;387;5000;4200000;49924120600;278354;2998168;369102429000;1453
AAS1DModeChanDS;150000;10000;-1;-1;387;10000;4200000;49924120600;275378;2998168;369102429000;1470
AAS1DModeChanDS;150000;10000;-1;-1;387;30000;4200000;49924120600;275628;2998168;369102429000;1656
AAS1DModeChanDS;150000;10000;-1;-1;387;60000;4200000;49924120600;300714;2998168;369102429000;1117
AAS1DModeChanDS;175000;10000;-1;-1;418;5;4900000;75327739600;320544;3497808;499027391100;304
AAS1DModeChanDS;175000;10000;-1;-1;418;10;4900000;75327739600;332163;3497808;499027391100;684
AAS1DModeChanDS;175000;10000;-1;-1;418;50;4900000;75327739600;333380;3497808;499027391100;3773
AAS1DModeChanDS;175000;10000;-1;-1;418;100;4900000;75327739600;317329;3497808;499027391100;7250
AAS1DModeChanDS;175000;10000;-1;-1;418;500;4900000;75327739600;321973;3497808;499027391100;1456
AAS1DModeChanDS;175000;10000;-1;-1;418;1000;4900000;75327739600;321943;3497808;499027391100;1580
AAS1DModeChanDS;175000;10000;-1;-1;418;5000;4900000;75327739600;318421;3497808;499027391100;1561
AAS1DModeChanDS;175000;10000;-1;-1;418;10000;4900000;75327739600;320295;3497808;499027391100;1569
AAS1DModeChanDS;175000;10000;-1;-1;418;30000;4900000;75327739600;331270;3497808;499027391100;1722
AAS1DModeChanDS;175000;10000;-1;-1;418;60000;4900000;75327739600;327484;3497808;499027391100;1481
AAS1DModeChanDS;200000;10000;-1;-1;447;5;5600000;105007744500;351868;3998488;634366751600;307
AAS1DModeChanDS;200000;10000;-1;-1;447;10;5600000;105007744500;347488;3998488;634366751600;643
AAS1DModeChanDS;200000;10000;-1;-1;447;50;5600000;105007744500;349816;3998488;634366751600;3870
AAS1DModeChanDS;200000;10000;-1;-1;447;100;5600000;105007744500;371820;3998488;634366751600;7288
AAS1DModeChanDS;200000;10000;-1;-1;447;500;5600000;105007744500;351738;3998488;634366751600;1541
AAS1DModeChanDS;200000;10000;-1;-1;447;1000;5600000;105007744500;355011;3998488;634366751600;1558
