DSType;numPoints;numColors;gamma;alpha;r;k;rangeSpace;rangeBuildTime;rangeQueryTime;modeSpace;modeBuildTime;modeQueryTime
AAS1DModeChanDS;50000;1;-1;-1;223;5;1400000;1898561700;33866;997848;657561000;85
AAS1DModeChanDS;50000;1;-1;-1;223;10;1400000;1898561700;33399;997848;657561000;94
AAS1DModeChanDS;50000;1;-1;-1;223;50;1400000;1898561700;32515;997848;657561000;155
AAS1DModeChanDS;50000;1;-1;-1;223;100;1400000;1898561700;32771;997848;657561000;226
AAS1DModeChanDS;50000;1;-1;-1;223;500;1400000;1898561700;32033;997848;657561000;359
AAS1DModeChanDS;50000;1;-1;-1;223;1000;1400000;1898561700;31606;997848;657561000;366
AAS1DModeChanDS;50000;1;-1;-1;223;5000;1400000;1898561700;31818;997848;657561000;364
AAS1DModeChanDS;50000;1;-1;-1;223;10000;1400000;1898561700;32520;997848;657561000;339
AAS1DModeChanDS;50000;1;-1;-1;223;30000;1400000;1898561700;33276;997848;657561000;306
AAS1DModeChanDS;50000;1001;-1;-1;223;5;1400000;1757456100;33392;997848;22670549400;284
AAS1DModeChanDS;50000;1001;-1;-1;223;10;1400000;1757456100;31865;997848;22670549400;673
AAS1DModeChanDS;50000;1001;-1;-1;223;50;1400000;1757456100;33118;997848;22670549400;3358
AAS1DModeChanDS;50000;1001;-1;-1;223;100;1400000;1757456100;32087;997848;22670549400;5094
AAS1DModeChanDS;50000;1001;-1;-1;223;500;1400000;1757456100;31960;997848;22670549400;662
AAS1DModeChanDS;50000;1001;-1;-1;223;1000;1400000;1757456100;33449;997848;22670549400;672
AAS1DModeChanDS;50000;1001;-1;-1;223;5000;1400000;1757456100;36699;997848;22670549400;661
AAS1DModeChanDS;50000;1001;-1;-1;223;10000;1400000;1757456100;32371;997848;22670549400;605
AAS1DModeChanDS;50000;1001;-1;-1;223;30000;1400000;1757456100;33116;997848;22670549400;398
AAS1DModeChanDS;50000;2001;-1;-1;223;5;1400000;1820469500;33303;997848;28150178600;290
AAS1DModeChanDS;50000;2001;-1;-1;223;10;1400000;1820469500;31993;997848;28150178600;601
AAS1DModeChanDS;50000;2001;-1;-1;223;50;1400000;1820469500;33900;997848;28150178600;3246
AAS1DModeChanDS;50000;2001;-1;-1;223;100;1400000;1820469500;32175;997848;28150178600;5377
AAS1DModeChanDS;50000;2001;-1;-1;223;500;1400000;1820469500;32885;997848;28150178600;755
AAS1DModeChanDS;50000;2001;-1;-1;223;1000;1400000;1820469500;32028;997848;28150178600;629
AAS1DModeChanDS;50000;2001;-1;-1;223;5000;1400000;1820469500;32212;997848;28150178600;687
AAS1DModeChanDS;50000;2001;-1;-1;223;10000;1400000;1820469500;32161;997848;28150178600;1256
AAS1DModeChanDS;50000;2001;-1;-1;223;30000;1400000;1820469500;33064;997848;28150178600;378
AAS1DModeChanDS;50000;3001;-1;-1;223;5;1400000;1839957500;35010;997848;31826315700;285
AAS1DModeChanDS;50000;3001;-1;-1;223;10;1400000;1839957500;31794;997848;31826315700;630
AAS1DModeChanDS;50000;3001;-1;-1;223;50;1400000;1839957500;31379;997848;31826315700;3304
AAS1DModeChanDS;50000;3001;-1;-1;223;100;1400000;1839957500;32036;997848;31826315700;5183
AAS1DModeChanDS;50000;3001;-1;-1;223;500;1400000;1839957500;31894;997848;31826315700;695
AAS1DModeChanDS;50000;3001;-1;-1;223;1000;1400000;1839957500;31737;997848;31826315700;683
AAS1DModeChanDS;50000;3001;-1;-1;223;5000;1400000;1839957500;31524;997848;31826315700;776
AAS1DModeChanDS;50000;3001;-1;-1;223;10000;1400000;1839957500;32547;997848;31826315700;715
AAS1DModeChanDS;50000;3001;-1;-1;223;30000;1400000;1839957500;31540;997848;31826315700;391
AAS1DModeChanDS;50000;4001;-1;-1;223;5;1400000;1698885900;32514;997848;35157991600;302
AAS1DModeChanDS;50000;4001;-1;-1;223;10;1400000;1698885900;31893;997848;35157991600;598
AAS1DModeChanDS;50000;4001;-1;-1;223;50;1400000;1698885900;32283;997848;35157991600;3282
AAS1DModeChanDS;50000;4001;-1;-1;223;100;1400000;1698885900;32112;997848;35157991600;4961
AAS1DModeChanDS;50000;4001;-1;-1;223;500;1400000;1698885900;32992;997848;35157991600;750
AAS1DModeChanDS;50000;4001;-1;-1;223;1000;1400000;1698885900;31848;997848;35157991600;741
AAS1DModeChanDS;50000;4001;-1;-1;223;5000;1400000;1698885900;31501;997848;35157991600;840
AAS1DModeChanDS;50000;4001;-1;-1;223;10000;1400000;1698885900;36190;997848;35157991600;791
AAS1DModeChanDS;50000;4001;-1;-1;223;30000;1400000;1698885900;31733;997848;35157991600;417
AAS1DModeChanDS;50000;5001;-1;-1;223;5;1400000;1720369400;32779;997848;38822550100;281
AAS1DModeChanDS;50000;5001;-1;-1;223;10;1400000;1720369400;31456;997848;38822550100;650
AAS1DModeChanDS;50000;5001;-1;-1;223;50;1400000;1720369400;31739;997848;38822550100;3296
AAS1DModeChanDS;50000;5001;-1;-1;223;100;1400000;1720369400;31498;997848;38822550100;4984
AAS1DModeChanDS;50000;5001;-1;-1;223;500;1400000;1720369400;31713;997848;38822550100;804
AAS1DModeChanDS;50000;5001;-1;-1;223;1000;1400000;1720369400;33056;997848;38822550100;823
AAS1DModeChanDS;50000;5001;-1;-1;223;5000;1400000;1720369400;33360;997848;38822550100;848
AAS1DModeChanDS;50000;5001;-1;-1;223;10000;1400000;1720369400;32029;997848;38822550100;751
AAS1DModeChanDS;50000;5001;-1;-1;223;30000;1400000;1720369400;32018;997848;38822550100;439
AAS1DModeChanDS;50000;6001;-1;-1;223;5;1400000;1762750800;33622;997848;39669558500;286
AAS1DModeChanDS;50000;6001;-1;-1;223;10;1400000;1762750800;31414;997848;39669558500;613
AAS1DModeChanDS;50000;6001;-1;-1;223;50;1400000;1762750800;31481;997848;39669558500;3309
AAS1DModeChanDS;50000;6001;-1;-1;223;100;1400000;1762750800;31396;997848;39669558500;5030
AAS1DModeChanDS;50000;6001;-1;-1;223;500;1400000;1762750800;31794;997848;39669558500;858
AAS1DModeChanDS;50000;6001;-1;-1;223;1000;1400000;1762750800;31679;997848;39669558500;856
AAS1DModeChanDS;50000;6001;-1;-1;223;5000;1400000;1762750800;31570;997848;39669558500;923
AAS1DModeChanDS;50000;6001;-1;-1;223;10000;1400000;1762750800;32577;997848;39669558500;766
AAS1DModeChanDS;50000;6001;-1;-1;223;30000;1400000;1762750800;32272;997848;39669558500;443
AAS1DModeChanDS;50000;7001;-1;-1;223;5;1400000;1777451000;32373;997848;40455073600;281
AAS1DModeChanDS;50000;7001;-1;-1;223;10;1400000;1777451000;31391;997848;40455073600;613
AAS1DModeChanDS;50000;7001;-1;-1;223;50;1400000;1777451000;31712;997848;40455073600;3273
AAS1DModeChanDS;50000;7001;-1;-1;223;100;1400000;1777451000;31608;997848;40455073600;5038
AAS1DModeChanDS;50000;7001;-1;-1;223;500;1400000;1777451000;31600;997848;40455073600;901
AAS1DModeChanDS;50000;7001;-1;-1;223;1000;1400000;1777451000;31824;997848;40455073600;954
AAS1DModeChanDS;50000;7001;-1;-1;223;5000;1400000;1777451000;32004;997848;40455073600;973
AAS1DModeChanDS;50000;7001;-1;-1;223;10000;1400000;1777451000;31460;997848;40455073600;781
AAS1DModeChanDS;50000;7001;-1;-1;223;30000;1400000;1777451000;31363;997848;40455073600;453
AAS1DModeChanDS;50000;8001;-1;-1;223;5;1400000;1816827700;31917;997848;44631565500;281
AAS1DModeChanDS;50000;8001;-1;-1;223;10;1400000;1816827700;31502;997848;44631565500;643
AAS1DModeChanDS;50000;8001;-1;-1;223;50;1400000;1816827700;34295;997848;44631565500;3428
AAS1DModeChanDS;50000;8001;-1;-1;223;100;1400000;1816827700;31328;997848;44631565500;4967
AAS1DModeChanDS;50000;8001;-1;-1;223;500;1400000;1816827700;31811;997848;44631565500;985
AAS1DModeChanDS;50000;8001;-1;-1;223;1000;1400000;1816827700;33008;997848;44631565500;972
AAS1DModeChanDS;50000;8001;-1;-1;223;5000;1400000;1816827700;31375;997848;44631565500;1067
AAS1DModeChanDS;50000;8001;-1;-1;223;10000;1400000;1816827700;35644;997848;44631565500;780
AAS1DModeChanDS;50000;8001;-1;-1;223;30000;1400000;1816827700;31438;997848;44631565500;452
AAS1DModeChanDS;50000;9001;-1;-1;223;5;1400000;1725322200;32835;997848;46595324600;286
AAS1DModeChanDS;50000;9001;-1;-1;223;10;1400000;1725322200;32681;997848;46595324600;609
AAS1DModeChanDS;50000;9001;-1;-1;223;50;1400000;1725322200;31472;997848;46595324600;3363
AAS1DModeChanDS;50000;9001;-1;-1;223;100;1400000;1725322200;31888;997848;46595324600;5693
AAS1DModeChanDS;50000;9001;-1;-1;223;500;1400000;1725322200;31894;997848;46595324600;1021
AAS1DModeChanDS;50000;9001;-1;-1;223;1000;1400000;1725322200;31269;997848;46595324600;1033
AAS1DModeChanDS;50000;9001;-1;-1;223;5000;1400000;1725322200;31539;997848;46595324600;991
AAS1DModeChanDS;50000;9001;-1;-1;223;10000;1400000;1725322200;31332;997848;46595324600;833
AAS1DModeChanDS;50000;9001;-1;-1;223;30000;1400000;1725322200;31243;997848;46595324600;450
AAS1DModeChanDS;50000;10001;-1;-1;223;5;1400000;1845817500;33940;997848;46417284700;284
AAS1DModeChanDS;50000;10001;-1;-1;223;10;1400000;1845817500;32805;997848;46417284700;649
AAS1DModeChanDS;50000;10001;-1;-1;223;50;1400000;1845817500;31852;997848;46417284700;3763
AAS1DModeChanDS;50000;10001;-1;-1;223;100;1400000;1845817500;31779;997848;46417284700;6940
AAS1DModeChanDS;50000;10001;-1;-1;223;500;1400000;1845817500;32304;997848;46417284700;1119
AAS1DModeChanDS;50000;10001;-1;-1;223;1000;1400000;1845817500;32345;997848;46417284700;1095
AAS1DModeChanDS;50000;10001;-1;-1;223;5000;1400000;1845817500;32240;997848;46417284700;983
AAS1DModeChanDS;50000;10001;-1;-1;223;10000;1400000;1845817500;33430;997848;46417284700;764
AAS1DModeChanDS;50000;10001;-1;-1;223;30000;1400000;1845817500;33513;997848;46417284700;456
AAS1DModeChanDS;50000;11001;-1;-1;223;5;1400000;1879493100;32433;997848;46053861300;282
AAS1DModeChanDS;50000;11001;-1;-1;223;10;1400000;1879493100;32352;997848;46053861300;600
AAS1DModeChanDS;50000;11001;-1;-1;223;50;1400000;1879493100;32229;997848;46053861300;3562
AAS1DModeChanDS;50000;11001;-1;-1;223;100;1400000;1879493100;32538;997848;46053861300;5163
AAS1DModeChanDS;50000;11001;-1;-1;223;500;1400000;1879493100;32418;997848;46053861300;1140
AAS1DModeChanDS;50000;11001;-1;-1;223;1000;1400000;1879493100;32116;997848;46053861300;1141
AAS1DModeChanDS;50000;11001;-1;-1;223;5000;1400000;1879493100;32254;997848;46053861300;992
AAS1DModeChanDS;50000;11001;-1;-1;223;10000;1400000;1879493100;35394;997848;46053861300;1433
AAS1DModeChanDS;50000;11001;-1;-1;223;30000;1400000;1879493100;37202;997848;46053861300;445
AAS1DModeChanDS;50000;12001;-1;-1;223;5;1400000;1963971600;32919;997848;47320855100;281
AAS1DModeChanDS;50000;12001;-1;-1;223;10;1400000;1963971600;32555;997848;47320855100;615
AAS1DModeChanDS;50000;12001;-1;-1;223;50;1400000;1963971600;33170;997848;47320855100;3592
AAS1DModeChanDS;50000;12001;-1;-1;223;100;1400000;1963971600;34444;997848;47320855100;5054
AAS1DModeChanDS;50000;12001;-1;-1;223;500;1400000;1963971600;36472;997848;47320855100;1222
AAS1DModeChanDS;50000;12001;-1;-1;223;1000;1400000;1963971600;34796;997848;47320855100;1216
AAS1DModeChanDS;50000;12001;-1;-1;223;5000;1400000;1963971600;32283;997848;47320855100;1066
AAS1DModeChanDS;50000;12001;-1;-1;223;10000;1400000;1963971600;34467;997848;47320855100;780
AAS1DModeChanDS;50000;12001;-1;-1;223;30000;1400000;1963971600;32844;997848;47320855100;476
AAS1DModeChanDS;50000;13001;-1;-1;223;5;1400000;1943073700;32726;997848;48920349700;283
AAS1DModeChanDS;50000;13001;-1;-1;223;10;1400000;1943073700;32493;997848;48920349700;622
