DSType;numPoints;numColors;gamma;alpha;r;k;rangeSpace;rangeBuildTime;rangeQueryTime;modeSpace;modeBuildTime;modeQueryTime
AAS1DModeChanDS;100000;1;-1;-1;316;5;2800000;38897223300;69162;1998864;6798617500;228
AAS1DModeChanDS;100000;1;-1;-1;316;10;2800000;38897223300;66392;1998864;6798617500;235
AAS1DModeChanDS;100000;1;-1;-1;316;50;2800000;38897223300;69478;1998864;6798617500;358
AAS1DModeChanDS;100000;1;-1;-1;316;100;2800000;38897223300;69314;1998864;6798617500;517
AAS1DModeChanDS;100000;1;-1;-1;316;500;2800000;38897223300;67157;1998864;6798617500;1145
AAS1DModeChanDS;100000;1;-1;-1;316;1000;2800000;38897223300;63308;1998864;6798617500;1498
AAS1DModeChanDS;100000;1;-1;-1;316;5000;2800000;38897223300;66552;1998864;6798617500;1111
AAS1DModeChanDS;100000;1;-1;-1;316;10000;2800000;38897223300;77966;1998864;6798617500;1632
AAS1DModeChanDS;100000;1;-1;-1;316;30000;2800000;38897223300;83194;1998864;6798617500;1350
AAS1DModeChanDS;100000;1;-1;-1;316;60000;2800000;38897223300;70677;1998864;6798617500;1206
AAS1DModeChanDS;100000;100;-1;-1;316;5;2800000;43268976700;71163;1998864;138112157900;1674
AAS1DModeChanDS;100000;100;-1;-1;316;10;2800000;43268976700;31449;1998864;138112157900;957
AAS1DModeChanDS;100000;100;-1;-1;316;50;2800000;43268976700;31917;1998864;138112157900;3620
AAS1DModeChanDS;100000;100;-1;-1;316;100;2800000;43268976700;32282;1998864;138112157900;5689
AAS1DModeChanDS;100000;100;-1;-1;316;500;2800000;43268976700;37550;1998864;138112157900;1299
AAS1DModeChanDS;100000;100;-1;-1;316;1000;2800000;43268976700;37518;1998864;138112157900;1292
AAS1DModeChanDS;100000;100;-1;-1;316;5000;2800000;43268976700;31140;1998864;138112157900;1464
AAS1DModeChanDS;100000;100;-1;-1;316;10000;2800000;43268976700;32243;1998864;138112157900;1193
AAS1DModeChanDS;100000;100;-1;-1;316;30000;2800000;43268976700;39399;1998864;138112157900;1232
AAS1DModeChanDS;100000;100;-1;-1;316;60000;2800000;43268976700;33271;1998864;138112157900;826
AAS1DModeChanDS;100000;1000;-1;-1;316;5;2800000;14024800600;68257;1998864;204916484100;1364
AAS1DModeChanDS;100000;1000;-1;-1;316;10;2800000;14024800600;71482;1998864;204916484100;2126
AAS1DModeChanDS;100000;1000;-1;-1;316;50;2800000;14024800600;65819;1998864;204916484100;9191
AAS1DModeChanDS;100000;1000;-1;-1;316;100;2800000;14024800600;71272;1998864;204916484100;15487
AAS1DModeChanDS;100000;1000;-1;-1;316;500;2800000;14024800600;67758;1998864;204916484100;2209
AAS1DModeChanDS;100000;1000;-1;-1;316;1000;2800000;14024800600;38221;1998864;204916484100;934
AAS1DModeChanDS;100000;1000;-1;-1;316;5000;2800000;14024800600;33807;1998864;204916484100;1867
AAS1DModeChanDS;100000;1000;-1;-1;316;10000;2800000;14024800600;30392;1998864;204916484100;944
AAS1DModeChanDS;100000;1000;-1;-1;316;30000;2800000;14024800600;28949;1998864;204916484100;916
AAS1DModeChanDS;100000;1000;-1;-1;316;60000;2800000;14024800600;29151;1998864;204916484100;884
AAS1DModeChanDS;100000;10000;-1;-1;316;5;2800000;9014706100;66900;1998864;422061992100;621
AAS1DModeChanDS;100000;10000;-1;-1;316;10;2800000;9014706100;64337;1998864;422061992100;1773
AAS1DModeChanDS;100000;10000;-1;-1;316;50;2800000;9014706100;62185;1998864;422061992100;9089
AAS1DModeChanDS;100000;10000;-1;-1;316;100;2800000;9014706100;61938;1998864;422061992100;14996
AAS1DModeChanDS;100000;10000;-1;-1;316;500;2800000;9014706100;65142;1998864;422061992100;2685
AAS1DModeChanDS;100000;10000;-1;-1;316;1000;2800000;9014706100;68964;1998864;422061992100;4458
AAS1DModeChanDS;100000;10000;-1;-1;316;5000;2800000;9014706100;63437;1998864;422061992100;2924
AAS1DModeChanDS;100000;10000;-1;-1;316;10000;2800000;9014706100;70180;1998864;422061992100;3239
AAS1DModeChanDS;100000;10000;-1;-1;316;30000;2800000;9014706100;67641;1998864;422061992100;2646
AAS1DModeChanDS;100000;10000;-1;-1;316;60000;2800000;9014706100;67903;1998864;422061992100;2383
AAS1DModeChanDS;100000;100000;-1;-1;316;5;2800000;11064236900;28785;1998864;584182219800;286
AAS1DModeChanDS;100000;100000;-1;-1;316;10;2800000;11064236900;29614;1998864;584182219800;625
AAS1DModeChanDS;100000;100000;-1;-1;316;50;2800000;11064236900;28800;1998864;584182219800;3548
AAS1DModeChanDS;100000;100000;-1;-1;316;100;2800000;11064236900;29504;1998864;584182219800;6584
AAS1DModeChanDS;100000;100000;-1;-1;316;500;2800000;11064236900;32691;1998864;584182219800;700
AAS1DModeChanDS;100000;100000;-1;-1;316;1000;2800000;11064236900;30690;1998864;584182219800;644
AAS1DModeChanDS;100000;100000;-1;-1;316;5000;2800000;11064236900;29482;1998864;584182219800;639
AAS1DModeChanDS;100000;100000;-1;-1;316;10000;2800000;11064236900;29695;1998864;584182219800;613
AAS1DModeChanDS;100000;100000;-1;-1;316;30000;2800000;11064236900;31677;1998864;584182219800;621
