DSType;numPoints;numColors;gamma;alpha;r;k;rangeSpace;rangeBuildTime;rangeQueryTime;modeSpace;modeBuildTime;modeQueryTime
AAS1DModeChanDS;50000;500;-1;-1;2;5;1400000;2866463100;31896;600048;2123100;275
AAS1DModeChanDS;50000;500;-1;-1;2;10;1400000;2866463100;30679;600048;2123100;631
AAS1DModeChanDS;50000;500;-1;-1;2;50;1400000;2866463100;33432;600048;2123100;3836
AAS1DModeChanDS;50000;500;-1;-1;2;100;1400000;2866463100;32131;600048;2123100;8752
AAS1DModeChanDS;50000;500;-1;-1;2;500;1400000;2866463100;30253;600048;2123100;40787
AAS1DModeChanDS;50000;500;-1;-1;2;1000;1400000;2866463100;30651;600048;2123100;74375
AAS1DModeChanDS;50000;500;-1;-1;2;5000;1400000;2866463100;33668;600048;2123100;243459
AAS1DModeChanDS;50000;500;-1;-1;2;10000;1400000;2866463100;30957;600048;2123100;423820
AAS1DModeChanDS;50000;500;-1;-1;2;30000;1400000;2866463100;31728;600048;2123100;33047
AAS1DModeChanDS;50000;500;-1;-1;5;5;1400000;2628967700;31891;600216;10392000;276
AAS1DModeChanDS;50000;500;-1;-1;5;10;1400000;2628967700;31933;600216;10392000;603
AAS1DModeChanDS;50000;500;-1;-1;5;50;1400000;2628967700;30074;600216;10392000;3845
AAS1DModeChanDS;50000;500;-1;-1;5;100;1400000;2628967700;31749;600216;10392000;10440
AAS1DModeChanDS;50000;500;-1;-1;5;500;1400000;2628967700;31894;600216;10392000;39765
AAS1DModeChanDS;50000;500;-1;-1;5;1000;1400000;2628967700;30570;600216;10392000;67131
AAS1DModeChanDS;50000;500;-1;-1;5;5000;1400000;2628967700;30703;600216;10392000;181546
AAS1DModeChanDS;50000;500;-1;-1;5;10000;1400000;2628967700;31281;600216;10392000;174690
AAS1DModeChanDS;50000;500;-1;-1;5;30000;1400000;2628967700;30251;600216;10392000;20198
AAS1DModeChanDS;50000;500;-1;-1;10;5;1400000;2659588900;32227;600816;39465100;278
AAS1DModeChanDS;50000;500;-1;-1;10;10;1400000;2659588900;31805;600816;39465100;610
AAS1DModeChanDS;50000;500;-1;-1;10;50;1400000;2659588900;30681;600816;39465100;3859
AAS1DModeChanDS;50000;500;-1;-1;10;100;1400000;2659588900;30248;600816;39465100;8150
AAS1DModeChanDS;50000;500;-1;-1;10;500;1400000;2659588900;30829;600816;39465100;41556
AAS1DModeChanDS;50000;500;-1;-1;10;1000;1400000;2659588900;30810;600816;39465100;62365
AAS1DModeChanDS;50000;500;-1;-1;10;5000;1400000;2659588900;32437;600816;39465100;72971
AAS1DModeChanDS;50000;500;-1;-1;10;10000;1400000;2659588900;30884;600816;39465100;12810
AAS1DModeChanDS;50000;500;-1;-1;10;30000;1400000;2659588900;30481;600816;39465100;12452
AAS1DModeChanDS;50000;500;-1;-1;20;5;1400000;2739795400;31830;603216;165079900;284
AAS1DModeChanDS;50000;500;-1;-1;20;10;1400000;2739795400;31697;603216;165079900;805
AAS1DModeChanDS;50000;500;-1;-1;20;50;1400000;2739795400;31652;603216;165079900;4025
AAS1DModeChanDS;50000;500;-1;-1;20;100;1400000;2739795400;32018;603216;165079900;9837
AAS1DModeChanDS;50000;500;-1;-1;20;500;1400000;2739795400;31646;603216;165079900;34908
AAS1DModeChanDS;50000;500;-1;-1;20;1000;1400000;2739795400;31203;603216;165079900;51416
AAS1DModeChanDS;50000;500;-1;-1;20;5000;1400000;2739795400;32494;603216;165079900;9004
AAS1DModeChanDS;50000;500;-1;-1;20;10000;1400000;2739795400;31132;603216;165079900;8861
AAS1DModeChanDS;50000;500;-1;-1;20;30000;1400000;2739795400;32798;603216;165079900;8397
AAS1DModeChanDS;50000;500;-1;-1;40;5;1400000;2502046100;39588;612816;632879200;335
AAS1DModeChanDS;50000;500;-1;-1;40;10;1400000;2502046100;48317;612816;632879200;748
AAS1DModeChanDS;50000;500;-1;-1;40;50;1400000;2502046100;41305;612816;632879200;5449
AAS1DModeChanDS;50000;500;-1;-1;40;100;1400000;2502046100;40337;612816;632879200;7721
AAS1DModeChanDS;50000;500;-1;-1;40;500;1400000;2502046100;39356;612816;632879200;30155
AAS1DModeChanDS;50000;500;-1;-1;40;1000;1400000;2502046100;31871;612816;632879200;27440
AAS1DModeChanDS;50000;500;-1;-1;40;5000;1400000;2502046100;31420;612816;632879200;5557
AAS1DModeChanDS;50000;500;-1;-1;40;10000;1400000;2502046100;38728;612816;632879200;5423
AAS1DModeChanDS;50000;500;-1;-1;40;30000;1400000;2502046100;37332;612816;632879200;4918
AAS1DModeChanDS;50000;500;-1;-1;70;5;1400000;2568733300;41446;639216;1928068300;281
AAS1DModeChanDS;50000;500;-1;-1;70;10;1400000;2568733300;40774;639216;1928068300;608
AAS1DModeChanDS;50000;500;-1;-1;70;50;1400000;2568733300;39496;639216;1928068300;3691
AAS1DModeChanDS;50000;500;-1;-1;70;100;1400000;2568733300;39640;639216;1928068300;7422
AAS1DModeChanDS;50000;500;-1;-1;70;500;1400000;2568733300;39865;639216;1928068300;19950
AAS1DModeChanDS;50000;500;-1;-1;70;1000;1400000;2568733300;37539;639216;1928068300;4570
AAS1DModeChanDS;50000;500;-1;-1;70;5000;1400000;2568733300;38270;639216;1928068300;3033
AAS1DModeChanDS;50000;500;-1;-1;70;10000;1400000;2568733300;39107;639216;1928068300;2824
AAS1DModeChanDS;50000;500;-1;-1;70;30000;1400000;2568733300;37921;639216;1928068300;2206
AAS1DModeChanDS;50000;500;-1;-1;100;5;1400000;2608219500;41823;680016;3921516300;282
AAS1DModeChanDS;50000;500;-1;-1;100;10;1400000;2608219500;42227;680016;3921516300;612
AAS1DModeChanDS;50000;500;-1;-1;100;50;1400000;2608219500;40404;680016;3921516300;3546
AAS1DModeChanDS;50000;500;-1;-1;100;100;1400000;2608219500;43291;680016;3921516300;6925
AAS1DModeChanDS;50000;500;-1;-1;100;500;1400000;2608219500;39744;680016;3921516300;7469
AAS1DModeChanDS;50000;500;-1;-1;100;1000;1400000;2608219500;34444;680016;3921516300;1995
AAS1DModeChanDS;50000;500;-1;-1;100;5000;1400000;2608219500;31487;680016;3921516300;2008
AAS1DModeChanDS;50000;500;-1;-1;100;10000;1400000;2608219500;41430;680016;3921516300;2575
AAS1DModeChanDS;50000;500;-1;-1;100;30000;1400000;2608219500;38388;680016;3921516300;1719
AAS1DModeChanDS;50000;500;-1;-1;150;5;1400000;2525336200;33294;780016;8808004600;447
AAS1DModeChanDS;50000;500;-1;-1;150;10;1400000;2525336200;32481;780016;8808004600;602
AAS1DModeChanDS;50000;500;-1;-1;150;50;1400000;2525336200;31687;780016;8808004600;3390
AAS1DModeChanDS;50000;500;-1;-1;150;100;1400000;2525336200;32257;780016;8808004600;6275
AAS1DModeChanDS;50000;500;-1;-1;150;500;1400000;2525336200;32219;780016;8808004600;1130
AAS1DModeChanDS;50000;500;-1;-1;150;1000;1400000;2525336200;31747;780016;8808004600;1127
AAS1DModeChanDS;50000;500;-1;-1;150;5000;1400000;2525336200;32028;780016;8808004600;1149
AAS1DModeChanDS;50000;500;-1;-1;150;10000;1400000;2525336200;32117;780016;8808004600;1087
AAS1DModeChanDS;50000;500;-1;-1;150;30000;1400000;2525336200;31888;780016;8808004600;925
AAS1DModeChanDS;50000;500;-1;-1;200;5;1400000;2681379900;35488;920016;15840081800;287
AAS1DModeChanDS;50000;500;-1;-1;200;10;1400000;2681379900;32395;920016;15840081800;618
AAS1DModeChanDS;50000;500;-1;-1;200;50;1400000;2681379900;32370;920016;15840081800;3364
AAS1DModeChanDS;50000;500;-1;-1;200;100;1400000;2681379900;32880;920016;15840081800;5596
AAS1DModeChanDS;50000;500;-1;-1;200;500;1400000;2681379900;31748;920016;15840081800;811
AAS1DModeChanDS;50000;500;-1;-1;200;1000;1400000;2681379900;32982;920016;15840081800;820
AAS1DModeChanDS;50000;500;-1;-1;200;5000;1400000;2681379900;31626;920016;15840081800;828
AAS1DModeChanDS;50000;500;-1;-1;200;10000;1400000;2681379900;32745;920016;15840081800;829
AAS1DModeChanDS;50000;500;-1;-1;200;30000;1400000;2681379900;31881;920016;15840081800;803
AAS1DModeChanDS;50000;500;-1;-1;300;5;1400000;2729491700;33047;1320016;35235380200;294
AAS1DModeChanDS;50000;500;-1;-1;300;10;1400000;2729491700;32505;1320016;35235380200;594
AAS1DModeChanDS;50000;500;-1;-1;300;50;1400000;2729491700;32613;1320016;35235380200;3192
AAS1DModeChanDS;50000;500;-1;-1;300;100;1400000;2729491700;32584;1320016;35235380200;3667
AAS1DModeChanDS;50000;500;-1;-1;300;500;1400000;2729491700;32291;1320016;35235380200;487
AAS1DModeChanDS;50000;500;-1;-1;300;1000;1400000;2729491700;32236;1320016;35235380200;498
