DSType;numPoints;numColors;gamma;alpha;r;k;rangeSpace;rangeBuildTime;rangeQueryTime;modeSpace;modeBuildTime;modeQueryTime
AAS1DModeChanDS;500000;10000;-1;-1;2;5;14000000;505265501100;774377;6000048;35819400;325
AAS1DModeChanDS;500000;10000;-1;-1;2;10;14000000;505265501100;790093;6000048;35819400;665
AAS1DModeChanDS;500000;10000;-1;-1;2;50;14000000;505265501100;773132;6000048;35819400;4143
AAS1DModeChanDS;500000;10000;-1;-1;2;100;14000000;505265501100;773456;6000048;35819400;9019
AAS1DModeChanDS;500000;10000;-1;-1;2;500;14000000;505265501100;770601;6000048;35819400;51013
AAS1DModeChanDS;500000;10000;-1;-1;2;1000;14000000;505265501100;785734;6000048;35819400;108554
AAS1DModeChanDS;500000;10000;-1;-1;2;5000;14000000;505265501100;775558;6000048;35819400;594934
AAS1DModeChanDS;500000;10000;-1;-1;2;10000;14000000;505265501100;776147;6000048;35819400;1167819
AAS1DModeChanDS;500000;10000;-1;-1;2;30000;14000000;505265501100;774341;6000048;35819400;3013786
AAS1DModeChanDS;500000;10000;-1;-1;2;60000;14000000;505265501100;784447;6000048;35819400;5245394
AAS1DModeChanDS;500000;10000;-1;-1;5;5;14000000;476436677800;783598;6000216;190266900;327
AAS1DModeChanDS;500000;10000;-1;-1;5;10;14000000;476436677800;779004;6000216;190266900;670
AAS1DModeChanDS;500000;10000;-1;-1;5;50;14000000;476436677800;866990;6000216;190266900;5634
AAS1DModeChanDS;500000;10000;-1;-1;5;100;14000000;476436677800;875895;6000216;190266900;10566
AAS1DModeChanDS;500000;10000;-1;-1;5;500;14000000;476436677800;862182;6000216;190266900;56227
AAS1DModeChanDS;500000;10000;-1;-1;5;1000;14000000;476436677800;830695;6000216;190266900;117211
AAS1DModeChanDS;500000;10000;-1;-1;5;5000;14000000;476436677800;804651;6000216;190266900;598312
AAS1DModeChanDS;500000;10000;-1;-1;5;10000;14000000;476436677800;814314;6000216;190266900;1157522
AAS1DModeChanDS;500000;10000;-1;-1;5;30000;14000000;476436677800;795875;6000216;190266900;2635004
AAS1DModeChanDS;500000;10000;-1;-1;5;60000;14000000;476436677800;791238;6000216;190266900;3669364
AAS1DModeChanDS;500000;10000;-1;-1;10;5;14000000;500007087700;774702;6000816;745835800;328
AAS1DModeChanDS;500000;10000;-1;-1;10;10;14000000;500007087700;774266;6000816;745835800;662
AAS1DModeChanDS;500000;10000;-1;-1;10;50;14000000;500007087700;773735;6000816;745835800;4136
AAS1DModeChanDS;500000;10000;-1;-1;10;100;14000000;500007087700;779857;6000816;745835800;9226
AAS1DModeChanDS;500000;10000;-1;-1;10;500;14000000;500007087700;773245;6000816;745835800;52376
AAS1DModeChanDS;500000;10000;-1;-1;10;1000;14000000;500007087700;782110;6000816;745835800;105421
AAS1DModeChanDS;500000;10000;-1;-1;10;5000;14000000;500007087700;772860;6000816;745835800;551623
AAS1DModeChanDS;500000;10000;-1;-1;10;10000;14000000;500007087700;772948;6000816;745835800;1047414
AAS1DModeChanDS;500000;10000;-1;-1;10;30000;14000000;500007087700;794442;6000816;745835800;1775485
AAS1DModeChanDS;500000;10000;-1;-1;10;60000;14000000;500007087700;776839;6000816;745835800;226710
AAS1DModeChanDS;500000;10000;-1;-1;20;5;14000000;480975962200;787020;6003216;2971236000;365
AAS1DModeChanDS;500000;10000;-1;-1;20;10;14000000;480975962200;831884;6003216;2971236000;731
AAS1DModeChanDS;500000;10000;-1;-1;20;50;14000000;480975962200;822496;6003216;2971236000;4344
AAS1DModeChanDS;500000;10000;-1;-1;20;100;14000000;480975962200;807752;6003216;2971236000;9160
AAS1DModeChanDS;500000;10000;-1;-1;20;500;14000000;480975962200;802715;6003216;2971236000;51493
AAS1DModeChanDS;500000;10000;-1;-1;20;1000;14000000;480975962200;799345;6003216;2971236000;105268
AAS1DModeChanDS;500000;10000;-1;-1;20;5000;14000000;480975962200;785782;6003216;2971236000;507666
AAS1DModeChanDS;500000;10000;-1;-1;20;10000;14000000;480975962200;788111;6003216;2971236000;827362
AAS1DModeChanDS;500000;10000;-1;-1;20;30000;14000000;480975962200;788415;6003216;2971236000;161116
AAS1DModeChanDS;500000;10000;-1;-1;20;60000;14000000;480975962200;832299;6003216;2971236000;145579
AAS1DModeChanDS;500000;10000;-1;-1;40;5;14000000;481023745200;775083;6012816;12079867800;342
AAS1DModeChanDS;500000;10000;-1;-1;40;10;14000000;481023745200;779026;6012816;12079867800;670
AAS1DModeChanDS;500000;10000;-1;-1;40;50;14000000;481023745200;779086;6012816;12079867800;4116
AAS1DModeChanDS;500000;10000;-1;-1;40;100;14000000;481023745200;776376;6012816;12079867800;8972
AAS1DModeChanDS;500000;10000;-1;-1;40;500;14000000;481023745200;774321;6012816;12079867800;49476
AAS1DModeChanDS;500000;10000;-1;-1;40;1000;14000000;481023745200;787967;6012816;12079867800;100330
AAS1DModeChanDS;500000;10000;-1;-1;40;5000;14000000;481023745200;795056;6012816;12079867800;409169
AAS1DModeChanDS;500000;10000;-1;-1;40;10000;14000000;481023745200;768948;6012816;12079867800;441720
AAS1DModeChanDS;500000;10000;-1;-1;40;30000;14000000;481023745200;773019;6012816;12079867800;75255
AAS1DModeChanDS;500000;10000;-1;-1;40;60000;14000000;481023745200;797006;6012816;12079867800;82420
AAS1DModeChanDS;500000;10000;-1;-1;70;5;14000000;480697275400;798648;6039216;38236272400;317
AAS1DModeChanDS;500000;10000;-1;-1;70;10;14000000;480697275400;787134;6039216;38236272400;687
AAS1DModeChanDS;500000;10000;-1;-1;70;50;14000000;480697275400;786819;6039216;38236272400;4135
AAS1DModeChanDS;500000;10000;-1;-1;70;100;14000000;480697275400;785572;6039216;38236272400;8925
AAS1DModeChanDS;500000;10000;-1;-1;70;500;14000000;480697275400;851843;6039216;38236272400;64959
AAS1DModeChanDS;500000;10000;-1;-1;70;1000;14000000;480697275400;920590;6039216;38236272400;109592
AAS1DModeChanDS;500000;10000;-1;-1;70;5000;14000000;480697275400;885339;6039216;38236272400;269072
AAS1DModeChanDS;500000;10000;-1;-1;70;10000;14000000;480697275400;792985;6039216;38236272400;36607
AAS1DModeChanDS;500000;10000;-1;-1;70;30000;14000000;480697275400;836362;6039216;38236272400;35534
AAS1DModeChanDS;500000;10000;-1;-1;70;60000;14000000;480697275400;797533;6039216;38236272400;37694
AAS1DModeChanDS;500000;10000;-1;-1;100;5;14000000;502035336100;787921;6080016;74197957800;319
AAS1DModeChanDS;500000;10000;-1;-1;100;10;14000000;502035336100;823664;6080016;74197957800;659
AAS1DModeChanDS;500000;10000;-1;-1;100;50;14000000;502035336100;782649;6080016;74197957800;4091
AAS1DModeChanDS;500000;10000;-1;-1;100;100;14000000;502035336100;780905;6080016;74197957800;8787
AAS1DModeChanDS;500000;10000;-1;-1;100;500;14000000;502035336100;777862;6080016;74197957800;46957
AAS1DModeChanDS;500000;10000;-1;-1;100;1000;14000000;502035336100;807747;6080016;74197957800;92046
AAS1DModeChanDS;500000;10000;-1;-1;100;5000;14000000;502035336100;776980;6080016;74197957800;124747
AAS1DModeChanDS;500000;10000;-1;-1;100;10000;14000000;502035336100;784026;6080016;74197957800;26208
AAS1DModeChanDS;500000;10000;-1;-1;100;30000;14000000;502035336100;804130;6080016;74197957800;26531
