DSType;numPoints;numColors;gamma;alpha;r;k;rangeSpace;rangeBuildTime;rangeQueryTime;modeSpace;modeBuildTime;modeQueryTime
AAS1DModeChanDS;6218;18;0;0;78.8543;5;174104;61271300;3411;123304;52093200;222
AAS1DModeChanDS;6218;18;0;0;78.8543;10;174104;61271300;2635;123304;52093200;490
AAS1DModeChanDS;6218;18;0;0;78.8543;50;174104;61271300;2354;123304;52093200;1178
AAS1DModeChanDS;6218;18;0;0;78.8543;100;174104;61271300;2427;123304;52093200;145
AAS1DModeChanDS;6218;18;0;0;78.8543;500;174104;61271300;2458;123304;52093200;142
AAS1DModeChanDS;6218;18;0;0;78.8543;1000;174104;61271300;2415;123304;52093200;146
AAS1DModeChanDS;6218;18;0;0;78.8543;5000;174104;61271300;2266;123304;52093200;141
AAS1DModeChanDS;6223;17;0;0;78.886;5;174244;43038800;3982;123364;60498200;132
AAS1DModeChanDS;6223;17;0;0;78.886;10;174244;43038800;4815;123364;60498200;259
AAS1DModeChanDS;6223;17;0;0;78.886;50;174244;43038800;2478;123364;60498200;710
AAS1DModeChanDS;6223;17;0;0;78.886;100;174244;43038800;2257;123364;60498200;126
AAS1DModeChanDS;6223;17;0;0;78.886;500;174244;43038800;5699;123364;60498200;434
AAS1DModeChanDS;6223;17;0;0;78.886;1000;174244;43038800;4044;123364;60498200;146
AAS1DModeChanDS;6223;17;0;0;78.886;5000;174244;43038800;2412;123364;60498200;166
AAS1DModeChanDS;6277;18;0;0;79.2275;5;175756;28823900;2564;125268;51978100;111
AAS1DModeChanDS;6277;18;0;0;79.2275;10;175756;28823900;2330;125268;51978100;151
AAS1DModeChanDS;6277;18;0;0;79.2275;50;175756;28823900;2497;125268;51978100;158
AAS1DModeChanDS;6277;18;0;0;79.2275;100;175756;28823900;2227;125268;51978100;122
AAS1DModeChanDS;6277;18;0;0;79.2275;500;175756;28823900;2511;125268;51978100;214
AAS1DModeChanDS;6277;18;0;0;79.2275;1000;175756;28823900;2433;125268;51978100;90
AAS1DModeChanDS;6277;18;0;0;79.2275;5000;175756;28823900;3320;125268;51978100;110
AAS1DModeChanDS;6274;17;0;0;79.2086;5;175672;25466800;2726;125232;52624400;631
AAS1DModeChanDS;6274;17;0;0;79.2086;10;175672;25466800;3173;125232;52624400;588
AAS1DModeChanDS;6274;17;0;0;79.2086;50;175672;25466800;2714;125232;52624400;157
AAS1DModeChanDS;6274;17;0;0;79.2086;100;175672;25466800;2733;125232;52624400;135
AAS1DModeChanDS;6274;17;0;0;79.2086;500;175672;25466800;2960;125232;52624400;149
AAS1DModeChanDS;6274;17;0;0;79.2086;1000;175672;25466800;2283;125232;52624400;64
AAS1DModeChanDS;6274;17;0;0;79.2086;5000;175672;25466800;2460;125232;52624400;56
AAS1DModeChanDS;6300;17;0;0;79.3725;5;176400;19077600;2578;125544;53350500;394
AAS1DModeChanDS;6300;17;0;0;79.3725;10;176400;19077600;2714;125544;53350500;464
AAS1DModeChanDS;6300;17;0;0;79.3725;50;176400;19077600;4200;125544;53350500;908
AAS1DModeChanDS;6300;17;0;0;79.3725;100;176400;19077600;2783;125544;53350500;133
AAS1DModeChanDS;6300;17;0;0;79.3725;500;176400;19077600;2815;125544;53350500;116
AAS1DModeChanDS;6300;17;0;0;79.3725;1000;176400;19077600;2403;125544;53350500;191
AAS1DModeChanDS;6300;17;0;0;79.3725;5000;176400;19077600;2873;125544;53350500;130
AAS1DModeChanDS;6276;19;0;0;79.2212;5;175728;19358700;2824;125256;56081500;556
AAS1DModeChanDS;6276;19;0;0;79.2212;10;175728;19358700;2378;125256;56081500;462
AAS1DModeChanDS;6276;19;0;0;79.2212;50;175728;19358700;2541;125256;56081500;148
AAS1DModeChanDS;6276;19;0;0;79.2212;100;175728;19358700;2544;125256;56081500;131
AAS1DModeChanDS;6276;19;0;0;79.2212;500;175728;19358700;2838;125256;56081500;149
AAS1DModeChanDS;6276;19;0;0;79.2212;1000;175728;19358700;2513;125256;56081500;73
AAS1DModeChanDS;6276;19;0;0;79.2212;5000;175728;19358700;2457;125256;56081500;97
AAS1DModeChanDS;6273;18;0;0;79.2023;5;175644;13418000;2447;125220;55090700;92
AAS1DModeChanDS;6273;18;0;0;79.2023;10;175644;13418000;2375;125220;55090700;240
AAS1DModeChanDS;6273;18;0;0;79.2023;50;175644;13418000;2540;125220;55090700;184
AAS1DModeChanDS;6273;18;0;0;79.2023;100;175644;13418000;2779;125220;55090700;133
AAS1DModeChanDS;6273;18;0;0;79.2023;500;175644;13418000;2494;125220;55090700;122
AAS1DModeChanDS;6273;18;0;0;79.2023;1000;175644;13418000;2783;125220;55090700;71
AAS1DModeChanDS;6273;18;0;0;79.2023;5000;175644;13418000;2529;125220;55090700;61
AAS1DModeChanDS;6274;17;0;0;79.2086;5;175672;22882300;2332;125232;52055300;127
AAS1DModeChanDS;6274;17;0;0;79.2086;10;175672;22882300;3027;125232;52055300;177
