DSType;numPoints;numColors;gamma;alpha;r;k;rangeSpace;rangeBuildTime;rangeQueryTime;modeSpace;modeBuildTime;modeQueryTime
RustDSType::Trivial;6223;17;0;0;18.3936;5;2589745;16179700;18084;448224;662400;4823
RustDSType::Trivial;6223;17;0;0;18.3936;10;2589745;16179700;26854;448224;662400;9586
RustDSType::Trivial;6223;17;0;0;18.3936;50;2589745;16179700;18345;448224;662400;16507
RustDSType::Trivial;6223;17;0;0;18.3936;100;2589745;16179700;22775;448224;662400;27824
RustDSType::Trivial;6223;17;0;0;18.3936;500;2589745;16179700;21496;448224;662400;31139
RustDSType::Trivial;6223;17;0;0;18.3936;1000;2589745;16179700;21789;448224;662400;44292
RustDSType::Trivial;6223;17;0;0;18.3936;5000;2589745;16179700;23490;448224;662400;92172
RustDSType::Trivial;6277;18;0;0;18.4466;5;2614261;17885500;18708;452112;762200;4952
RustDSType::Trivial;6277;18;0;0;18.4466;10;2614261;17885500;20917;452112;762200;10703
RustDSType::Trivial;6277;18;0;0;18.4466;50;2614261;17885500;18276;452112;762200;15742
RustDSType::Trivial;6277;18;0;0;18.4466;100;2614261;17885500;23406;452112;762200;25216
RustDSType::Trivial;6277;18;0;0;18.4466;500;2614261;17885500;20967;452112;762200;31296
RustDSType::Trivial;6277;18;0;0;18.4466;1000;2614261;17885500;21035;452112;762200;48202
RustDSType::Trivial;6277;18;0;0;18.4466;5000;2614261;17885500;24069;452112;762200;100790
RustDSType::Trivial;6274;17;0;0;18.4437;5;2612461;17782000;26633;451896;880900;7136
RustDSType::Trivial;6274;17;0;0;18.4437;10;2612461;17782000;24276;451896;880900;12628
RustDSType::Trivial;6274;17;0;0;18.4437;50;2612461;17782000;23364;451896;880900;22581
RustDSType::Trivial;6274;17;0;0;18.4437;100;2612461;17782000;30085;451896;880900;26967
RustDSType::Trivial;6274;17;0;0;18.4437;500;2612461;17782000;33869;451896;880900;52512
RustDSType::Trivial;6274;17;0;0;18.4437;1000;2612461;17782000;37078;451896;880900;65168
RustDSType::Trivial;6274;17;0;0;18.4437;5000;2612461;17782000;34411;451896;880900;133173
RustDSType::Trivial;6300;17;0;0;18.4691;5;2624265;29134100;25488;453768;1149400;6109
RustDSType::Trivial;6300;17;0;0;18.4691;10;2624265;29134100;29716;453768;1149400;12064
RustDSType::Trivial;6300;17;0;0;18.4691;50;2624265;29134100;24020;453768;1149400;20611
RustDSType::Trivial;6300;17;0;0;18.4691;100;2624265;29134100;24859;453768;1149400;30864
RustDSType::Trivial;6300;17;0;0;18.4691;500;2624265;29134100;32164;453768;1149400;36740
RustDSType::Trivial;6300;17;0;0;18.4691;1000;2624265;29134100;32363;453768;1149400;66125
RustDSType::Trivial;6300;17;0;0;18.4691;5000;2624265;29134100;37191;453768;1149400;126824
RustDSType::Trivial;6276;19;0;0;18.4457;5;2612931;25192300;27394;452040;1173000;6735
RustDSType::Trivial;6276;19;0;0;18.4457;10;2612931;25192300;28170;452040;1173000;16332
RustDSType::Trivial;6276;19;0;0;18.4457;50;2612931;25192300;32762;452040;1173000;19615
RustDSType::Trivial;6276;19;0;0;18.4457;100;2612931;25192300;24216;452040;1173000;34503
RustDSType::Trivial;6276;19;0;0;18.4457;500;2612931;25192300;38717;452040;1173000;35263
RustDSType::Trivial;6276;19;0;0;18.4457;1000;2612931;25192300;24751;452040;1173000;71235
RustDSType::Trivial;6276;19;0;0;18.4457;5000;2612931;25192300;37985;452040;1173000;207343
RustDSType::Trivial;6273;18;0;0;18.4427;5;2612007;63759600;64746;451824;2139500;14104
RustDSType::Trivial;6273;18;0;0;18.4427;10;2612007;63759600;54686;451824;2139500;30291
RustDSType::Trivial;6273;18;0;0;18.4427;50;2612007;63759600;66405;451824;2139500;47495
RustDSType::Trivial;6273;18;0;0;18.4427;100;2612007;63759600;66384;451824;2139500;66153
RustDSType::Trivial;6273;18;0;0;18.4427;500;2612007;63759600;71125;451824;2139500;95901
RustDSType::Trivial;6273;18;0;0;18.4427;1000;2612007;63759600;78099;451824;2139500;123824
RustDSType::Trivial;6273;18;0;0;18.4427;5000;2612007;63759600;77198;451824;2139500;253894
RustDSType::Trivial;6274;17;0;0;18.4437;5;2612023;49307400;41315;451896;1884600;12677
RustDSType::Trivial;6274;17;0;0;18.4437;10;2612023;49307400;37650;451896;1884600;24208
RustDSType::Trivial;6274;17;0;0;18.4437;50;2612023;49307400;46905;451896;1884600;35518
RustDSType::Trivial;6274;17;0;0;18.4437;100;2612023;49307400;45006;451896;1884600;50257
RustDSType::Trivial;6274;17;0;0;18.4437;500;2612023;49307400;40448;451896;1884600;66876
RustDSType::Trivial;6274;17;0;0;18.4437;1000;2612023;49307400;47985;451896;1884600;102739
RustDSType::Trivial;6274;17;0;0;18.4437;5000;2612023;49307400;47673;451896;1884600;213973
RustDSType::Trivial;6278;19;0;0;18.4476;5;2613839;33688800;38627;452184;1374300;12401
RustDSType::Trivial;6278;19;0;0;18.4476;10;2613839;33688800;40029;452184;1374300;23283
RustDSType::Trivial;6278;19;0;0;18.4476;50;2613839;33688800;65226;452184;1374300;49948
RustDSType::Trivial;6278;19;0;0;18.4476;100;2613839;33688800;74040;452184;1374300;76502
RustDSType::Trivial;6278;19;0;0;18.4476;500;2613839;33688800;76879;452184;1374300;110924
RustDSType::Trivial;6278;19;0;0;18.4476;1000;2613839;33688800;75716;452184;1374300;135586
RustDSType::Trivial;6278;19;0;0;18.4476;5000;2613839;33688800;63034;452184;1374300;278840
RustDSType::Trivial;6271;18;0;0;18.4408;5;2610223;57314500;65357;451680;1815000;15762
RustDSType::Trivial;6271;18;0;0;18.4408;10;2610223;57314500;55556;451680;1815000;25638
RustDSType::Trivial;6271;18;0;0;18.4408;50;2610223;57314500;62662;451680;1815000;44205
RustDSType::Trivial;6271;18;0;0;18.4408;100;2610223;57314500;48757;451680;1815000;54968
RustDSType::Trivial;6271;18;0;0;18.4408;500;2610223;57314500;61636;451680;1815000;93575
RustDSType::Trivial;6271;18;0;0;18.4408;1000;2610223;57314500;64920;451680;1815000;127705
RustDSType::Trivial;6271;18;0;0;18.4408;5000;2610223;57314500;54278;451680;1815000;275908
RustDSType::Trivial;6218;18;0;0;18.3887;5;2587475;57869600;58890;447864;2040100;17489
RustDSType::Trivial;6218;18;0;0;18.3887;10;2587475;57869600;59251;447864;2040100;30797
RustDSType::Trivial;6218;18;0;0;18.3887;50;2587475;57869600;58728;447864;2040100;47697
RustDSType::Trivial;6218;18;0;0;18.3887;100;2587475;57869600;68823;447864;2040100;69853
RustDSType::Trivial;6218;18;0;0;18.3887;500;2587475;57869600;80348;447864;2040100;105215
RustDSType::Trivial;6218;18;0;0;18.3887;1000;2587475;57869600;78594;447864;2040100;147465
RustDSType::Trivial;6218;18;0;0;18.3887;5000;2587475;57869600;90505;447864;2040100;262193
RustDSType::RustRangeTree;6223;17;0;0;18.3936;5;2589745;58249300;63739;3322496;17056600;1885
RustDSType::RustRangeTree;6223;17;0;0;18.3936;10;2589745;58249300;67945;3322496;17056600;2838
RustDSType::RustRangeTree;6223;17;0;0;18.3936;50;2589745;58249300;74456;3322496;17056600;11678
RustDSType::RustRangeTree;6223;17;0;0;18.3936;100;2589745;58249300;66546;3322496;17056600;12660
RustDSType::RustRangeTree;6223;17;0;0;18.3936;500;2589745;58249300;55990;3322496;17056600;37628
RustDSType::RustRangeTree;6223;17;0;0;18.3936;1000;2589745;58249300;67461;3322496;17056600;88393
RustDSType::RustRangeTree;6223;17;0;0;18.3936;5000;2589745;58249300;74377;3322496;17056600;285766
RustDSType::RustRangeTree;6277;18;0;0;18.4466;5;2614261;63928400;70206;3353600;16717000;1704
RustDSType::RustRangeTree;6277;18;0;0;18.4466;10;2614261;63928400;67708;3353600;16717000;4114
RustDSType::RustRangeTree;6277;18;0;0;18.4466;50;2614261;63928400;69831;3353600;16717000;8250
RustDSType::RustRangeTree;6277;18;0;0;18.4466;100;2614261;63928400;67843;3353600;16717000;16574
RustDSType::RustRangeTree;6277;18;0;0;18.4466;500;2614261;63928400;61067;3353600;16717000;42658
RustDSType::RustRangeTree;6277;18;0;0;18.4466;1000;2614261;63928400;60422;3353600;16717000;93893
RustDSType::RustRangeTree;6277;18;0;0;18.4466;5000;2614261;63928400;76921;3353600;16717000;330334
RustDSType::RustRangeTree;6274;17;0;0;18.4437;5;2612461;57279900;59763;3351872;15961300;931
RustDSType::RustRangeTree;6274;17;0;0;18.4437;10;2612461;57279900;65386;3351872;15961300;4207
RustDSType::RustRangeTree;6274;17;0;0;18.4437;50;2612461;57279900;64897;3351872;15961300;10669
RustDSType::RustRangeTree;6274;17;0;0;18.4437;100;2612461;57279900;33966;3351872;15961300;5351
RustDSType::RustRangeTree;6274;17;0;0;18.4437;500;2612461;57279900;20540;3351872;15961300;13957
RustDSType::RustRangeTree;6274;17;0;0;18.4437;1000;2612461;57279900;21639;3351872;15961300;30216
RustDSType::RustRangeTree;6274;17;0;0;18.4437;5000;2612461;57279900;25325;3351872;15961300;101738
RustDSType::RustRangeTree;6300;17;0;0;18.4691;5;2624265;17132100;17090;3366848;4680800;423
RustDSType::RustRangeTree;6300;17;0;0;18.4691;10;2624265;17132100;16927;3366848;4680800;1020
RustDSType::RustRangeTree;6300;17;0;0;18.4691;50;2624265;17132100;18344;3366848;4680800;2615
RustDSType::RustRangeTree;6300;17;0;0;18.4691;100;2624265;17132100;20093;3366848;4680800;4955
RustDSType::RustRangeTree;6300;17;0;0;18.4691;500;2624265;17132100;21934;3366848;4680800;13718
RustDSType::RustRangeTree;6300;17;0;0;18.4691;1000;2624265;17132100;22588;3366848;4680800;29739
RustDSType::RustRangeTree;6300;17;0;0;18.4691;5000;2624265;17132100;27169;3366848;4680800;110641
RustDSType::RustRangeTree;6276;19;0;0;18.4457;5;2612931;24580500;20934;3353024;8105100;530
RustDSType::RustRangeTree;6276;19;0;0;18.4457;10;2612931;24580500;19014;3353024;8105100;1167
RustDSType::RustRangeTree;6276;19;0;0;18.4457;50;2612931;24580500;19740;3353024;8105100;2603
