DSType;dataType;numPoints;numColors;gamma;alpha;s;k;rangeSpace;rangeBuildTime;rangeQueryTime;modeSpace;modeBuildTime;modeQueryTime;modeQueryTimeExcludingFirst
AAS1DModeReportDS;synthetic;300000;50000;5000;0;547;10;2400000;310600;4446;1200000;162700;57;54
AAS1DModeReportDS;synthetic;300000;50000;5000;0;547;100;2400000;310600;4367;1200000;162700;281;278
AAS1DModeReportDS;synthetic;300000;50000;5000;0;547;1000;2400000;310600;4380;1200000;162700;2843;2843
AAS1DModeReportDS;synthetic;300000;50000;5000;0;547;10000;2400000;310600;4346;1200000;162700;28331;28332
AAS1DModeReportDS;synthetic;300000;50000;5000;0;547;50000;2400000;310600;4201;1200000;162700;141456;141465
AAS1DModeReportDS;synthetic;300000;50000;5000;0;547;100000;2400000;310600;3936;1200000;162700;282955;282917
AAS1DModeReportDS;synthetic;300000;50000;5000;0;547;150000;2400000;310600;3723;1200000;162700;424558;424543
AAS1DModeReportDS;synthetic;300000;50000;5000;0;547;200000;2400000;310600;3398;1200000;162700;566422;566515
AAS1DModeReportDS;synthetic;300000;50000;5000;0;547;250000;2400000;310600;3168;1200000;162700;707693;707717
AAS1DModeReportDS;synthetic;300000;50000;5000;0;547;300000;2400000;310600;2911;1200000;162700;849183;849114
AAS1DModeRangeTreesDS;synthetic;300000;50000;5000;0;547;10;2400000;290600;4420;1200008;18540100;578123;578344
AAS1DModeRangeTreesDS;synthetic;300000;50000;5000;0;547;100;2400000;290600;4448;1200008;18540100;577957;578320
AAS1DModeRangeTreesDS;synthetic;300000;50000;5000;0;547;1000;2400000;290600;4403;1200008;18540100;585174;586057
AAS1DModeRangeTreesDS;synthetic;300000;50000;5000;0;547;10000;2400000;290600;4368;1200008;18540100;647647;647033
AAS1DModeRangeTreesDS;synthetic;300000;50000;5000;0;547;50000;2400000;290600;4312;1200008;18540100;784163;784084
AAS1DModeRangeTreesDS;synthetic;300000;50000;5000;0;547;100000;2400000;290600;3981;1200008;18540100;803638;803884
AAS1DModeRangeTreesDS;synthetic;300000;50000;5000;0;547;150000;2400000;290600;3730;1200008;18540100;788785;787744
