DSType;dataType;numPoints;numColors;gamma;alpha;s;k;rangeSpace;rangeBuildTime;rangeQueryTime;modeSpace;modeBuildTime;modeQueryTime;modeQueryTimeExcludingFirst
AAS1DModeReportDS;synthetic;50000;50000;0;0;223;10;400000;68900;3041;200000;80900;36;31
AAS1DModeReportDS;synthetic;50000;50000;0;0;223;100;400000;68900;2985;200000;80900;248;247
AAS1DModeReportDS;synthetic;50000;50000;0;0;223;1000;400000;68900;2981;200000;80900;2511;2510
AAS1DModeReportDS;synthetic;50000;50000;0;0;223;10000;400000;68900;2793;200000;80900;25090;25087
AAS1DModeReportDS;synthetic;50000;50000;0;0;223;50000;400000;68900;1967;200000;80900;125493;125480
AAS1DModeRangeTreesDS;synthetic;50000;50000;0;0;223;10;400000;63000;3012;200008;6082600;207805;208050
AAS1DModeRangeTreesDS;synthetic;50000;50000;0;0;223;100;400000;63000;3009;200008;6082600;209654;208893
AAS1DModeRangeTreesDS;synthetic;50000;50000;0;0;223;1000;400000;63000;2964;200008;6082600;225615;226918
AAS1DModeRangeTreesDS;synthetic;50000;50000;0;0;223;10000;400000;63000;2885;200008;6082600;274318;273929
AAS1DModeRangeTreesDS;synthetic;50000;50000;0;0;223;50000;400000;63000;2026;200008;6082600;128297;128634
AAS1DModeChanDS;synthetic;50000;50000;0;0;223;10;400000;62000;3265;997848;5517457300;61;51
AAS1DModeChanDS;synthetic;50000;50000;0;0;223;100;400000;62000;3125;997848;5517457300;270;263
AAS1DModeChanDS;synthetic;50000;50000;0;0;223;1000;400000;62000;3127;997848;5517457300;495;453
AAS1DModeChanDS;synthetic;50000;50000;0;0;223;10000;400000;62000;2922;997848;5517457300;440;422
AAS1DModeChanDS;synthetic;50000;50000;0;0;223;50000;400000;62000;2129;997848;5517457300;380;377
AAS1DModeGridDS;synthetic;50000;50000;0;0;223;10;400000;60100;3131;797848;5448157200;56;46
AAS1DModeGridDS;synthetic;50000;50000;0;0;223;100;400000;60100;3032;797848;5448157200;272;267
AAS1DModeGridDS;synthetic;50000;50000;0;0;223;1000;400000;60100;3036;797848;5448157200;21522;21439
AAS1DModeGridDS;synthetic;50000;50000;0;0;223;10000;400000;60100;2812;797848;5448157200;19832;19790
AAS1DModeGridDS;synthetic;50000;50000;0;0;223;50000;400000;60100;1984;797848;5448157200;13940;13942
AAS1DModeReportDS;synthetic;100000;50000;0;0;316;10;800000;124300;3583;400000;90600;55;47
AAS1DModeReportDS;synthetic;100000;50000;0;0;316;100;800000;124300;3559;400000;90600;264;259
