DSType;dataType;numPoints;numColors;gamma;alpha;s;k;rangeSpace;rangeBuildTime;rangeQueryTime;modeSpace;modeBuildTime;modeQueryTime;modeQueryTimeExcludingFirst
AAS1DModeReportDS;synthetic;300000;1;0;0;547;10;2400000;273900;4435;1200000;182300;39;38
AAS1DModeReportDS;synthetic;300000;1;0;0;547;100;2400000;273900;4375;1200000;182300;255;254
AAS1DModeReportDS;synthetic;300000;1;0;0;547;1000;2400000;273900;4420;1200000;182300;2410;2409
AAS1DModeReportDS;synthetic;300000;1;0;0;547;10000;2400000;273900;4336;1200000;182300;23958;23956
AAS1DModeReportDS;synthetic;300000;1;0;0;547;50000;2400000;273900;4207;1200000;182300;119757;119728
AAS1DModeReportDS;synthetic;300000;1;0;0;547;100000;2400000;273900;3974;1200000;182300;239521;239550
AAS1DModeReportDS;synthetic;300000;1;0;0;547;150000;2400000;273900;3717;1200000;182300;359710;359757
AAS1DModeReportDS;synthetic;300000;1;0;0;547;200000;2400000;273900;3410;1200000;182300;479797;479745
AAS1DModeReportDS;synthetic;300000;1;0;0;547;250000;2400000;273900;3188;1200000;182300;599940;599960
AAS1DModeReportDS;synthetic;300000;1;0;0;547;300000;2400000;273900;2932;1200000;182300;719125;719101
AAS1DModeRangeTreesDS;synthetic;300000;1;0;0;547;10;2400000;271500;4438;1200008;929600;140;136
AAS1DModeRangeTreesDS;synthetic;300000;1;0;0;547;100;2400000;271500;4350;1200008;929600;138;138
AAS1DModeRangeTreesDS;synthetic;300000;1;0;0;547;1000;2400000;271500;4405;1200008;929600;146;146
AAS1DModeRangeTreesDS;synthetic;300000;1;0;0;547;10000;2400000;271500;4337;1200008;929600;143;142
AAS1DModeRangeTreesDS;synthetic;300000;1;0;0;547;50000;2400000;271500;4194;1200008;929600;127;127
AAS1DModeRangeTreesDS;synthetic;300000;1;0;0;547;100000;2400000;271500;3921;1200008;929600;107;106
AAS1DModeRangeTreesDS;synthetic;300000;1;0;0;547;150000;2400000;271500;3701;1200008;929600;88;88
AAS1DModeRangeTreesDS;synthetic;300000;1;0;0;547;200000;2400000;271500;3388;1200008;929600;66;65
AAS1DModeRangeTreesDS;synthetic;300000;1;0;0;547;250000;2400000;271500;3147;1200008;929600;47;46
AAS1DModeRangeTreesDS;synthetic;300000;1;0;0;547;300000;2400000;271500;2902;1200008;929600;28;28
AAS1DModeChanDS;synthetic;300000;1;0;0;547;10;2400000;274900;4423;5993688;131564700;74;72
AAS1DModeChanDS;synthetic;300000;1;0;0;547;100;2400000;274900;4396;5993688;131564700;264;261
AAS1DModeChanDS;synthetic;300000;1;0;0;547;1000;2400000;274900;4393;5993688;131564700;1106;1096
AAS1DModeChanDS;synthetic;300000;1;0;0;547;10000;2400000;274900;4330;5993688;131564700;842;842
AAS1DModeChanDS;synthetic;300000;1;0;0;547;50000;2400000;274900;4202;5993688;131564700;823;821
AAS1DModeChanDS;synthetic;300000;1;0;0;547;100000;2400000;274900;3964;5993688;131564700;848;847
AAS1DModeChanDS;synthetic;300000;1;0;0;547;150000;2400000;274900;3703;5993688;131564700;890;889
AAS1DModeChanDS;synthetic;300000;1;0;0;547;200000;2400000;274900;3394;5993688;131564700;943;942
AAS1DModeChanDS;synthetic;300000;1;0;0;547;250000;2400000;274900;3176;5993688;131564700;1008;1005
AAS1DModeChanDS;synthetic;300000;1;0;0;547;300000;2400000;274900;2896;5993688;131564700;1079;1079
AAS1DModeGridDS;synthetic;300000;1;0;0;547;10;2400000;280200;4450;4793688;131830800;67;66
AAS1DModeGridDS;synthetic;300000;1;0;0;547;100;2400000;280200;4381;4793688;131830800;262;260
AAS1DModeGridDS;synthetic;300000;1;0;0;547;1000;2400000;280200;4364;4793688;131830800;1276;1266
AAS1DModeGridDS;synthetic;300000;1;0;0;547;10000;2400000;280200;4339;4793688;131830800;1054;1055
AAS1DModeGridDS;synthetic;300000;1;0;0;547;50000;2400000;280200;4113;4793688;131830800;1030;1025
AAS1DModeGridDS;synthetic;300000;1;0;0;547;100000;2400000;280200;3938;4793688;131830800;1050;1050
AAS1DModeGridDS;synthetic;300000;1;0;0;547;150000;2400000;280200;3701;4793688;131830800;1073;1072
AAS1DModeGridDS;synthetic;300000;1;0;0;547;200000;2400000;280200;3362;4793688;131830800;1132;1112
AAS1DModeGridDS;synthetic;300000;1;0;0;547;250000;2400000;280200;3142;4793688;131830800;1182;1183
AAS1DModeGridDS;synthetic;300000;1;0;0;547;300000;2400000;280200;2897;4793688;131830800;1250;1250
AAS1DModeReportDS;synthetic;300000;10;0;0;547;10;2400000;268000;4389;1200000;153400;49;48
AAS1DModeReportDS;synthetic;300000;10;0;0;547;100;2400000;268000;4377;1200000;153400;272;270
AAS1DModeReportDS;synthetic;300000;10;0;0;547;1000;2400000;268000;4369;1200000;153400;2433;2433
AAS1DModeReportDS;synthetic;300000;10;0;0;547;10000;2400000;268000;4362;1200000;153400;24055;24060
AAS1DModeReportDS;synthetic;300000;10;0;0;547;50000;2400000;268000;4141;1200000;153400;120082;120101
AAS1DModeReportDS;synthetic;300000;10;0;0;547;100000;2400000;268000;3950;1200000;153400;240391;240373
AAS1DModeReportDS;synthetic;300000;10;0;0;547;150000;2400000;268000;3753;1200000;153400;360479;360470
AAS1DModeReportDS;synthetic;300000;10;0;0;547;200000;2400000;268000;3430;1200000;153400;480786;480779
AAS1DModeReportDS;synthetic;300000;10;0;0;547;250000;2400000;268000;3170;1200000;153400;600448;600415
AAS1DModeReportDS;synthetic;300000;10;0;0;547;300000;2400000;268000;2906;1200000;153400;720744;720688
AAS1DModeRangeTreesDS;synthetic;300000;10;0;0;547;10;2400000;270000;4412;1200008;1164700;1069;1061
AAS1DModeRangeTreesDS;synthetic;300000;10;0;0;547;100;2400000;270000;4380;1200008;1164700;1067;1068
AAS1DModeRangeTreesDS;synthetic;300000;10;0;0;547;1000;2400000;270000;4397;1200008;1164700;1114;1118
