DSType;dataType;numPoints;numColors;gamma;alpha;s;k;rangeSpace;rangeBuildTime;rangeQueryTime;modeSpace;modeBuildTime;modeQueryTime;modeQueryTimeExcludingFirst
AAS1DModeChanDS;synthetic;300000;50000;0;0;25;10;2400000;280100;4478;3605016;601219100;88;81
AAS1DModeChanDS;synthetic;300000;50000;0;0;25;100;2400000;280100;4412;3605016;601219100;290;287
AAS1DModeChanDS;synthetic;300000;50000;0;0;25;1000;2400000;280100;4394;3605016;601219100;2898;2888
AAS1DModeChanDS;synthetic;300000;50000;0;0;25;10000;2400000;280100;4371;3605016;601219100;28602;28594
AAS1DModeChanDS;synthetic;300000;50000;0;0;25;50000;2400000;280100;4217;3605016;601219100;66475;66394
AAS1DModeChanDS;synthetic;300000;50000;0;0;25;100000;2400000;280100;3979;3605016;601219100;56166;56190
AAS1DModeChanDS;synthetic;300000;50000;0;0;25;150000;2400000;280100;3789;3605016;601219100;57191;57089
AAS1DModeChanDS;synthetic;300000;50000;0;0;25;200000;2400000;280100;3412;3605016;601219100;61838;61893
AAS1DModeChanDS;synthetic;300000;50000;0;0;25;250000;2400000;280100;3169;3605016;601219100;66993;67018
AAS1DModeChanDS;synthetic;300000;50000;0;0;25;300000;2400000;280100;2922;3605016;601219100;51819;51845
AAS1DModeGridDS;synthetic;300000;50000;0;0;25;10;2400000;283100;4430;2405016;611040900;88;80
AAS1DModeGridDS;synthetic;300000;50000;0;0;25;100;2400000;283100;4372;2405016;611040900;297;291
AAS1DModeGridDS;synthetic;300000;50000;0;0;25;1000;2400000;283100;4371;2405016;611040900;2841;2840
AAS1DModeGridDS;synthetic;300000;50000;0;0;25;10000;2400000;283100;4362;2405016;611040900;28372;28382
AAS1DModeGridDS;synthetic;300000;50000;0;0;25;50000;2400000;283100;4252;2405016;611040900;1734923;1735620
AAS1DModeGridDS;synthetic;300000;50000;0;0;25;100000;2400000;283100;3951;2405016;611040900;1947744;1951329
AAS1DModeGridDS;synthetic;300000;50000;0;0;25;150000;2400000;283100;3778;2405016;611040900;2162146;2165511
AAS1DModeGridDS;synthetic;300000;50000;0;0;25;200000;2400000;283100;3414;2405016;611040900;2463393;2462756
AAS1DModeGridDS;synthetic;300000;50000;0;0;25;250000;2400000;283100;3198;2405016;611040900;2845449;2843658
AAS1DModeGridDS;synthetic;300000;50000;0;0;25;300000;2400000;283100;2965;2405016;611040900;3189725;3188539
AAS1DModeChanDS;synthetic;300000;50000;0;0;50;10;2400000;272100;4411;3620016;1449368000;88;80
AAS1DModeChanDS;synthetic;300000;50000;0;0;50;100;2400000;272100;4416;3620016;1449368000;294;287
AAS1DModeChanDS;synthetic;300000;50000;0;0;50;1000;2400000;272100;4365;3620016;1449368000;2860;2860
AAS1DModeChanDS;synthetic;300000;50000;0;0;50;10000;2400000;272100;4335;3620016;1449368000;26454;26411
AAS1DModeChanDS;synthetic;300000;50000;0;0;50;50000;2400000;272100;4226;3620016;1449368000;32078;32070
AAS1DModeChanDS;synthetic;300000;50000;0;0;50;100000;2400000;272100;3945;3620016;1449368000;30570;30581
AAS1DModeChanDS;synthetic;300000;50000;0;0;50;150000;2400000;272100;3737;3620016;1449368000;34364;34355
AAS1DModeChanDS;synthetic;300000;50000;0;0;50;200000;2400000;272100;3392;3620016;1449368000;21921;21934
AAS1DModeChanDS;synthetic;300000;50000;0;0;50;250000;2400000;272100;3164;3620016;1449368000;25297;25304
AAS1DModeChanDS;synthetic;300000;50000;0;0;50;300000;2400000;272100;2928;3620016;1449368000;24290;24303
AAS1DModeGridDS;synthetic;300000;50000;0;0;50;10;2400000;279900;4417;2420016;1480125800;88;80
AAS1DModeGridDS;synthetic;300000;50000;0;0;50;100;2400000;279900;4395;2420016;1480125800;298;292
AAS1DModeGridDS;synthetic;300000;50000;0;0;50;1000;2400000;279900;4410;2420016;1480125800;2881;2881
AAS1DModeGridDS;synthetic;300000;50000;0;0;50;10000;2400000;279900;4320;2420016;1480125800;283213;282632
AAS1DModeGridDS;synthetic;300000;50000;0;0;50;50000;2400000;279900;4256;2420016;1480125800;875121;874268
AAS1DModeGridDS;synthetic;300000;50000;0;0;50;100000;2400000;279900;4031;2420016;1480125800;1038867;1038129
AAS1DModeGridDS;synthetic;300000;50000;0;0;50;150000;2400000;279900;3709;2420016;1480125800;1275115;1275950
AAS1DModeGridDS;synthetic;300000;50000;0;0;50;200000;2400000;279900;3428;2420016;1480125800;973516;974196
AAS1DModeGridDS;synthetic;300000;50000;0;0;50;250000;2400000;279900;3204;2420016;1480125800;1231868;1232573
AAS1DModeGridDS;synthetic;300000;50000;0;0;50;300000;2400000;279900;2893;2420016;1480125800;1493753;1493027
AAS1DModeChanDS;synthetic;300000;50000;0;0;100;10;2400000;271700;4457;3680016;3969810900;89;81
AAS1DModeChanDS;synthetic;300000;50000;0;0;100;100;2400000;271700;4442;3680016;3969810900;306;292
AAS1DModeChanDS;synthetic;300000;50000;0;0;100;1000;2400000;271700;4453;3680016;3969810900;2868;2858
AAS1DModeChanDS;synthetic;300000;50000;0;0;100;10000;2400000;271700;4359;3680016;3969810900;17256;17210
AAS1DModeChanDS;synthetic;300000;50000;0;0;100;50000;2400000;271700;4227;3680016;3969810900;16077;16071
AAS1DModeChanDS;synthetic;300000;50000;0;0;100;100000;2400000;271700;3912;3680016;3969810900;12652;12650
AAS1DModeChanDS;synthetic;300000;50000;0;0;100;150000;2400000;271700;3734;3680016;3969810900;16449;16448
AAS1DModeChanDS;synthetic;300000;50000;0;0;100;200000;2400000;271700;3412;3680016;3969810900;13180;13190
AAS1DModeChanDS;synthetic;300000;50000;0;0;100;250000;2400000;271700;3148;3680016;3969810900;8819;8820
AAS1DModeChanDS;synthetic;300000;50000;0;0;100;300000;2400000;271700;2865;3680016;3969810900;10990;10993
AAS1DModeGridDS;synthetic;300000;50000;0;0;100;10;2400000;275700;4442;2480016;4024814200;88;80
AAS1DModeGridDS;synthetic;300000;50000;0;0;100;100;2400000;275700;4412;2480016;4024814200;291;287
AAS1DModeGridDS;synthetic;300000;50000;0;0;100;1000;2400000;275700;4420;2480016;4024814200;2874;2876
AAS1DModeGridDS;synthetic;300000;50000;0;0;100;10000;2400000;275700;4363;2480016;4024814200;399301;400094
AAS1DModeGridDS;synthetic;300000;50000;0;0;100;50000;2400000;275700;4167;2480016;4024814200;466905;466617
AAS1DModeGridDS;synthetic;300000;50000;0;0;100;100000;2400000;275700;3963;2480016;4024814200;444051;444577
AAS1DModeGridDS;synthetic;300000;50000;0;0;100;150000;2400000;275700;3732;2480016;4024814200;609331;610004
AAS1DModeGridDS;synthetic;300000;50000;0;0;100;200000;2400000;275700;3419;2480016;4024814200;563529;563690
AAS1DModeGridDS;synthetic;300000;50000;0;0;100;250000;2400000;275700;3211;2480016;4024814200;471447;471165
AAS1DModeGridDS;synthetic;300000;50000;0;0;100;300000;2400000;275700;2942;2480016;4024814200;691426;691252
AAS1DModeChanDS;synthetic;300000;50000;0;0;150;10;2400000;276700;4431;3780016;7522056400;88;80
AAS1DModeChanDS;synthetic;300000;50000;0;0;150;100;2400000;276700;4369;3780016;7522056400;291;287
AAS1DModeChanDS;synthetic;300000;50000;0;0;150;1000;2400000;276700;4372;3780016;7522056400;2856;2855
AAS1DModeChanDS;synthetic;300000;50000;0;0;150;10000;2400000;276700;4354;3780016;7522056400;12528;12503
AAS1DModeChanDS;synthetic;300000;50000;0;0;150;50000;2400000;276700;4185;3780016;7522056400;11428;11430
AAS1DModeChanDS;synthetic;300000;50000;0;0;150;100000;2400000;276700;3945;3780016;7522056400;10659;10617
AAS1DModeChanDS;synthetic;300000;50000;0;0;150;150000;2400000;276700;3769;3780016;7522056400;10473;10458
AAS1DModeChanDS;synthetic;300000;50000;0;0;150;200000;2400000;276700;3361;3780016;7522056400;10453;10458
AAS1DModeChanDS;synthetic;300000;50000;0;0;150;250000;2400000;276700;3151;3780016;7522056400;9186;9184
AAS1DModeChanDS;synthetic;300000;50000;0;0;150;300000;2400000;276700;2864;3780016;7522056400;6206;6213
AAS1DModeGridDS;synthetic;300000;50000;0;0;150;10;2400000;274200;4422;2580016;7592703800;86;78
AAS1DModeGridDS;synthetic;300000;50000;0;0;150;100;2400000;274200;4407;2580016;7592703800;294;288
AAS1DModeGridDS;synthetic;300000;50000;0;0;150;1000;2400000;274200;4389;2580016;7592703800;2843;2843
AAS1DModeGridDS;synthetic;300000;50000;0;0;150;10000;2400000;274200;4337;2580016;7592703800;294572;294921
AAS1DModeGridDS;synthetic;300000;50000;0;0;150;50000;2400000;274200;4231;2580016;7592703800;330449;330208
AAS1DModeGridDS;synthetic;300000;50000;0;0;150;100000;2400000;274200;3988;2580016;7592703800;365723;365388
AAS1DModeGridDS;synthetic;300000;50000;0;0;150;150000;2400000;274200;3734;2580016;7592703800;397394;397335
AAS1DModeGridDS;synthetic;300000;50000;0;0;150;200000;2400000;274200;3393;2580016;7592703800;431996;432137
AAS1DModeGridDS;synthetic;300000;50000;0;0;150;250000;2400000;274200;3188;2580016;7592703800;455568;456074
AAS1DModeGridDS;synthetic;300000;50000;0;0;150;300000;2400000;274200;2936;2580016;7592703800;441042;441307
AAS1DModeChanDS;synthetic;300000;50000;0;0;200;10;2400000;270700;4389;3920016;12193363800;88;79
AAS1DModeChanDS;synthetic;300000;50000;0;0;200;100;2400000;270700;4400;3920016;12193363800;297;293
AAS1DModeChanDS;synthetic;300000;50000;0;0;200;1000;2400000;270700;4356;3920016;12193363800;2846;2845
AAS1DModeChanDS;synthetic;300000;50000;0;0;200;10000;2400000;270700;4294;3920016;12193363800;8968;8931
AAS1DModeChanDS;synthetic;300000;50000;0;0;200;50000;2400000;270700;4185;3920016;12193363800;7183;7154
AAS1DModeChanDS;synthetic;300000;50000;0;0;200;100000;2400000;270700;3916;3920016;12193363800;6873;6868
AAS1DModeChanDS;synthetic;300000;50000;0;0;200;150000;2400000;270700;3725;3920016;12193363800;7683;7684
AAS1DModeChanDS;synthetic;300000;50000;0;0;200;200000;2400000;270700;3418;3920016;12193363800;4555;4563
AAS1DModeChanDS;synthetic;300000;50000;0;0;200;250000;2400000;270700;3149;3920016;12193363800;4910;4903
AAS1DModeChanDS;synthetic;300000;50000;0;0;200;300000;2400000;270700;2883;3920016;12193363800;3892;3896
AAS1DModeGridDS;synthetic;300000;50000;0;0;200;10;2400000;283200;4410;2720016;12334522900;85;78
AAS1DModeGridDS;synthetic;300000;50000;0;0;200;100;2400000;283200;4407;2720016;12334522900;292;289
AAS1DModeGridDS;synthetic;300000;50000;0;0;200;1000;2400000;283200;4371;2720016;12334522900;2852;2851
AAS1DModeGridDS;synthetic;300000;50000;0;0;200;10000;2400000;283200;4360;2720016;12334522900;203884;204152
AAS1DModeGridDS;synthetic;300000;50000;0;0;200;50000;2400000;283200;4212;2720016;12334522900;204947;204997
AAS1DModeGridDS;synthetic;300000;50000;0;0;200;100000;2400000;283200;3946;2720016;12334522900;242629;243029
AAS1DModeGridDS;synthetic;300000;50000;0;0;200;150000;2400000;283200;3791;2720016;12334522900;294477;294114
AAS1DModeGridDS;synthetic;300000;50000;0;0;200;200000;2400000;283200;3420;2720016;12334522900;220919;221063
AAS1DModeGridDS;synthetic;300000;50000;0;0;200;250000;2400000;283200;3201;2720016;12334522900;276378;276426
AAS1DModeGridDS;synthetic;300000;50000;0;0;200;300000;2400000;283200;2916;2720016;12334522900;314163;313992
AAS1DModeChanDS;synthetic;300000;50000;0;0;300;10;2400000;268400;4455;4320016;24907354300;93;87
AAS1DModeChanDS;synthetic;300000;50000;0;0;300;100;2400000;268400;4375;4320016;24907354300;294;288
AAS1DModeChanDS;synthetic;300000;50000;0;0;300;1000;2400000;268400;4379;4320016;24907354300;2894;2897
AAS1DModeChanDS;synthetic;300000;50000;0;0;300;10000;2400000;268400;4346;4320016;24907354300;6282;6214
AAS1DModeChanDS;synthetic;300000;50000;0;0;300;50000;2400000;268400;4182;4320016;24907354300;5531;5524
AAS1DModeChanDS;synthetic;300000;50000;0;0;300;100000;2400000;268400;3929;4320016;24907354300;5034;5032
AAS1DModeChanDS;synthetic;300000;50000;0;0;300;150000;2400000;268400;3722;4320016;24907354300;4864;4859
AAS1DModeChanDS;synthetic;300000;50000;0;0;300;200000;2400000;268400;3422;4320016;24907354300;4441;4436
AAS1DModeChanDS;synthetic;300000;50000;0;0;300;250000;2400000;268400;3146;4320016;24907354300;3659;3653
AAS1DModeChanDS;synthetic;300000;50000;0;0;300;300000;2400000;268400;2943;4320016;24907354300;2436;2426
AAS1DModeGridDS;synthetic;300000;50000;0;0;300;10;2400000;275000;4446;3120016;25197663800;88;79
AAS1DModeGridDS;synthetic;300000;50000;0;0;300;100;2400000;275000;4425;3120016;25197663800;293;288
AAS1DModeGridDS;synthetic;300000;50000;0;0;300;1000;2400000;275000;4406;3120016;25197663800;2854;2854
AAS1DModeGridDS;synthetic;300000;50000;0;0;300;10000;2400000;275000;4353;3120016;25197663800;140200;140217
AAS1DModeGridDS;synthetic;300000;50000;0;0;300;50000;2400000;275000;4201;3120016;25197663800;158505;158853
AAS1DModeGridDS;synthetic;300000;50000;0;0;300;100000;2400000;275000;4020;3120016;25197663800;173631;173415
AAS1DModeGridDS;synthetic;300000;50000;0;0;300;150000;2400000;275000;3743;3120016;25197663800;188052;188043
