DSType;dataType;numPoints;numColors;gamma;alpha;s;k;rangeSpace;rangeBuildTime;rangeQueryTime;modeSpace;modeBuildTime;modeQueryTime;modeQueryTimeExcludingFirst
AAS2DModeReportDS;osm/bbg.points;6687;11;0;0;18;10;3268576;7849500;26317;3161584;7032900;1549;1529
AAS2DModeReportDS;osm/bbg.points;6687;11;0;0;18;100;3268576;7849500;27906;3161584;7032900;3859;3821
AAS2DModeReportDS;osm/bbg.points;6687;11;0;0;18;1000;3268576;7849500;30820;3161584;7032900;15310;15203
AAS2DModeReportDS;osm/bbg.points;6687;11;0;0;18;5000;3268576;7849500;29065;3161584;7032900;58348;58187
AAS2DModePerColorDS;osm/bbg.points;6687;11;0;0;18;10;3268576;7565200;26927;2566192;5845200;2779;2682
AAS2DModePerColorDS;osm/bbg.points;6687;11;0;0;18;100;3268576;7565200;28649;2566192;5845200;3464;3359
AAS2DModePerColorDS;osm/bbg.points;6687;11;0;0;18;1000;3268576;7565200;31075;2566192;5845200;3981;3943
AAS2DModePerColorDS;osm/bbg.points;6687;11;0;0;18;5000;3268576;7565200;29349;2566192;5845200;2385;2358
AAS2DModeGridDS;osm/bbg.points;6687;11;0;0;18;10;3268576;7575800;26878;3040584;54759300;6365;6318
AAS2DModeGridDS;osm/bbg.points;6687;11;0;0;18;100;3268576;7575800;28559;3040584;54759300;8653;8625
AAS2DModeGridDS;osm/bbg.points;6687;11;0;0;18;1000;3268576;7575800;31068;3040584;54759300;11258;11201
AAS2DModeGridDS;osm/bbg.points;6687;11;0;0;18;5000;3268576;7575800;29430;3040584;54759300;8602;8577
AAS2DModeReportDS;osm/bbg.points;13374;11;0;0;23;10;6965136;15888300;32557;6751152;15270200;1761;1734
AAS2DModeReportDS;osm/bbg.points;13374;11;0;0;23;100;6965136;15888300;34963;6751152;15270200;4373;4275
AAS2DModeReportDS;osm/bbg.points;13374;11;0;0;23;1000;6965136;15888300;37538;6751152;15270200;15381;15286
