DSType;dataType;numPoints;numColors;gamma;alpha;s;k;rangeSpace;rangeBuildTime;rangeQueryTime;modeSpace;modeBuildTime;modeQueryTime;modeQueryTimeExcludingFirst
AAS2DModeReportDS;synthetic;6687;11;0;0;18;10;3268576;10940200;23666;3161584;9738100;1881;1819
AAS2DModeReportDS;synthetic;6687;11;0;0;18;100;3268576;10940200;25875;3161584;9738100;5395;5295
AAS2DModeReportDS;synthetic;6687;11;0;0;18;1000;3268576;10940200;27687;3161584;9738100;21332;21241
AAS2DModeReportDS;synthetic;6687;11;0;0;18;5000;3268576;10940200;26321;3161584;9738100;84166;84191
AAS2DModePerColorDS;synthetic;6687;11;0;0;18;10;3268576;8310000;23676;2421168;6362700;3954;3880
AAS2DModePerColorDS;synthetic;6687;11;0;0;18;100;3268576;8310000;25830;2421168;6362700;4950;4898
AAS2DModePerColorDS;synthetic;6687;11;0;0;18;1000;3268576;8310000;27982;2421168;6362700;5494;5414
AAS2DModePerColorDS;synthetic;6687;11;0;0;18;5000;3268576;8310000;25972;2421168;6362700;3367;3361
AAS2DModeGridDS;synthetic;6687;11;0;0;18;10;3268576;8134300;23448;2891868;62495400;7717;7621
AAS2DModeGridDS;synthetic;6687;11;0;0;18;100;3268576;8134300;25673;2891868;62495400;11796;11722
AAS2DModeGridDS;synthetic;6687;11;0;0;18;1000;3268576;8134300;27297;2891868;62495400;13718;13636
AAS2DModeGridDS;synthetic;6687;11;0;0;18;5000;3268576;8134300;26915;2891868;62495400;10560;10503
AAS2DModeReportDS;synthetic;13374;11;0;0;23;10;6965136;17507300;30079;6751152;16792200;2120;2040
AAS2DModeReportDS;synthetic;13374;11;0;0;23;100;6965136;17507300;32481;6751152;16792200;5794;5679
AAS2DModeReportDS;synthetic;13374;11;0;0;23;1000;6965136;17507300;34995;6751152;16792200;22897;22810
AAS2DModeReportDS;synthetic;13374;11;0;0;23;5000;6965136;17507300;35049;6751152;16792200;89801;89962
AAS2DModeReportDS;synthetic;13374;11;0;0;23;10000;6965136;17507300;33542;6751152;16792200;166031;166306
AAS2DModePerColorDS;synthetic;13374;11;0;0;23;10;6965136;16515300;30013;5270480;13311900;5408;5341
AAS2DModePerColorDS;synthetic;13374;11;0;0;23;100;6965136;16515300;33068;5270480;13311900;6093;5925
AAS2DModePerColorDS;synthetic;13374;11;0;0;23;1000;6965136;16515300;34893;5270480;13311900;7064;6889
AAS2DModePerColorDS;synthetic;13374;11;0;0;23;5000;6965136;16515300;34765;5270480;13311900;6265;6165
AAS2DModePerColorDS;synthetic;13374;11;0;0;23;10000;6965136;16515300;33618;5270480;13311900;4221;4158
AAS2DModeGridDS;synthetic;13374;11;0;0;23;10;6965136;17355900;30580;6258036;209482600;11407;11290
AAS2DModeGridDS;synthetic;13374;11;0;0;23;100;6965136;17355900;32819;6258036;209482600;16045;15866
AAS2DModeGridDS;synthetic;13374;11;0;0;23;1000;6965136;17355900;38410;6258036;209482600;19074;18892
AAS2DModeGridDS;synthetic;13374;11;0;0;23;5000;6965136;17355900;35074;6258036;209482600;18909;18714
AAS2DModeGridDS;synthetic;13374;11;0;0;23;10000;6965136;17355900;33451;6258036;209482600;14680;14611
AAS2DModeReportDS;synthetic;20061;11;0;0;27;10;10827520;27506400;34736;10506544;26285200;2391;2303
AAS2DModeReportDS;synthetic;20061;11;0;0;27;100;10827520;27506400;36999;10506544;26285200;6069;5943
AAS2DModeReportDS;synthetic;20061;11;0;0;27;1000;10827520;27506400;39761;10506544;26285200;24456;24393
AAS2DModeReportDS;synthetic;20061;11;0;0;27;5000;10827520;27506400;42159;10506544;26285200;91536;91454
AAS2DModeReportDS;synthetic;20061;11;0;0;27;10000;10827520;27506400;38402;10506544;26285200;160714;160752
AAS2DModePerColorDS;synthetic;20061;11;0;0;27;10;10827520;25631200;32409;8266256;19900400;5216;4998
AAS2DModePerColorDS;synthetic;20061;11;0;0;27;100;10827520;25631200;34849;8266256;19900400;6507;6285
AAS2DModePerColorDS;synthetic;20061;11;0;0;27;1000;10827520;25631200;37700;8266256;19900400;7632;7457
AAS2DModePerColorDS;synthetic;20061;11;0;0;27;5000;10827520;25631200;38641;8266256;19900400;7491;7336
