DSType;dataType;numPoints;numColors;gamma;alpha;s;k;rangeSpace;rangeBuildTime;rangeQueryTime;modeSpace;modeBuildTime;modeQueryTime;modeQueryTimeExcludingFirst
AAS2DModeReportDS;synthetic;6687;11;1000;1;18;10;3268576;8344700;24647;3161584;7519400;1702;1644
AAS2DModeReportDS;synthetic;6687;11;1000;1;18;100;3268576;8344700;26702;3161584;7519400;4533;4499
AAS2DModeReportDS;synthetic;6687;11;1000;1;18;1000;3268576;8344700;28415;3161584;7519400;21199;21267
AAS2DModeReportDS;synthetic;6687;11;1000;1;18;5000;3268576;8344700;27156;3161584;7519400;89590;89645
AAS2DModePerColorDS;synthetic;6687;11;1000;1;18;10;3268576;8054000;24792;2421296;6016700;3898;3833
AAS2DModePerColorDS;synthetic;6687;11;1000;1;18;100;3268576;8054000;27068;2421296;6016700;5047;5001
AAS2DModePerColorDS;synthetic;6687;11;1000;1;18;1000;3268576;8054000;28790;2421296;6016700;5738;5686
AAS2DModePerColorDS;synthetic;6687;11;1000;1;18;5000;3268576;8054000;27478;2421296;6016700;4427;4516
AAS2DModeGridDS;synthetic;6687;11;1000;1;18;10;3268576;7548100;24854;2893244;62618500;6342;6278
AAS2DModeGridDS;synthetic;6687;11;1000;1;18;100;3268576;7548100;26452;2893244;62618500;11096;11051
AAS2DModeGridDS;synthetic;6687;11;1000;1;18;1000;3268576;7548100;28247;2893244;62618500;14564;14560
AAS2DModeGridDS;synthetic;6687;11;1000;1;18;5000;3268576;7548100;27251;2893244;62618500;10637;10609
AAS2DModeReportDS;synthetic;13374;11;1000;1;23;10;6965136;16781800;30414;6751152;14891100;1816;1744
AAS2DModeReportDS;synthetic;13374;11;1000;1;23;100;6965136;16781800;32848;6751152;14891100;4489;4422
AAS2DModeReportDS;synthetic;13374;11;1000;1;23;1000;6965136;16781800;35199;6751152;14891100;19618;19538
AAS2DModeReportDS;synthetic;13374;11;1000;1;23;5000;6965136;16781800;35216;6751152;14891100;83940;83942
AAS2DModeReportDS;synthetic;13374;11;1000;1;23;10000;6965136;16781800;33691;6751152;14891100;159772;159850
AAS2DModePerColorDS;synthetic;13374;11;1000;1;23;10;6965136;16486400;29790;5270736;12233300;4464;4387
AAS2DModePerColorDS;synthetic;13374;11;1000;1;23;100;6965136;16486400;32156;5270736;12233300;5813;5721
AAS2DModePerColorDS;synthetic;13374;11;1000;1;23;1000;6965136;16486400;35019;5270736;12233300;7028;6922
AAS2DModePerColorDS;synthetic;13374;11;1000;1;23;5000;6965136;16486400;34550;5270736;12233300;6322;6237
AAS2DModePerColorDS;synthetic;13374;11;1000;1;23;10000;6965136;16486400;33302;5270736;12233300;4096;4038
AAS2DModeGridDS;synthetic;13374;11;1000;1;23;10;6965136;15791400;30239;6259700;201164800;8794;8732
AAS2DModeGridDS;synthetic;13374;11;1000;1;23;100;6965136;15791400;32566;6259700;201164800;13814;13718
AAS2DModeGridDS;synthetic;13374;11;1000;1;23;1000;6965136;15791400;35206;6259700;201164800;19203;19128
AAS2DModeGridDS;synthetic;13374;11;1000;1;23;5000;6965136;15791400;35304;6259700;201164800;19238;19117
