DSType;dataType;numPoints;numColors;gamma;alpha;s;k;rangeSpace;rangeBuildTime;rangeQueryTime;modeSpace;modeBuildTime;modeQueryTime;modeQueryTimeExcludingFirst
AAS2DModeReportDS;osm/bieleveld.points;8536;8;0;0;20;10;4255856;10304600;27627;4119280;9242000;1549;1531
AAS2DModeReportDS;osm/bieleveld.points;8536;8;0;0;20;100;4255856;10304600;29773;4119280;9242000;3746;3724
AAS2DModeReportDS;osm/bieleveld.points;8536;8;0;0;20;1000;4255856;10304600;32397;4119280;9242000;14897;14783
AAS2DModeReportDS;osm/bieleveld.points;8536;8;0;0;20;5000;4255856;10304600;31196;4119280;9242000;54350;54060
AAS2DModePerColorDS;osm/bieleveld.points;8536;8;0;0;20;10;4255856;10564300;28145;3584096;8059700;2038;2004
AAS2DModePerColorDS;osm/bieleveld.points;8536;8;0;0;20;100;4255856;10564300;30021;3584096;8059700;2600;2579
AAS2DModePerColorDS;osm/bieleveld.points;8536;8;0;0;20;1000;4255856;10564300;32803;3584096;8059700;3108;3094
AAS2DModePerColorDS;osm/bieleveld.points;8536;8;0;0;20;5000;4255856;10564300;31891;3584096;8059700;2314;2296
AAS2DModeGridDS;osm/bieleveld.points;8536;8;0;0;20;10;4255856;9925500;27979;4202524;77873100;6799;6778
AAS2DModeGridDS;osm/bieleveld.points;8536;8;0;0;20;100;4255856;9925500;29821;4202524;77873100;8891;8863
AAS2DModeGridDS;osm/bieleveld.points;8536;8;0;0;20;1000;4255856;9925500;32381;4202524;77873100;11246;11200
AAS2DModeGridDS;osm/bieleveld.points;8536;8;0;0;20;5000;4255856;9925500;31699;4202524;77873100;9330;9286
AAS2DModeReportDS;osm/bieleveld.points;17072;8;0;0;25;10;9058032;20974300;35121;8784880;19906800;1816;1788
AAS2DModeReportDS;osm/bieleveld.points;17072;8;0;0;25;100;9058032;20974300;36406;8784880;19906800;4029;3981
AAS2DModeReportDS;osm/bieleveld.points;17072;8;0;0;25;1000;9058032;20974300;39684;8784880;19906800;14583;14456
AAS2DModeReportDS;osm/bieleveld.points;17072;8;0;0;25;5000;9058032;20974300;40717;8784880;19906800;53427;53356
AAS2DModeReportDS;osm/bieleveld.points;17072;8;0;0;25;10000;9058032;20974300;38940;8784880;19906800;96450;96258
AAS2DModePerColorDS;osm/bieleveld.points;17072;8;0;0;25;10;9058032;20995600;35007;7717504;17832100;2460;2414
AAS2DModePerColorDS;osm/bieleveld.points;17072;8;0;0;25;100;9058032;20995600;36553;7717504;17832100;3077;3047
AAS2DModePerColorDS;osm/bieleveld.points;17072;8;0;0;25;1000;9058032;20995600;40014;7717504;17832100;3814;3766
