DSType;dataType;numPoints;numColors;gamma;alpha;s;k;rangeSpace;rangeBuildTime;rangeQueryTime;modeSpace;modeBuildTime;modeQueryTime;modeQueryTimeExcludingFirst
AAS2DModeReportDS;synthetic;250000;50000;5000;0;62;10;163611376;430330600;95499;159611376;386168600;3982;3861
AAS2DModeReportDS;synthetic;250000;50000;5000;0;62;100;163611376;430330600;95714;159611376;386168600;13986;13848
AAS2DModeReportDS;synthetic;250000;50000;5000;0;62;1000;163611376;430330600;101150;159611376;386168600;107179;107119
AAS2DModeReportDS;synthetic;250000;50000;5000;0;62;5000;163611376;430330600;103241;159611376;386168600;554540;554492
AAS2DModeReportDS;synthetic;250000;50000;5000;0;62;10000;163611376;430330600;105122;159611376;386168600;1153061;1152950
AAS2DModeReportDS;synthetic;250000;50000;5000;0;62;25000;163611376;430330600;105142;159611376;386168600;3210541;3208998
AAS2DModeReportDS;synthetic;250000;50000;5000;0;62;50000;163611376;430330600;103373;159611376;386168600;7075426;7075139
AAS2DModeReportDS;synthetic;250000;50000;5000;0;62;75000;163611376;430330600;103163;159611376;386168600;10776387;10778481
AAS2DModeReportDS;synthetic;250000;50000;5000;0;62;100000;163611376;430330600;102221;159611376;386168600;14374544;14377520
AAS2DModeReportDS;synthetic;250000;50000;5000;0;62;150000;163611376;430330600;97359;159611376;386168600;21385745;21379560
AAS2DModeReportDS;synthetic;250000;50000;5000;0;62;200000;163611376;430330600;92267;159611376;386168600;28120342;28110310
AAS2DModeReportDS;synthetic;250000;50000;5000;0;62;250000;163611376;430330600;85936;159611376;386168600;34779517;34787538
AAS2DModePerColorDS;synthetic;250000;50000;5000;0;62;10;163611376;425377100;90865;35360608;145727300;1811914;1814137
AAS2DModePerColorDS;synthetic;250000;50000;5000;0;62;100;163611376;425377100;94240;35360608;145727300;2209700;2210065
AAS2DModePerColorDS;synthetic;250000;50000;5000;0;62;1000;163611376;425377100;99373;35360608;145727300;3442565;3446666
AAS2DModePerColorDS;synthetic;250000;50000;5000;0;62;5000;163611376;425377100;103243;35360608;145727300;5127662;5126814
AAS2DModePerColorDS;synthetic;250000;50000;5000;0;62;10000;163611376;425377100;105331;35360608;145727300;6145624;6126024
AAS2DModePerColorDS;synthetic;250000;50000;5000;0;62;25000;163611376;425377100;103858;35360608;145727300;7500621;7497629
AAS2DModePerColorDS;synthetic;250000;50000;5000;0;62;50000;163611376;425377100;103654;35360608;145727300;8405994;8406141
AAS2DModePerColorDS;synthetic;250000;50000;5000;0;62;75000;163611376;425377100;102155;35360608;145727300;8767623;8768885
AAS2DModePerColorDS;synthetic;250000;50000;5000;0;62;100000;163611376;425377100;100913;35360608;145727300;9005049;9000340
AAS2DModePerColorDS;synthetic;250000;50000;5000;0;62;150000;163611376;425377100;95882;35360608;145727300;8554362;8561454
AAS2DModePerColorDS;synthetic;250000;50000;5000;0;62;200000;163611376;425377100;91591;35360608;145727300;6414558;6402670
AAS2DModePerColorDS;synthetic;250000;50000;5000;0;62;250000;163611376;425377100;85751;35360608;145727300;2048108;2048086
AAS2DModeGridDS;synthetic;250000;50000;5000;0;62;10;163611376;417204600;90525;55774156;276030061500;45492;45347
