DSType;dataType;numPoints;numColors;gamma;alpha;s;k;rangeSpace;rangeBuildTime;rangeQueryTime;modeSpace;modeBuildTime;modeQueryTime;modeQueryTimeExcludingFirst
AAS2DModeReportDS;synthetic;50000;50000;0;0;36;10;29102832;77566300;42988;28302832;67314900;2886;2789
AAS2DModeReportDS;synthetic;50000;50000;0;0;36;100;29102832;77566300;46149;28302832;67314900;13172;13037
AAS2DModeReportDS;synthetic;50000;50000;0;0;36;1000;29102832;77566300;50215;28302832;67314900;104000;103873
AAS2DModeReportDS;synthetic;50000;50000;0;0;36;5000;29102832;77566300;50987;28302832;67314900;569929;570728
AAS2DModeReportDS;synthetic;50000;50000;0;0;36;10000;29102832;77566300;55280;28302832;67314900;1288733;1288085
AAS2DModeReportDS;synthetic;50000;50000;0;0;36;25000;29102832;77566300;49842;28302832;67314900;3818174;3819839
AAS2DModeReportDS;synthetic;50000;50000;0;0;36;50000;29102832;77566300;48470;28302832;67314900;9000773;8989613
AAS2DModePerColorDS;synthetic;50000;50000;0;0;36;10;29102832;72796800;43860;2400000;13654200;315680;315483
AAS2DModePerColorDS;synthetic;50000;50000;0;0;36;100;29102832;72796800;46680;2400000;13654200;383279;383717
AAS2DModePerColorDS;synthetic;50000;50000;0;0;36;1000;29102832;72796800;50315;2400000;13654200;575870;576004
AAS2DModePerColorDS;synthetic;50000;50000;0;0;36;5000;29102832;72796800;53999;2400000;13654200;873732;872873
AAS2DModePerColorDS;synthetic;50000;50000;0;0;36;10000;29102832;72796800;51297;2400000;13654200;1099692;1098512
AAS2DModePerColorDS;synthetic;50000;50000;0;0;36;25000;29102832;72796800;49837;2400000;13654200;1424435;1423657
AAS2DModePerColorDS;synthetic;50000;50000;0;0;36;50000;29102832;72796800;45062;2400000;13654200;1644281;1643970
AAS2DModeGridDS;synthetic;50000;50000;0;0;36;10;29102832;71760900;44277;6305412;16171708600;16858;16842
AAS2DModeGridDS;synthetic;50000;50000;0;0;36;100;29102832;71760900;46212;6305412;16171708600;27607;27501
AAS2DModeGridDS;synthetic;50000;50000;0;0;36;1000;29102832;71760900;49610;6305412;16171708600;67819;67645
AAS2DModeGridDS;synthetic;50000;50000;0;0;36;5000;29102832;71760900;52499;6305412;16171708600;137939;137614
AAS2DModeGridDS;synthetic;50000;50000;0;0;36;10000;29102832;71760900;52589;6305412;16171708600;187844;187773
AAS2DModeGridDS;synthetic;50000;50000;0;0;36;25000;29102832;71760900;50520;6305412;16171708600;296502;296245
AAS2DModeGridDS;synthetic;50000;50000;0;0;36;50000;29102832;71760900;46807;6305412;16171708600;492964;492953
Amc::GridSelectColor;synthetic;50000;50000;0;0;36;10;29102832;69328900;44040;8278976;14667326500;5996;5889
Amc::GridSelectColor;synthetic;50000;50000;0;0;36;100;29102832;69328900;46581;8278976;14667326500;25932;25538
Amc::GridSelectColor;synthetic;50000;50000;0;0;36;1000;29102832;69328900;49989;8278976;14667326500;92039;91594
Amc::GridSelectColor;synthetic;50000;50000;0;0;36;5000;29102832;69328900;51974;8278976;14667326500;208108;207551
Amc::GridSelectColor;synthetic;50000;50000;0;0;36;10000;29102832;69328900;52251;8278976;14667326500;298509;297704
Amc::GridSelectColor;synthetic;50000;50000;0;0;36;25000;29102832;69328900;49880;8278976;14667326500;510096;509878
Amc::GridSelectColor;synthetic;50000;50000;0;0;36;50000;29102832;69328900;46018;8278976;14667326500;932152;932033
AAS2DModeReportDS;synthetic;100000;50000;0;0;46;10;61405680;149825300;58727;59805680;141451600;3207;3100
AAS2DModeReportDS;synthetic;100000;50000;0;0;46;100;61405680;149825300;61732;59805680;141451600;12797;12660
AAS2DModeReportDS;synthetic;100000;50000;0;0;46;1000;61405680;149825300;65727;59805680;141451600;106718;106600
AAS2DModeReportDS;synthetic;100000;50000;0;0;46;5000;61405680;149825300;68339;59805680;141451600;562735;562254
AAS2DModeReportDS;synthetic;100000;50000;0;0;46;10000;61405680;149825300;69048;59805680;141451600;1225564;1225761
AAS2DModeReportDS;synthetic;100000;50000;0;0;46;25000;61405680;149825300;71604;59805680;141451600;3448881;3448542
AAS2DModeReportDS;synthetic;100000;50000;0;0;46;50000;61405680;149825300;65893;59805680;141451600;7584689;7588537
AAS2DModeReportDS;synthetic;100000;50000;0;0;46;75000;61405680;149825300;73999;59805680;141451600;12065622;12060423
AAS2DModeReportDS;synthetic;100000;50000;0;0;46;100000;61405680;149825300;59914;59805680;141451600;15788583;15786793
AAS2DModePerColorDS;synthetic;100000;50000;0;0;46;10;61405680;149665200;58694;9649568;42220000;522471;520959
AAS2DModePerColorDS;synthetic;100000;50000;0;0;46;100;61405680;149665200;61622;9649568;42220000;627602;626908
AAS2DModePerColorDS;synthetic;100000;50000;0;0;46;1000;61405680;149665200;65341;9649568;42220000;948241;947016
AAS2DModePerColorDS;synthetic;100000;50000;0;0;46;5000;61405680;149665200;68532;9649568;42220000;1438881;1439117
AAS2DModePerColorDS;synthetic;100000;50000;0;0;46;10000;61405680;149665200;67664;9649568;42220000;1750389;1748055
AAS2DModePerColorDS;synthetic;100000;50000;0;0;46;25000;61405680;149665200;67386;9649568;42220000;2224595;2224928
AAS2DModePerColorDS;synthetic;100000;50000;0;0;46;50000;61405680;149665200;64503;9649568;42220000;2447182;2445945
AAS2DModePerColorDS;synthetic;100000;50000;0;0;46;75000;61405680;149665200;61845;9649568;42220000;2334785;2334212
AAS2DModePerColorDS;synthetic;100000;50000;0;0;46;100000;61405680;149665200;58419;9649568;42220000;1966702;1966470
AAS2DModeGridDS;synthetic;100000;50000;0;0;46;10;61405680;148185300;58624;17744524;57686636500;25616;25525
AAS2DModeGridDS;synthetic;100000;50000;0;0;46;100;61405680;148185300;61859;17744524;57686636500;41459;41165
AAS2DModeGridDS;synthetic;100000;50000;0;0;46;1000;61405680;148185300;70338;17744524;57686636500;93413;92417
AAS2DModeGridDS;synthetic;100000;50000;0;0;46;5000;61405680;148185300;68291;17744524;57686636500;191632;190890
AAS2DModeGridDS;synthetic;100000;50000;0;0;46;10000;61405680;148185300;69492;17744524;57686636500;266575;265722
AAS2DModeGridDS;synthetic;100000;50000;0;0;46;25000;61405680;148185300;68433;17744524;57686636500;431478;431269
AAS2DModeGridDS;synthetic;100000;50000;0;0;46;50000;61405680;148185300;65942;17744524;57686636500;599876;599183
AAS2DModeGridDS;synthetic;100000;50000;0;0;46;75000;61405680;148185300;62884;17744524;57686636500;681715;681164
AAS2DModeGridDS;synthetic;100000;50000;0;0;46;100000;61405680;148185300;59468;17744524;57686636500;794443;794202
Amc::GridSelectColor;synthetic;100000;50000;0;0;46;10;61405680;147492500;58229;24618480;58155023300;8249;8049
Amc::GridSelectColor;synthetic;100000;50000;0;0;46;100;61405680;147492500;61428;24618480;58155023300;36124;35362
Amc::GridSelectColor;synthetic;100000;50000;0;0;46;1000;61405680;147492500;65079;24618480;58155023300;137344;136176
Amc::GridSelectColor;synthetic;100000;50000;0;0;46;5000;61405680;147492500;67398;24618480;58155023300;299936;298733
Amc::GridSelectColor;synthetic;100000;50000;0;0;46;10000;61405680;147492500;68640;24618480;58155023300;434255;433708
Amc::GridSelectColor;synthetic;100000;50000;0;0;46;25000;61405680;147492500;68135;24618480;58155023300;701966;700883
Amc::GridSelectColor;synthetic;100000;50000;0;0;46;50000;61405680;147492500;65006;24618480;58155023300;1005750;1005458
Amc::GridSelectColor;synthetic;100000;50000;0;0;46;75000;61405680;147492500;62819;24618480;58155023300;1173641;1173876
Amc::GridSelectColor;synthetic;100000;50000;0;0;46;100000;61405680;147492500;59049;24618480;58155023300;1466338;1465979
AAS2DModeReportDS;synthetic;150000;50000;0;0;53;10;94811376;233754000;71201;92411376;222013300;3486;3369
AAS2DModeReportDS;synthetic;150000;50000;0;0;53;100;94811376;233754000;74556;92411376;222013300;13161;12999
AAS2DModeReportDS;synthetic;150000;50000;0;0;53;1000;94811376;233754000;79844;92411376;222013300;106123;106079
AAS2DModeReportDS;synthetic;150000;50000;0;0;53;5000;94811376;233754000;82286;92411376;222013300;575749;575665
AAS2DModeReportDS;synthetic;150000;50000;0;0;53;10000;94811376;233754000;82811;92411376;222013300;1249285;1249459
AAS2DModeReportDS;synthetic;150000;50000;0;0;53;25000;94811376;233754000;81894;92411376;222013300;3471293;3471339
AAS2DModeReportDS;synthetic;150000;50000;0;0;53;50000;94811376;233754000;80408;92411376;222013300;7605297;7604968
AAS2DModeReportDS;synthetic;150000;50000;0;0;53;75000;94811376;233754000;79021;92411376;222013300;11491974;11470788
AAS2DModeReportDS;synthetic;150000;50000;0;0;53;100000;94811376;233754000;77538;92411376;222013300;15198824;15193810
AAS2DModeReportDS;synthetic;150000;50000;0;0;53;150000;94811376;233754000;69177;92411376;222013300;22739343;22740141
AAS2DModePerColorDS;synthetic;150000;50000;0;0;53;10;94811376;228037700;71684;17641760;77333700;792034;794089
AAS2DModePerColorDS;synthetic;150000;50000;0;0;53;100;94811376;228037700;74430;17641760;77333700;953339;952841
AAS2DModePerColorDS;synthetic;150000;50000;0;0;53;1000;94811376;228037700;79054;17641760;77333700;1452766;1449461
AAS2DModePerColorDS;synthetic;150000;50000;0;0;53;5000;94811376;228037700;81839;17641760;77333700;2191916;2192151
AAS2DModePerColorDS;synthetic;150000;50000;0;0;53;10000;94811376;228037700;83432;17641760;77333700;2674579;2669281
AAS2DModePerColorDS;synthetic;150000;50000;0;0;53;25000;94811376;228037700;82106;17641760;77333700;3446992;3449897
AAS2DModePerColorDS;synthetic;150000;50000;0;0;53;50000;94811376;228037700;81602;17641760;77333700;3862238;3865147
AAS2DModePerColorDS;synthetic;150000;50000;0;0;53;75000;94811376;228037700;78300;17641760;77333700;3955138;3948166
AAS2DModePerColorDS;synthetic;150000;50000;0;0;53;100000;94811376;228037700;75885;17641760;77333700;3608678;3605467
AAS2DModePerColorDS;synthetic;150000;50000;0;0;53;150000;94811376;228037700;69518;17641760;77333700;2038166;2037220
AAS2DModeGridDS;synthetic;150000;50000;0;0;53;10;94811376;280841800;77725;29989564;119895043900;32948;32828
AAS2DModeGridDS;synthetic;150000;50000;0;0;53;100;94811376;280841800;75218;29989564;119895043900;54236;53512
AAS2DModeGridDS;synthetic;150000;50000;0;0;53;1000;94811376;280841800;80981;29989564;119895043900;141290;140315
AAS2DModeGridDS;synthetic;150000;50000;0;0;53;5000;94811376;280841800;82673;29989564;119895043900;287489;286420
AAS2DModeGridDS;synthetic;150000;50000;0;0;53;10000;94811376;280841800;83908;29989564;119895043900;399249;398043
AAS2DModeGridDS;synthetic;150000;50000;0;0;53;25000;94811376;280841800;82118;29989564;119895043900;626478;625202
AAS2DModeGridDS;synthetic;150000;50000;0;0;53;50000;94811376;280841800;84848;29989564;119895043900;896676;892782
AAS2DModeGridDS;synthetic;150000;50000;0;0;53;75000;94811376;280841800;79166;29989564;119895043900;1050751;1051452
AAS2DModeGridDS;synthetic;150000;50000;0;0;53;100000;94811376;280841800;76305;29989564;119895043900;1078639;1077901
AAS2DModeGridDS;synthetic;150000;50000;0;0;53;150000;94811376;280841800;70206;29989564;119895043900;1220652;1220383
Amc::GridSelectColor;synthetic;150000;50000;0;0;53;10;94811376;225621000;71333;41798208;131861028600;10496;10245
Amc::GridSelectColor;synthetic;150000;50000;0;0;53;100;94811376;225621000;74575;41798208;131861028600;49237;48299
