DSType;dataType;numPoints;numColors;gamma;alpha;s;k;rangeSpace;rangeBuildTime;rangeQueryTime;modeSpace;modeBuildTime;modeQueryTime;modeQueryTimeExcludingFirst
AAS2DModeGridDS;synthetic;250000;50000;0;0;10;10;163611376;403994100;93620;47362396;3415500100;249122;249358
AAS2DModeGridDS;synthetic;250000;50000;0;0;10;100;163611376;403994100;110616;47362396;3415500100;285283;285548
AAS2DModeGridDS;synthetic;250000;50000;0;0;10;1000;163611376;403994100;102805;47362396;3415500100;663839;664012
AAS2DModeGridDS;synthetic;250000;50000;0;0;10;5000;163611376;403994100;106778;47362396;3415500100;2083987;2081559
AAS2DModeGridDS;synthetic;250000;50000;0;0;10;10000;163611376;403994100;106896;47362396;3415500100;3388829;3392842
AAS2DModeGridDS;synthetic;250000;50000;0;0;10;25000;163611376;403994100;107221;47362396;3415500100;5733007;5735237
AAS2DModeGridDS;synthetic;250000;50000;0;0;10;50000;163611376;403994100;106909;47362396;3415500100;7802692;7776768
AAS2DModeGridDS;synthetic;250000;50000;0;0;10;75000;163611376;403994100;107106;47362396;3415500100;9194737;9184762
AAS2DModeGridDS;synthetic;250000;50000;0;0;10;100000;163611376;403994100;103690;47362396;3415500100;10155186;10149146
AAS2DModeGridDS;synthetic;250000;50000;0;0;10;150000;163611376;403994100;99566;47362396;3415500100;11226964;11221954
AAS2DModeGridDS;synthetic;250000;50000;0;0;10;200000;163611376;403994100;92841;47362396;3415500100;10481260;10471054
AAS2DModeGridDS;synthetic;250000;50000;0;0;10;250000;163611376;403994100;88616;47362396;3415500100;6266700;6267022
AAS2DModeGridDS;synthetic;250000;50000;0;0;20;10;163611376;405742100;93623;47561988;18772383600;127324;127248
AAS2DModeGridDS;synthetic;250000;50000;0;0;20;100;163611376;405742100;97063;47561988;18772383600;166212;166541
AAS2DModeGridDS;synthetic;250000;50000;0;0;20;1000;163611376;405742100;102176;47561988;18772383600;489397;489459
AAS2DModeGridDS;synthetic;250000;50000;0;0;20;5000;163611376;405742100;105065;47561988;18772383600;1416587;1415521
AAS2DModeGridDS;synthetic;250000;50000;0;0;20;10000;163611376;405742100;106766;47561988;18772383600;1974765;1972901
AAS2DModeGridDS;synthetic;250000;50000;0;0;20;25000;163611376;405742100;107074;47561988;18772383600;3144230;3146614
AAS2DModeGridDS;synthetic;250000;50000;0;0;20;50000;163611376;405742100;106344;47561988;18772383600;4357000;4357928
AAS2DModeGridDS;synthetic;250000;50000;0;0;20;75000;163611376;405742100;104062;47561988;18772383600;5257045;5255910
AAS2DModeGridDS;synthetic;250000;50000;0;0;20;100000;163611376;405742100;102264;47561988;18772383600;6001973;6013652
AAS2DModeGridDS;synthetic;250000;50000;0;0;20;150000;163611376;405742100;98339;47561988;18772383600;6474580;6467434
AAS2DModeGridDS;synthetic;250000;50000;0;0;20;200000;163611376;405742100;93978;47561988;18772383600;5839550;5844667
AAS2DModeGridDS;synthetic;250000;50000;0;0;20;250000;163611376;405742100;87746;47561988;18772383600;3978669;3977786
AAS2DModeGridDS;synthetic;250000;50000;0;0;40;10;163611376;409763600;91766;49470228;96866552000;66953;66925
AAS2DModeGridDS;synthetic;250000;50000;0;0;40;100;163611376;409763600;95161;49470228;96866552000;100864;100449
AAS2DModeGridDS;synthetic;250000;50000;0;0;40;1000;163611376;409763600;100553;49470228;96866552000;325794;324694
AAS2DModeGridDS;synthetic;250000;50000;0;0;40;5000;163611376;409763600;105904;49470228;96866552000;778672;775793
AAS2DModeGridDS;synthetic;250000;50000;0;0;40;10000;163611376;409763600;107546;49470228;96866552000;1068099;1069065
AAS2DModeGridDS;synthetic;250000;50000;0;0;40;25000;163611376;409763600;106197;49470228;96866552000;1654594;1655902
AAS2DModeGridDS;synthetic;250000;50000;0;0;40;50000;163611376;409763600;104925;49470228;96866552000;2315387;2316537
AAS2DModeGridDS;synthetic;250000;50000;0;0;40;75000;163611376;409763600;104847;49470228;96866552000;2845015;2842129
AAS2DModeGridDS;synthetic;250000;50000;0;0;40;100000;163611376;409763600;103305;49470228;96866552000;3201663;3200580
AAS2DModeGridDS;synthetic;250000;50000;0;0;40;150000;163611376;409763600;98548;49470228;96866552000;3549969;3549425
AAS2DModeGridDS;synthetic;250000;50000;0;0;40;200000;163611376;409763600;94901;49470228;96866552000;3317455;3322584
AAS2DModeGridDS;synthetic;250000;50000;0;0;40;250000;163611376;409763600;88101;49470228;96866552000;2459656;2458771
AAS2DModeGridDS;synthetic;250000;50000;0;0;60;10;163611376;410119600;92554;54953668;255206597800;46918;46778
AAS2DModeGridDS;synthetic;250000;50000;0;0;60;100;163611376;410119600;97843;54953668;255206597800;79032;78614
AAS2DModeGridDS;synthetic;250000;50000;0;0;60;1000;163611376;410119600;100916;54953668;255206597800;235845;234994
AAS2DModeGridDS;synthetic;250000;50000;0;0;60;5000;163611376;410119600;104914;54953668;255206597800;513497;514448
AAS2DModeGridDS;synthetic;250000;50000;0;0;60;10000;163611376;410119600;105253;54953668;255206597800;702838;703747
AAS2DModeGridDS;synthetic;250000;50000;0;0;60;25000;163611376;410119600;106889;54953668;255206597800;1059598;1057388
AAS2DModeGridDS;synthetic;250000;50000;0;0;60;50000;163611376;410119600;105337;54953668;255206597800;1470862;1469624
AAS2DModeGridDS;synthetic;250000;50000;0;0;60;75000;163611376;410119600;102668;54953668;255206597800;1770467;1768575
AAS2DModeGridDS;synthetic;250000;50000;0;0;60;100000;163611376;410119600;102017;54953668;255206597800;1998230;1995320
AAS2DModeGridDS;synthetic;250000;50000;0;0;60;150000;163611376;410119600;98031;54953668;255206597800;2249882;2244462
AAS2DModeGridDS;synthetic;250000;50000;0;0;60;200000;163611376;410119600;94299;54953668;255206597800;2157134;2169358
AAS2DModeGridDS;synthetic;250000;50000;0;0;60;250000;163611376;410119600;87876;54953668;255206597800;1661086;1660547
AAS2DModeGridDS;synthetic;250000;50000;0;0;80;10;163611376;406391200;93893;65972276;515122769600;37397;37324
AAS2DModeGridDS;synthetic;250000;50000;0;0;80;100;163611376;406391200;97569;65972276;515122769600;64814;64361
AAS2DModeGridDS;synthetic;250000;50000;0;0;80;1000;163611376;406391200;102892;65972276;515122769600;190689;190577
AAS2DModeGridDS;synthetic;250000;50000;0;0;80;5000;163611376;406391200;106205;65972276;515122769600;385513;385747
AAS2DModeGridDS;synthetic;250000;50000;0;0;80;10000;163611376;406391200;107135;65972276;515122769600;535223;535522
AAS2DModeGridDS;synthetic;250000;50000;0;0;80;25000;163611376;406391200;107938;65972276;515122769600;820709;818263
AAS2DModeGridDS;synthetic;250000;50000;0;0;80;50000;163611376;406391200;106456;65972276;515122769600;1137043;1133596
AAS2DModeGridDS;synthetic;250000;50000;0;0;80;75000;163611376;406391200;105715;65972276;515122769600;1385109;1385965
AAS2DModeGridDS;synthetic;250000;50000;0;0;80;100000;163611376;406391200;104131;65972276;515122769600;1558815;1558275
AAS2DModeGridDS;synthetic;250000;50000;0;0;80;150000;163611376;406391200;98469;65972276;515122769600;1738270;1735807
AAS2DModeGridDS;synthetic;250000;50000;0;0;80;200000;163611376;406391200;93855;65972276;515122769600;1586623;1589416
AAS2DModeGridDS;synthetic;250000;50000;0;0;80;250000;163611376;406391200;88431;65972276;515122769600;1287439;1286739
AAS2DModeGridDS;synthetic;250000;50000;0;0;100;10;163611376;410118300;92880;84429476;899435359300;30722;30619
AAS2DModeGridDS;synthetic;250000;50000;0;0;100;100;163611376;410118300;95068;84429476;899435359300;55497;55078
AAS2DModeGridDS;synthetic;250000;50000;0;0;100;1000;163611376;410118300;101237;84429476;899435359300;148408;147904
AAS2DModeGridDS;synthetic;250000;50000;0;0;100;5000;163611376;410118300;106178;84429476;899435359300;297196;295496
AAS2DModeGridDS;synthetic;250000;50000;0;0;100;10000;163611376;410118300;106035;84429476;899435359300;410651;408484
AAS2DModeGridDS;synthetic;250000;50000;0;0;100;25000;163611376;410118300;105324;84429476;899435359300;634246;633923
AAS2DModeGridDS;synthetic;250000;50000;0;0;100;50000;163611376;410118300;105580;84429476;899435359300;880405;880046
AAS2DModeGridDS;synthetic;250000;50000;0;0;100;75000;163611376;410118300;104335;84429476;899435359300;1059239;1057922
AAS2DModeGridDS;synthetic;250000;50000;0;0;100;100000;163611376;410118300;101665;84429476;899435359300;1202782;1203384
AAS2DModeGridDS;synthetic;250000;50000;0;0;100;150000;163611376;410118300;96991;84429476;899435359300;1310846;1310935
AAS2DModeGridDS;synthetic;250000;50000;0;0;100;200000;163611376;410118300;92393;84429476;899435359300;1202171;1200043
AAS2DModeGridDS;synthetic;250000;50000;0;0;100;250000;163611376;410118300;87482;84429476;899435359300;1058903;1058325
AAS2DModeGridDS;synthetic;250000;50000;0;0;150;10;163611376;410661100;91865;175727000;2497413281200;22381;22330
AAS2DModeGridDS;synthetic;250000;50000;0;0;150;100;163611376;410661100;95081;175727000;2497413281200;40705;40324
AAS2DModeGridDS;synthetic;250000;50000;0;0;150;1000;163611376;410661100;100693;175727000;2497413281200;101307;100950
AAS2DModeGridDS;synthetic;250000;50000;0;0;150;5000;163611376;410661100;110406;175727000;2497413281200;195292;194243
AAS2DModeGridDS;synthetic;250000;50000;0;0;150;10000;163611376;410661100;105347;175727000;2497413281200;275133;274583
AAS2DModeGridDS;synthetic;250000;50000;0;0;150;25000;163611376;410661100;105693;175727000;2497413281200;435454;434619
