DSType;dataType;numPoints;numColors;gamma;alpha;s;k;rangeSpace;rangeBuildTime;rangeQueryTime;modeSpace;modeBuildTime;modeQueryTime;modeQueryTimeExcludingFirst
AAS2DModeReportDS;openML/dataset.arff;29166;13;0;0;30;10;16217680;38161900;22465;15751024;32615000;990;962
AAS2DModeReportDS;openML/dataset.arff;29166;13;0;0;30;100;16217680;38161900;21337;15751024;32615000;1556;1533
AAS2DModeReportDS;openML/dataset.arff;29166;13;0;0;30;1000;16217680;38161900;20739;15751024;32615000;7485;7500
AAS2DModeReportDS;openML/dataset.arff;29166;13;0;0;30;5000;16217680;38161900;20815;15751024;32615000;34061;34032
AAS2DModeReportDS;openML/dataset.arff;29166;13;0;0;30;10000;16217680;38161900;20356;15751024;32615000;66283;66256
AAS2DModeReportDS;openML/dataset.arff;29166;13;0;0;30;25000;16217680;38161900;20074;15751024;32615000;158681;158704
AAS2DModePerColorDS;openML/dataset.arff;29166;10;0;0;30;10;16217680;37589200;22320;15621920;31854500;905;890
AAS2DModePerColorDS;openML/dataset.arff;29166;10;0;0;30;100;16217680;37589200;21159;15621920;31854500;738;730
AAS2DModePerColorDS;openML/dataset.arff;29166;10;0;0;30;1000;16217680;37589200;20758;15621920;31854500;570;560
AAS2DModePerColorDS;openML/dataset.arff;29166;10;0;0;30;5000;16217680;37589200;20580;15621920;31854500;548;538
AAS2DModePerColorDS;openML/dataset.arff;29166;10;0;0;30;10000;16217680;37589200;20365;15621920;31854500;516;508
AAS2DModePerColorDS;openML/dataset.arff;29166;10;0;0;30;25000;16217680;37589200;19495;15621920;31854500;408;406
AAS2DModeGridDS;openML/dataset.arff;29166;11;0;0;30;10;16217680;37368500;23013;17473768;292211800;9076;9048
AAS2DModeGridDS;openML/dataset.arff;29166;11;0;0;30;100;16217680;37368500;21597;17473768;292211800;9232;9191
AAS2DModeGridDS;openML/dataset.arff;29166;11;0;0;30;1000;16217680;37368500;20953;17473768;292211800;11751;11697
AAS2DModeGridDS;openML/dataset.arff;29166;11;0;0;30;5000;16217680;37368500;20902;17473768;292211800;12806;12731
AAS2DModeGridDS;openML/dataset.arff;29166;11;0;0;30;10000;16217680;37368500;20636;17473768;292211800;13952;13854
AAS2DModeGridDS;openML/dataset.arff;29166;11;0;0;30;25000;16217680;37368500;19787;17473768;292211800;15642;15624
AAS2DModeReportDS;openML/dataset.arff;58333;14;0;0;38;10;34302624;82364700;28284;33369296;77280900;1381;1322
AAS2DModeReportDS;openML/dataset.arff;58333;14;0;0;38;100;34302624;82364700;25597;33369296;77280900;1819;1797
AAS2DModeReportDS;openML/dataset.arff;58333;14;0;0;38;1000;34302624;82364700;24940;33369296;77280900;7704;7689
AAS2DModeReportDS;openML/dataset.arff;58333;14;0;0;38;5000;34302624;82364700;24724;33369296;77280900;30830;30797
AAS2DModeReportDS;openML/dataset.arff;58333;14;0;0;38;10000;34302624;82364700;24709;33369296;77280900;60421;60312
AAS2DModeReportDS;openML/dataset.arff;58333;14;0;0;38;25000;34302624;82364700;24595;33369296;77280900;155510;155682
AAS2DModeReportDS;openML/dataset.arff;58333;14;0;0;38;50000;34302624;82364700;23583;33369296;77280900;700153;699560
AAS2DModePerColorDS;openML/dataset.arff;58333;12;0;0;38;10;34302624;76239900;27440;33109056;76601200;1318;1274
AAS2DModePerColorDS;openML/dataset.arff;58333;12;0;0;38;100;34302624;76239900;25181;33109056;76601200;1010;969
AAS2DModePerColorDS;openML/dataset.arff;58333;12;0;0;38;1000;34302624;76239900;24604;33109056;76601200;774;751
AAS2DModePerColorDS;openML/dataset.arff;58333;12;0;0;38;5000;34302624;76239900;24268;33109056;76601200;697;687
AAS2DModePerColorDS;openML/dataset.arff;58333;12;0;0;38;10000;34302624;76239900;24212;33109056;76601200;677;665
AAS2DModePerColorDS;openML/dataset.arff;58333;12;0;0;38;25000;34302624;76239900;23883;33109056;76601200;613;605
AAS2DModePerColorDS;openML/dataset.arff;58333;12;0;0;38;50000;34302624;76239900;22833;33109056;76601200;495;491
AAS2DModeGridDS;openML/dataset.arff;58333;12;0;0;38;10;34302624;77430800;27402;36851384;906626200;15014;14948
AAS2DModeGridDS;openML/dataset.arff;58333;12;0;0;38;100;34302624;77430800;25238;36851384;906626200;14914;14818
AAS2DModeGridDS;openML/dataset.arff;58333;12;0;0;38;1000;34302624;77430800;24605;36851384;906626200;18170;18097
AAS2DModeGridDS;openML/dataset.arff;58333;12;0;0;38;5000;34302624;77430800;24157;36851384;906626200;20164;20072
AAS2DModeGridDS;openML/dataset.arff;58333;12;0;0;38;10000;34302624;77430800;24099;36851384;906626200;21496;21407
AAS2DModeGridDS;openML/dataset.arff;58333;12;0;0;38;25000;34302624;77430800;23789;36851384;906626200;22809;22735
AAS2DModeGridDS;openML/dataset.arff;58333;12;0;0;38;50000;34302624;77430800;22723;36851384;906626200;24051;24036
AAS2DModeReportDS;openML/dataset.arff;87500;15;0;0;44;10;53205680;125381000;31464;51805680;120139200;1635;1574
AAS2DModeReportDS;openML/dataset.arff;87500;15;0;0;44;100;53205680;125381000;28771;51805680;120139200;2203;2205
AAS2DModeReportDS;openML/dataset.arff;87500;15;0;0;44;1000;53205680;125381000;27696;51805680;120139200;6025;5952
AAS2DModeReportDS;openML/dataset.arff;87500;15;0;0;44;5000;53205680;125381000;27189;51805680;120139200;26104;26066
