DSType;dataType;numPoints;numColors;gamma;alpha;s;k;rangeSpace;rangeBuildTime;rangeQueryTime;modeSpace;modeBuildTime;modeQueryTime;modeQueryTimeExcludingFirst
AAS2DModeReportDS;openML/php3CTpvq.arff;14933;22;0;0;24;10;7838176;17141500;33209;7599248;15717000;2135;2092
AAS2DModeReportDS;openML/php3CTpvq.arff;14933;22;0;0;24;100;7838176;17141500;35070;7599248;15717000;5852;5793
AAS2DModeReportDS;openML/php3CTpvq.arff;14933;22;0;0;24;1000;7838176;17141500;39375;7599248;15717000;24906;24792
AAS2DModeReportDS;openML/php3CTpvq.arff;14933;22;0;0;24;5000;7838176;17141500;44725;7599248;15717000;95907;95685
AAS2DModeReportDS;openML/php3CTpvq.arff;14933;22;0;0;24;10000;7838176;17141500;48617;7599248;15717000;180458;180344
AAS2DModePerColorDS;openML/php3CTpvq.arff;14933;22;0;0;24;10;7838176;17007300;31967;5699424;12480300;6748;6695
AAS2DModePerColorDS;openML/php3CTpvq.arff;14933;22;0;0;24;100;7838176;17007300;34110;5699424;12480300;9011;8988
AAS2DModePerColorDS;openML/php3CTpvq.arff;14933;22;0;0;24;1000;7838176;17007300;38351;5699424;12480300;12105;12096
AAS2DModePerColorDS;openML/php3CTpvq.arff;14933;22;0;0;24;5000;7838176;17007300;43571;5699424;12480300;13748;13728
AAS2DModePerColorDS;openML/php3CTpvq.arff;14933;22;0;0;24;10000;7838176;17007300;47233;5699424;12480300;12250;12222
AAS2DModeGridDS;openML/php3CTpvq.arff;14933;22;0;0;24;10;7838176;16773500;31847;6798824;232004000;11979;11803
AAS2DModeGridDS;openML/php3CTpvq.arff;14933;22;0;0;24;100;7838176;16773500;33920;6798824;232004000;17949;17909
AAS2DModeGridDS;openML/php3CTpvq.arff;14933;22;0;0;24;1000;7838176;16773500;38047;6798824;232004000;24123;24047
AAS2DModeGridDS;openML/php3CTpvq.arff;14933;22;0;0;24;5000;7838176;16773500;43481;6798824;232004000;26776;26603
AAS2DModeGridDS;openML/php3CTpvq.arff;14933;22;0;0;24;10000;7838176;16773500;47098;6798824;232004000;23521;23488
AAS2DModeReportDS;openML/php3CTpvq.arff;29866;22;0;0;31;10;16632080;34464900;39052;16154224;35161000;2518;2457
AAS2DModeReportDS;openML/php3CTpvq.arff;29866;22;0;0;31;100;16632080;34464900;40943;16154224;35161000;6179;6124
AAS2DModeReportDS;openML/php3CTpvq.arff;29866;22;0;0;31;1000;16632080;34464900;44880;16154224;35161000;24582;24518
AAS2DModeReportDS;openML/php3CTpvq.arff;29866;22;0;0;31;5000;16632080;34464900;50357;16154224;35161000;90468;90199
AAS2DModeReportDS;openML/php3CTpvq.arff;29866;22;0;0;31;10000;16632080;34464900;53975;16154224;35161000;171172;170788
AAS2DModeReportDS;openML/php3CTpvq.arff;29866;22;0;0;31;25000;16632080;34464900;62394;16154224;35161000;403882;403164
AAS2DModePerColorDS;openML/php3CTpvq.arff;29866;22;0;0;31;10;16632080;33742900;37699;12351488;28190100;8504;8280
AAS2DModePerColorDS;openML/php3CTpvq.arff;29866;22;0;0;31;100;16632080;33742900;39669;12351488;28190100;10546;10516
AAS2DModePerColorDS;openML/php3CTpvq.arff;29866;22;0;0;31;1000;16632080;33742900;43682;12351488;28190100;13968;13941
AAS2DModePerColorDS;openML/php3CTpvq.arff;29866;22;0;0;31;5000;16632080;33742900;48635;12351488;28190100;16545;16550
AAS2DModePerColorDS;openML/php3CTpvq.arff;29866;22;0;0;31;10000;16632080;33742900;52251;12351488;28190100;17094;17046
AAS2DModePerColorDS;openML/php3CTpvq.arff;29866;22;0;0;31;25000;16632080;33742900;60372;12351488;28190100;12112;12110
AAS2DModeGridDS;openML/php3CTpvq.arff;29866;22;0;0;31;10;16632080;33916400;38830;14684624;803691600;17771;17320
AAS2DModeGridDS;openML/php3CTpvq.arff;29866;22;0;0;31;100;16632080;33916400;40469;14684624;803691600;24169;24091
AAS2DModeGridDS;openML/php3CTpvq.arff;29866;22;0;0;31;1000;16632080;33916400;44595;14684624;803691600;32103;31866
AAS2DModeGridDS;openML/php3CTpvq.arff;29866;22;0;0;31;5000;16632080;33916400;49700;14684624;803691600;36690;36628
AAS2DModeGridDS;openML/php3CTpvq.arff;29866;22;0;0;31;10000;16632080;33916400;53388;14684624;803691600;37289;36951
AAS2DModeGridDS;openML/php3CTpvq.arff;29866;22;0;0;31;25000;16632080;33916400;61309;14684624;803691600;28780;28723
AAS2DModeReportDS;openML/php3CTpvq.arff;44799;22;0;0;35;10;25857408;54448000;42130;25140624;53199800;2799;2697
