DSType;dataType;numPoints;numColors;gamma;alpha;s;k;rangeSpace;rangeBuildTime;rangeQueryTime;modeSpace;modeBuildTime;modeQueryTime;modeQueryTimeExcludingFirst
AAS2DModeReportDS;osm/1.points;5000;11;0;0;17;10;2377840;6746700;23476;2297840;6072600;1573;1536
AAS2DModeReportDS;osm/1.points;5000;11;0;0;17;100;2377840;6746700;25227;2297840;6072600;4169;4128
AAS2DModeReportDS;osm/1.points;5000;11;0;0;17;1000;2377840;6746700;27575;2297840;6072600;14891;14852
AAS2DModeReportDS;osm/1.points;5000;11;0;0;17;5000;2377840;6746700;25482;2297840;6072600;35000;34634
AAS2DModePerColorDS;osm/1.points;5000;11;0;0;17;10;2377840;6072500;23630;1853744;4610800;2340;2297
AAS2DModePerColorDS;osm/1.points;5000;11;0;0;17;100;2377840;6072500;25438;1853744;4610800;3104;3086
AAS2DModePerColorDS;osm/1.points;5000;11;0;0;17;1000;2377840;6072500;27573;1853744;4610800;3592;3570
AAS2DModePerColorDS;osm/1.points;5000;11;0;0;17;5000;2377840;6072500;25805;1853744;4610800;460;460
AAS2DModeGridDS;osm/1.points;5000;11;0;0;17;10;2377840;6501800;24892;2216976;40102400;5705;5561
AAS2DModeGridDS;osm/1.points;5000;11;0;0;17;100;2377840;6501800;27843;2216976;40102400;8023;7845
AAS2DModeGridDS;osm/1.points;5000;11;0;0;17;1000;2377840;6501800;28063;2216976;40102400;9751;9699
AAS2DModeGridDS;osm/1.points;5000;11;0;0;17;5000;2377840;6501800;26193;2216976;40102400;6317;6281
AAS2DModeReportDS;osm/1.points;10000;11;0;0;21;10;5075696;13366300;29617;4915696;12139600;1842;1793
AAS2DModeReportDS;osm/1.points;10000;11;0;0;21;100;5075696;13366300;31506;4915696;12139600;4488;4397
AAS2DModeReportDS;osm/1.points;10000;11;0;0;21;1000;5075696;13366300;34455;4915696;12139600;14571;14467
AAS2DModeReportDS;osm/1.points;10000;11;0;0;21;5000;5075696;13366300;33939;4915696;12139600;52035;51874
AAS2DModeReportDS;osm/1.points;10000;11;0;0;21;10000;5075696;13366300;32613;4915696;12139600;96718;96760
AAS2DModePerColorDS;osm/1.points;10000;11;0;0;21;10;5075696;12414200;30154;4035312;10006700;3322;3148
AAS2DModePerColorDS;osm/1.points;10000;11;0;0;21;100;5075696;12414200;31375;4035312;10006700;3759;3697
AAS2DModePerColorDS;osm/1.points;10000;11;0;0;21;1000;5075696;12414200;34099;4035312;10006700;4410;4372
AAS2DModePerColorDS;osm/1.points;10000;11;0;0;21;5000;5075696;12414200;33368;4035312;10006700;3721;3671
AAS2DModePerColorDS;osm/1.points;10000;11;0;0;21;10000;5075696;12414200;31737;4035312;10006700;459;457
