DSType;dataType;numPoints;numColors;gamma;alpha;s;k;rangeSpace;rangeBuildTime;rangeQueryTime;modeSpace;modeBuildTime;modeQueryTime
AAS1DModeReportDS;synthetic;300000;50000;25000;0;547;5;8400000;474425255900;1083188;1200000;713500;691
AAS1DModeReportDS;synthetic;300000;50000;25000;0;547;10;8400000;474425255900;927976;1200000;713500;1811
AAS1DModeReportDS;synthetic;300000;50000;25000;0;547;50;8400000;474425255900;928337;1200000;713500;10125
AAS1DModeReportDS;synthetic;300000;50000;25000;0;547;100;8400000;474425255900;1309073;1200000;713500;21352
AAS1DModeReportDS;synthetic;300000;50000;25000;0;547;500;8400000;474425255900;1177696;1200000;713500;127108
AAS1DModeReportDS;synthetic;300000;50000;25000;0;547;1000;8400000;474425255900;1350449;1200000;713500;291756
AAS1DModeReportDS;synthetic;300000;50000;25000;0;547;5000;8400000;474425255900;1450210;1200000;713500;1626020
AAS1DModeReportDS;synthetic;300000;50000;25000;0;547;10000;8400000;474425255900;1381281;1200000;713500;3543456
AAS1DModeReportDS;synthetic;300000;50000;25000;0;547;30000;8400000;474425255900;1335549;1200000;713500;11268428
AAS1DModeReportDS;synthetic;300000;50000;25000;0;547;60000;8400000;474425255900;1310063;1200000;713500;23557312
AAS1DModeReportDS;synthetic;300000;50000;25000;0;547;100000;8400000;474425255900;1353280;1200000;713500;40324156
AAS1DModeReportDS;synthetic;300000;50000;25000;0;547;250000;8400000;474425255900;967570;1200000;713500;91581421
AAS1DModeRangeTreesDS;synthetic;300000;50000;25000;0;547;5;8400000;384979822100;952286;1200008;74213400;1893664
AAS1DModeRangeTreesDS;synthetic;300000;50000;25000;0;547;10;8400000;384979822100;911462;1200008;74213400;1851250
AAS1DModeRangeTreesDS;synthetic;300000;50000;25000;0;547;50;8400000;384979822100;905704;1200008;74213400;1939099
AAS1DModeRangeTreesDS;synthetic;300000;50000;25000;0;547;100;8400000;384979822100;1229034;1200008;74213400;1919936
AAS1DModeRangeTreesDS;synthetic;300000;50000;25000;0;547;500;8400000;384979822100;1415919;1200008;74213400;1867224
AAS1DModeRangeTreesDS;synthetic;300000;50000;25000;0;547;1000;8400000;384979822100;1341006;1200008;74213400;1866695
AAS1DModeRangeTreesDS;synthetic;300000;50000;25000;0;547;5000;8400000;384979822100;1317325;1200008;74213400;1986020
AAS1DModeRangeTreesDS;synthetic;300000;50000;25000;0;547;10000;8400000;384979822100;1365425;1200008;74213400;2033815
AAS1DModeRangeTreesDS;synthetic;300000;50000;25000;0;547;30000;8400000;384979822100;1369031;1200008;74213400;2356745
AAS1DModeRangeTreesDS;synthetic;300000;50000;25000;0;547;60000;8400000;384979822100;1345012;1200008;74213400;2511429
AAS1DModeRangeTreesDS;synthetic;300000;50000;25000;0;547;100000;8400000;384979822100;1408402;1200008;74213400;2564679
AAS1DModeRangeTreesDS;synthetic;300000;50000;25000;0;547;250000;8400000;384979822100;1348409;1200008;74213400;2096383
AAS1DModeChanDS;synthetic;300000;50000;25000;0;547;5;8400000;430503793800;954733;5993688;230688195100;674
AAS1DModeChanDS;synthetic;300000;50000;25000;0;547;10;8400000;430503793800;982388;5993688;230688195100;2282
AAS1DModeChanDS;synthetic;300000;50000;25000;0;547;50;8400000;430503793800;949831;5993688;230688195100;9242
AAS1DModeChanDS;synthetic;300000;50000;25000;0;547;100;8400000;430503793800;939094;5993688;230688195100;20517
AAS1DModeChanDS;synthetic;300000;50000;25000;0;547;500;8400000;430503793800;954116;5993688;230688195100;122308
AAS1DModeChanDS;synthetic;300000;50000;25000;0;547;1000;8400000;430503793800;945058;5993688;230688195100;67126
AAS1DModeChanDS;synthetic;300000;50000;25000;0;547;5000;8400000;430503793800;923168;5993688;230688195100;9089
AAS1DModeChanDS;synthetic;300000;50000;25000;0;547;10000;8400000;430503793800;923084;5993688;230688195100;8365
AAS1DModeChanDS;synthetic;300000;50000;25000;0;547;30000;8400000;430503793800;925052;5993688;230688195100;8713
AAS1DModeChanDS;synthetic;300000;50000;25000;0;547;60000;8400000;430503793800;925909;5993688;230688195100;7329
AAS1DModeChanDS;synthetic;300000;50000;25000;0;547;100000;8400000;430503793800;947191;5993688;230688195100;5138
AAS1DModeChanDS;synthetic;300000;50000;25000;0;547;250000;8400000;430503793800;915962;5993688;230688195100;3266
AAS1DModeGridDS;synthetic;300000;50000;25000;0;547;5;8400000;436298487900;928978;4793688;230417599800;832
AAS1DModeGridDS;synthetic;300000;50000;25000;0;547;10;8400000;436298487900;960142;4793688;230417599800;2498
AAS1DModeGridDS;synthetic;300000;50000;25000;0;547;50;8400000;436298487900;1044568;4793688;230417599800;12411
AAS1DModeGridDS;synthetic;300000;50000;25000;0;547;100;8400000;436298487900;1005420;4793688;230417599800;27987
AAS1DModeGridDS;synthetic;300000;50000;25000;0;547;500;8400000;436298487900;1018132;4793688;230417599800;144483
AAS1DModeGridDS;synthetic;300000;50000;25000;0;547;1000;8400000;436298487900;1023392;4793688;230417599800;204234
AAS1DModeGridDS;synthetic;300000;50000;25000;0;547;5000;8400000;436298487900;1352783;4793688;230417599800;224979
AAS1DModeGridDS;synthetic;300000;50000;25000;0;547;10000;8400000;436298487900;1327718;4793688;230417599800;224089
AAS1DModeGridDS;synthetic;300000;50000;25000;0;547;30000;8400000;436298487900;1491725;4793688;230417599800;193545
AAS1DModeGridDS;synthetic;300000;50000;25000;0;547;60000;8400000;436298487900;1393280;4793688;230417599800;207050
AAS1DModeGridDS;synthetic;300000;50000;25000;0;547;100000;8400000;436298487900;1340425;4793688;230417599800;219554
AAS1DModeGridDS;synthetic;300000;50000;25000;0;547;250000;8400000;436298487900;1316480;4793688;230417599800;218481
AAS1DModeReportDS;synthetic;300000;50000;25000;0.1;547;5;8400000;356846091000;898304;1200000;416000;845
AAS1DModeReportDS;synthetic;300000;50000;25000;0.1;547;10;8400000;356846091000;931015;1200000;416000;1543
AAS1DModeReportDS;synthetic;300000;50000;25000;0.1;547;50;8400000;356846091000;892412;1200000;416000;10816
AAS1DModeReportDS;synthetic;300000;50000;25000;0.1;547;100;8400000;356846091000;945661;1200000;416000;23550
AAS1DModeReportDS;synthetic;300000;50000;25000;0.1;547;500;8400000;356846091000;926230;1200000;416000;120273
AAS1DModeReportDS;synthetic;300000;50000;25000;0.1;547;1000;8400000;356846091000;889884;1200000;416000;303326
AAS1DModeReportDS;synthetic;300000;50000;25000;0.1;547;5000;8400000;356846091000;1021109;1200000;416000;1880061
AAS1DModeReportDS;synthetic;300000;50000;25000;0.1;547;10000;8400000;356846091000;995826;1200000;416000;3550270
AAS1DModeReportDS;synthetic;300000;50000;25000;0.1;547;30000;8400000;356846091000;938005;1200000;416000;11732896
AAS1DModeReportDS;synthetic;300000;50000;25000;0.1;547;60000;8400000;356846091000;1023651;1200000;416000;22579774
AAS1DModeReportDS;synthetic;300000;50000;25000;0.1;547;100000;8400000;356846091000;945080;1200000;416000;37105411
AAS1DModeReportDS;synthetic;300000;50000;25000;0.1;547;250000;8400000;356846091000;905426;1200000;416000;87698297
AAS1DModeRangeTreesDS;synthetic;300000;50000;25000;0.1;547;5;8400000;357050633200;1204031;1200008;58804800;1888624
AAS1DModeRangeTreesDS;synthetic;300000;50000;25000;0.1;547;10;8400000;357050633200;1014323;1200008;58804800;1859766
