DSType;dataType;numPoints;numColors;gamma;alpha;s;k;rangeSpace;rangeBuildTime;rangeQueryTime;modeSpace;modeBuildTime;modeQueryTime
AAS1DModeRangeTreesDS;synthetic;50000;25000;0;0;223;5;1400000;3686888800;11556;200008;5328100;276862
AAS1DModeRangeTreesDS;synthetic;50000;25000;0;0;223;10;1400000;3686888800;9710;200008;5328100;259954
AAS1DModeRangeTreesDS;synthetic;50000;25000;0;0;223;50;1400000;3686888800;9685;200008;5328100;253339
AAS1DModeRangeTreesDS;synthetic;50000;25000;0;0;223;100;1400000;3686888800;10109;200008;5328100;273079
AAS1DModeRangeTreesDS;synthetic;50000;25000;0;0;223;500;1400000;3686888800;12595;200008;5328100;333582
AAS1DModeRangeTreesDS;synthetic;50000;25000;0;0;223;1000;1400000;3686888800;13510;200008;5328100;299295
AAS1DModeRangeTreesDS;synthetic;50000;25000;0;0;223;5000;1400000;3686888800;10780;200008;5328100;315585
AAS1DModeRangeTreesDS;synthetic;50000;25000;0;0;223;10000;1400000;3686888800;10589;200008;5328100;370888
AAS1DModeRangeTreesDS;synthetic;50000;25000;0;0;223;30000;1400000;3686888800;10639;200008;5328100;372873
AAS1DModeChanDS;synthetic;50000;25000;0;0;223;5;1400000;893781400;10399;997848;3631571300;325
AAS1DModeChanDS;synthetic;50000;25000;0;0;223;10;1400000;893781400;10407;997848;3631571300;717
AAS1DModeChanDS;synthetic;50000;25000;0;0;223;50;1400000;893781400;10448;997848;3631571300;4657
AAS1DModeChanDS;synthetic;50000;25000;0;0;223;100;1400000;893781400;10806;997848;3631571300;10507
AAS1DModeChanDS;synthetic;50000;25000;0;0;223;500;1400000;893781400;10772;997848;3631571300;1688
AAS1DModeChanDS;synthetic;50000;25000;0;0;223;1000;1400000;893781400;11639;997848;3631571300;1596
AAS1DModeChanDS;synthetic;50000;25000;0;0;223;5000;1400000;893781400;11837;997848;3631571300;1497
AAS1DModeChanDS;synthetic;50000;25000;0;0;223;10000;1400000;893781400;13003;997848;3631571300;1132
AAS1DModeChanDS;synthetic;50000;25000;0;0;223;30000;1400000;893781400;13573;997848;3631571300;732
AAS1DModeGridDS;synthetic;50000;25000;0;0;223;5;1400000;3312237000;11073;797848;3940435100;322
AAS1DModeGridDS;synthetic;50000;25000;0;0;223;10;1400000;3312237000;10904;797848;3940435100;708
AAS1DModeGridDS;synthetic;50000;25000;0;0;223;50;1400000;3312237000;11171;797848;3940435100;6077
AAS1DModeGridDS;synthetic;50000;25000;0;0;223;100;1400000;3312237000;11904;797848;3940435100;10770
AAS1DModeGridDS;synthetic;50000;25000;0;0;223;500;1400000;3312237000;11107;797848;3940435100;34949
AAS1DModeGridDS;synthetic;50000;25000;0;0;223;1000;1400000;3312237000;11560;797848;3940435100;32633
AAS1DModeGridDS;synthetic;50000;25000;0;0;223;5000;1400000;3312237000;10953;797848;3940435100;36975
AAS1DModeGridDS;synthetic;50000;25000;0;0;223;10000;1400000;3312237000;12570;797848;3940435100;32383
AAS1DModeGridDS;synthetic;50000;25000;0;0;223;30000;1400000;3312237000;15100;797848;3940435100;26114
AAS1DModeRangeTreesDS;synthetic;75000;25000;0;0;273;5;2100000;10728804600;21625;300008;12256000;353067
AAS1DModeRangeTreesDS;synthetic;75000;25000;0;0;273;10;2100000;10728804600;21905;300008;12256000;308926
AAS1DModeRangeTreesDS;synthetic;75000;25000;0;0;273;50;2100000;10728804600;15913;300008;12256000;327686
AAS1DModeRangeTreesDS;synthetic;75000;25000;0;0;273;100;2100000;10728804600;16683;300008;12256000;312859
