DSType;dataType;numPoints;numColors;gamma;alpha;s;k;rangeSpace;rangeBuildTime;rangeQueryTime;modeSpace;modeBuildTime;modeQueryTime
AAS1DModeReportDS;synthetic;300000;1;0;0;547;5;8400000;214944130300;557843;1200000;404500;234
AAS1DModeReportDS;synthetic;300000;1;0;0;547;10;8400000;214944130300;567718;1200000;404500;154
AAS1DModeReportDS;synthetic;300000;1;0;0;547;50;8400000;214944130300;597714;1200000;404500;188
AAS1DModeReportDS;synthetic;300000;1;0;0;547;100;8400000;214944130300;575957;1200000;404500;273
AAS1DModeReportDS;synthetic;300000;1;0;0;547;500;8400000;214944130300;560428;1200000;404500;1034
AAS1DModeReportDS;synthetic;300000;1;0;0;547;1000;8400000;214944130300;506912;1200000;404500;1836
AAS1DModeReportDS;synthetic;300000;1;0;0;547;5000;8400000;214944130300;527065;1200000;404500;8891
AAS1DModeReportDS;synthetic;300000;1;0;0;547;10000;8400000;214944130300;556795;1200000;404500;18186
AAS1DModeReportDS;synthetic;300000;1;0;0;547;30000;8400000;214944130300;574339;1200000;404500;57305
AAS1DModeReportDS;synthetic;300000;1;0;0;547;60000;8400000;214944130300;548771;1200000;404500;112029
AAS1DModeReportDS;synthetic;300000;1;0;0;547;100000;8400000;214944130300;513237;1200000;404500;183535
AAS1DModeReportDS;synthetic;300000;1;0;0;547;250000;8400000;214944130300;525998;1200000;404500;501388
AAS1DModeRangeTreesDS;synthetic;300000;1;0;0;547;5;8400000;237383863900;557963;1200008;2086900;179
AAS1DModeRangeTreesDS;synthetic;300000;1;0;0;547;10;8400000;237383863900;533289;1200008;2086900;192
AAS1DModeRangeTreesDS;synthetic;300000;1;0;0;547;50;8400000;237383863900;520259;1200008;2086900;225
AAS1DModeRangeTreesDS;synthetic;300000;1;0;0;547;100;8400000;237383863900;497147;1200008;2086900;192
AAS1DModeRangeTreesDS;synthetic;300000;1;0;0;547;500;8400000;237383863900;529667;1200008;2086900;247
AAS1DModeRangeTreesDS;synthetic;300000;1;0;0;547;1000;8400000;237383863900;683954;1200008;2086900;246
AAS1DModeRangeTreesDS;synthetic;300000;1;0;0;547;5000;8400000;237383863900;715460;1200008;2086900;197
AAS1DModeRangeTreesDS;synthetic;300000;1;0;0;547;10000;8400000;237383863900;618905;1200008;2086900;243
AAS1DModeRangeTreesDS;synthetic;300000;1;0;0;547;30000;8400000;237383863900;677610;1200008;2086900;199
AAS1DModeRangeTreesDS;synthetic;300000;1;0;0;547;60000;8400000;237383863900;705852;1200008;2086900;184
AAS1DModeRangeTreesDS;synthetic;300000;1;0;0;547;100000;8400000;237383863900;632126;1200008;2086900;326
AAS1DModeRangeTreesDS;synthetic;300000;1;0;0;547;250000;8400000;237383863900;648165;1200008;2086900;98
AAS1DModeChanDS;synthetic;300000;1;0;0;547;5;8400000;196609931600;515045;5993688;174459000;100
AAS1DModeChanDS;synthetic;300000;1;0;0;547;10;8400000;196609931600;501163;5993688;174459000;111
AAS1DModeChanDS;synthetic;300000;1;0;0;547;50;8400000;196609931600;542583;5993688;174459000;173
AAS1DModeChanDS;synthetic;300000;1;0;0;547;100;8400000;196609931600;528286;5993688;174459000;270
AAS1DModeChanDS;synthetic;300000;1;0;0;547;500;8400000;196609931600;505252;5993688;174459000;877
AAS1DModeChanDS;synthetic;300000;1;0;0;547;1000;8400000;196609931600;503203;5993688;174459000;1008
AAS1DModeChanDS;synthetic;300000;1;0;0;547;5000;8400000;196609931600;504613;5993688;174459000;1740
AAS1DModeChanDS;synthetic;300000;1;0;0;547;10000;8400000;196609931600;522680;5993688;174459000;941
AAS1DModeChanDS;synthetic;300000;1;0;0;547;30000;8400000;196609931600;521957;5993688;174459000;1003
AAS1DModeChanDS;synthetic;300000;1;0;0;547;60000;8400000;196609931600;507858;5993688;174459000;1028
AAS1DModeChanDS;synthetic;300000;1;0;0;547;100000;8400000;196609931600;621189;5993688;174459000;966
AAS1DModeChanDS;synthetic;300000;1;0;0;547;250000;8400000;196609931600;585699;5993688;174459000;1112
AAS1DModeGridDS;synthetic;300000;1;0;0;547;5;8400000;208352925300;500546;4793688;161982600;102
AAS1DModeGridDS;synthetic;300000;1;0;0;547;10;8400000;208352925300;488512;4793688;161982600;136
AAS1DModeGridDS;synthetic;300000;1;0;0;547;50;8400000;208352925300;552792;4793688;161982600;196
AAS1DModeGridDS;synthetic;300000;1;0;0;547;100;8400000;208352925300;626374;4793688;161982600;257
AAS1DModeGridDS;synthetic;300000;1;0;0;547;500;8400000;208352925300;630631;4793688;161982600;1154
AAS1DModeGridDS;synthetic;300000;1;0;0;547;1000;8400000;208352925300;644298;4793688;161982600;1362
AAS1DModeGridDS;synthetic;300000;1;0;0;547;5000;8400000;208352925300;594084;4793688;161982600;1366
AAS1DModeGridDS;synthetic;300000;1;0;0;547;10000;8400000;208352925300;591784;4793688;161982600;1348
AAS1DModeGridDS;synthetic;300000;1;0;0;547;30000;8400000;208352925300;578592;4793688;161982600;1338
AAS1DModeGridDS;synthetic;300000;1;0;0;547;60000;8400000;208352925300;510688;4793688;161982600;2449
AAS1DModeGridDS;synthetic;300000;1;0;0;547;100000;8400000;208352925300;506668;4793688;161982600;1392
AAS1DModeGridDS;synthetic;300000;1;0;0;547;250000;8400000;208352925300;509057;4793688;161982600;1530
AAS1DModeReportDS;synthetic;300000;100;0;0;547;5;8400000;227814793900;479009;1200000;369500;305
AAS1DModeReportDS;synthetic;300000;100;0;0;547;10;8400000;227814793900;492440;1200000;369500;646
AAS1DModeReportDS;synthetic;300000;100;0;0;547;50;8400000;227814793900;480088;1200000;369500;3820
AAS1DModeReportDS;synthetic;300000;100;0;0;547;100;8400000;227814793900;493368;1200000;369500;7196
AAS1DModeReportDS;synthetic;300000;100;0;0;547;500;8400000;227814793900;482839;1200000;369500;23554
AAS1DModeReportDS;synthetic;300000;100;0;0;547;1000;8400000;227814793900;483166;1200000;369500;40449
AAS1DModeReportDS;synthetic;300000;100;0;0;547;5000;8400000;227814793900;480010;1200000;369500;171090
AAS1DModeReportDS;synthetic;300000;100;0;0;547;10000;8400000;227814793900;477348;1200000;369500;325665
AAS1DModeReportDS;synthetic;300000;100;0;0;547;30000;8400000;227814793900;486415;1200000;369500;943721
AAS1DModeReportDS;synthetic;300000;100;0;0;547;60000;8400000;227814793900;478742;1200000;369500;1855803
AAS1DModeReportDS;synthetic;300000;100;0;0;547;100000;8400000;227814793900;502877;1200000;369500;3031651
AAS1DModeReportDS;synthetic;300000;100;0;0;547;250000;8400000;227814793900;483744;1200000;369500;7718046
AAS1DModeRangeTreesDS;synthetic;300000;100;0;0;547;5;8400000;196072442200;539370;1200008;4090300;7881
AAS1DModeRangeTreesDS;synthetic;300000;100;0;0;547;10;8400000;196072442200;488532;1200008;4090300;8110
AAS1DModeRangeTreesDS;synthetic;300000;100;0;0;547;50;8400000;196072442200;483814;1200008;4090300;7986
AAS1DModeRangeTreesDS;synthetic;300000;100;0;0;547;100;8400000;196072442200;483058;1200008;4090300;8072
AAS1DModeRangeTreesDS;synthetic;300000;100;0;0;547;500;8400000;196072442200;484552;1200008;4090300;9064
AAS1DModeRangeTreesDS;synthetic;300000;100;0;0;547;1000;8400000;196072442200;523908;1200008;4090300;10350
AAS1DModeRangeTreesDS;synthetic;300000;100;0;0;547;5000;8400000;196072442200;529839;1200008;4090300;8338
AAS1DModeRangeTreesDS;synthetic;300000;100;0;0;547;10000;8400000;196072442200;519067;1200008;4090300;9260
AAS1DModeRangeTreesDS;synthetic;300000;100;0;0;547;30000;8400000;196072442200;489096;1200008;4090300;10022
