DSType;dataType;numPoints;numColors;gamma;alpha;s;k;rangeSpace;rangeBuildTime;rangeQueryTime;modeSpace;modeBuildTime;modeQueryTime
AAS1DModeChanDS;synthetic;300000;25000;0;0;2;5;8400000;211591073300;506016;3600048;38711300;315
AAS1DModeChanDS;synthetic;300000;25000;0;0;2;10;8400000;211591073300;609582;3600048;38711300;694
AAS1DModeChanDS;synthetic;300000;25000;0;0;2;50;8400000;211591073300;505984;3600048;38711300;4496
AAS1DModeChanDS;synthetic;300000;25000;0;0;2;100;8400000;211591073300;737972;3600048;38711300;24094
AAS1DModeChanDS;synthetic;300000;25000;0;0;2;500;8400000;211591073300;801388;3600048;38711300;52319
AAS1DModeChanDS;synthetic;300000;25000;0;0;2;1000;8400000;211591073300;499362;3600048;38711300;111919
AAS1DModeChanDS;synthetic;300000;25000;0;0;2;5000;8400000;211591073300;552243;3600048;38711300;726587
AAS1DModeChanDS;synthetic;300000;25000;0;0;2;10000;8400000;211591073300;539150;3600048;38711300;1396679
AAS1DModeChanDS;synthetic;300000;25000;0;0;2;30000;8400000;211591073300;531225;3600048;38711300;4269046
AAS1DModeChanDS;synthetic;300000;25000;0;0;2;60000;8400000;211591073300;686102;3600048;38711300;7860810
AAS1DModeChanDS;synthetic;300000;25000;0;0;2;100000;8400000;211591073300;593121;3600048;38711300;14460621
AAS1DModeChanDS;synthetic;300000;25000;0;0;2;250000;8400000;211591073300;886258;3600048;38711300;33439737
AAS1DModeGridDS;synthetic;300000;25000;0;0;2;5;8400000;267131032500;500959;2400048;33772400;340
AAS1DModeGridDS;synthetic;300000;25000;0;0;2;10;8400000;267131032500;502916;2400048;33772400;712
AAS1DModeGridDS;synthetic;300000;25000;0;0;2;50;8400000;267131032500;545021;2400048;33772400;4322
AAS1DModeGridDS;synthetic;300000;25000;0;0;2;100;8400000;267131032500;501194;2400048;33772400;9512
AAS1DModeGridDS;synthetic;300000;25000;0;0;2;500;8400000;267131032500;509475;2400048;33772400;55413
AAS1DModeGridDS;synthetic;300000;25000;0;0;2;1000;8400000;267131032500;501908;2400048;33772400;116014
AAS1DModeGridDS;synthetic;300000;25000;0;0;2;5000;8400000;267131032500;499936;2400048;33772400;681636
AAS1DModeGridDS;synthetic;300000;25000;0;0;2;10000;8400000;267131032500;498966;2400048;33772400;1407362
AAS1DModeGridDS;synthetic;300000;25000;0;0;2;30000;8400000;267131032500;506340;2400048;33772400;4169062
AAS1DModeGridDS;synthetic;300000;25000;0;0;2;60000;8400000;267131032500;501574;2400048;33772400;7816892
AAS1DModeGridDS;synthetic;300000;25000;0;0;2;100000;8400000;267131032500;504684;2400048;33772400;15379489
AAS1DModeGridDS;synthetic;300000;25000;0;0;2;250000;8400000;267131032500;1060700;2400048;33772400;69344334
AAS1DModeChanDS;synthetic;300000;25000;0;0;5;5;8400000;343031573200;1000997;3600216;222208200;740
AAS1DModeChanDS;synthetic;300000;25000;0;0;5;10;8400000;343031573200;996263;3600216;222208200;1411
AAS1DModeChanDS;synthetic;300000;25000;0;0;5;50;8400000;343031573200;990336;3600216;222208200;11239
AAS1DModeChanDS;synthetic;300000;25000;0;0;5;100;8400000;343031573200;991853;3600216;222208200;23380
AAS1DModeChanDS;synthetic;300000;25000;0;0;5;500;8400000;343031573200;991850;3600216;222208200;134426
AAS1DModeChanDS;synthetic;300000;25000;0;0;5;1000;8400000;343031573200;987294;3600216;222208200;299365
AAS1DModeChanDS;synthetic;300000;25000;0;0;5;5000;8400000;343031573200;989681;3600216;222208200;1674872
AAS1DModeChanDS;synthetic;300000;25000;0;0;5;10000;8400000;343031573200;1018383;3600216;222208200;3257970
AAS1DModeChanDS;synthetic;300000;25000;0;0;5;30000;8400000;343031573200;1300763;3600216;222208200;7165004
AAS1DModeChanDS;synthetic;300000;25000;0;0;5;60000;8400000;343031573200;553025;3600216;222208200;8301516
AAS1DModeChanDS;synthetic;300000;25000;0;0;5;100000;8400000;343031573200;511638;3600216;222208200;16342983
AAS1DModeChanDS;synthetic;300000;25000;0;0;5;250000;8400000;343031573200;1389905;3600216;222208200;809632
AAS1DModeGridDS;synthetic;300000;25000;0;0;5;5;8400000;287994466400;514452;2400216;92848500;308
AAS1DModeGridDS;synthetic;300000;25000;0;0;5;10;8400000;287994466400;524182;2400216;92848500;656
AAS1DModeGridDS;synthetic;300000;25000;0;0;5;50;8400000;287994466400;509966;2400216;92848500;4991
AAS1DModeGridDS;synthetic;300000;25000;0;0;5;100;8400000;287994466400;508009;2400216;92848500;8977
AAS1DModeGridDS;synthetic;300000;25000;0;0;5;500;8400000;287994466400;516306;2400216;92848500;52466
AAS1DModeGridDS;synthetic;300000;25000;0;0;5;1000;8400000;287994466400;664991;2400216;92848500;122502
AAS1DModeGridDS;synthetic;300000;25000;0;0;5;5000;8400000;287994466400;606877;2400216;92848500;733405
AAS1DModeGridDS;synthetic;300000;25000;0;0;5;10000;8400000;287994466400;502654;2400216;92848500;1361526
AAS1DModeGridDS;synthetic;300000;25000;0;0;5;30000;8400000;287994466400;571566;2400216;92848500;4036575
AAS1DModeGridDS;synthetic;300000;25000;0;0;5;60000;8400000;287994466400;495477;2400216;92848500;7628057
AAS1DModeGridDS;synthetic;300000;25000;0;0;5;100000;8400000;287994466400;508345;2400216;92848500;10097576
AAS1DModeGridDS;synthetic;300000;25000;0;0;5;250000;8400000;287994466400;511744;2400216;92848500;9723276
AAS1DModeChanDS;synthetic;300000;25000;0;0;10;5;8400000;258783653100;994442;3600816;500710400;1203
AAS1DModeChanDS;synthetic;300000;25000;0;0;10;10;8400000;258783653100;1042621;3600816;500710400;2023
AAS1DModeChanDS;synthetic;300000;25000;0;0;10;50;8400000;258783653100;1005875;3600816;500710400;12230
AAS1DModeChanDS;synthetic;300000;25000;0;0;10;100;8400000;258783653100;1048472;3600816;500710400;23576
AAS1DModeChanDS;synthetic;300000;25000;0;0;10;500;8400000;258783653100;1095099;3600816;500710400;141879
AAS1DModeChanDS;synthetic;300000;25000;0;0;10;1000;8400000;258783653100;1006467;3600816;500710400;293392
AAS1DModeChanDS;synthetic;300000;25000;0;0;10;5000;8400000;258783653100;1006722;3600816;500710400;1720322
AAS1DModeChanDS;synthetic;300000;25000;0;0;10;10000;8400000;258783653100;1018389;3600816;500710400;3547859
AAS1DModeChanDS;synthetic;300000;25000;0;0;10;30000;8400000;258783653100;1006793;3600816;500710400;10853667
AAS1DModeChanDS;synthetic;300000;25000;0;0;10;60000;8400000;258783653100;1039038;3600816;500710400;7540880
AAS1DModeChanDS;synthetic;300000;25000;0;0;10;100000;8400000;258783653100;1092301;3600816;500710400;624286
AAS1DModeChanDS;synthetic;300000;25000;0;0;10;250000;8400000;258783653100;1060278;3600816;500710400;494048
AAS1DModeGridDS;synthetic;300000;25000;0;0;10;5;8400000;373191125300;996894;2400816;487598700;750
AAS1DModeGridDS;synthetic;300000;25000;0;0;10;10;8400000;373191125300;1026146;2400816;487598700;1843
AAS1DModeGridDS;synthetic;300000;25000;0;0;10;50;8400000;373191125300;987647;2400816;487598700;10336
AAS1DModeGridDS;synthetic;300000;25000;0;0;10;100;8400000;373191125300;1000963;2400816;487598700;23583
AAS1DModeGridDS;synthetic;300000;25000;0;0;10;500;8400000;373191125300;1016413;2400816;487598700;136617
AAS1DModeGridDS;synthetic;300000;25000;0;0;10;1000;8400000;373191125300;1007189;2400816;487598700;283693
AAS1DModeGridDS;synthetic;300000;25000;0;0;10;5000;8400000;373191125300;1008617;2400816;487598700;1750759
