DSType;dataType;numPoints;numColors;gamma;alpha;s;k;rangeSpace;rangeBuildTime;rangeQueryTime;modeSpace;modeBuildTime;modeQueryTime
AAS2DModeReportDS;synthetic;100000;25000;5000;0;46;1;61405680;235293200;126707;59805680;183970000;3772
AAS2DModeReportDS;synthetic;100000;25000;5000;0;46;3;61405680;235293200;129924;59805680;183970000;3788
AAS2DModeReportDS;synthetic;100000;25000;5000;0;46;10;61405680;235293200;141624;59805680;183970000;7222
AAS2DModeReportDS;synthetic;100000;25000;5000;0;46;30;61405680;235293200;169116;59805680;183970000;13014
AAS2DModeReportDS;synthetic;100000;25000;5000;0;46;100;61405680;235293200;169138;59805680;183970000;26899
AAS2DModeReportDS;synthetic;100000;25000;5000;0;46;300;61405680;235293200;142897;59805680;183970000;56318
AAS2DModeReportDS;synthetic;100000;25000;5000;0;46;1000;61405680;235293200;277357;59805680;183970000;209600
AAS2DModeReportDS;synthetic;100000;25000;5000;0;46;3000;61405680;235293200;329945;59805680;183970000;611765
AAS2DModeReportDS;synthetic;100000;25000;5000;0;46;10000;61405680;235293200;274437;59805680;183970000;1942898
AAS2DModeReportDS;synthetic;100000;25000;5000;0;46;20000;61405680;235293200;281132;59805680;183970000;3600432
AAS2DModeReportDS;synthetic;100000;25000;5000;0;46;30000;61405680;235293200;245471;59805680;183970000;5293141
AAS2DModeReportDS;synthetic;100000;25000;5000;0;46;40000;61405680;235293200;305379;59805680;183970000;6975577
AAS2DModeReportDS;synthetic;100000;25000;5000;0;46;50000;61405680;235293200;288255;59805680;183970000;8905659
AAS2DModeReportDS;synthetic;100000;25000;5000;0;46;60000;61405680;235293200;274783;59805680;183970000;10428802
AAS2DModeReportDS;synthetic;100000;25000;5000;0;46;70000;61405680;235293200;231446;59805680;183970000;11999470
AAS2DModeReportDS;synthetic;100000;25000;5000;0;46;80000;61405680;235293200;274962;59805680;183970000;12395128
AAS2DModeReportDS;synthetic;100000;25000;5000;0;46;90000;61405680;235293200;197694;59805680;183970000;15843874
AAS2DModeReportDS;synthetic;100000;25000;5000;0;46;100000;61405680;235293200;241423;59805680;183970000;17523475
