DSType;dataType;numPoints;numColors;gamma;alpha;s;k;rangeSpace;rangeBuildTime;rangeQueryTime;modeSpace;modeBuildTime;modeQueryTime
AAS2DModeReportDS;synthetic;10000;10000;0;0;21;1;5075696;18114500;44132;4915696;14232900;2634
AAS2DModeReportDS;synthetic;10000;10000;0;0;21;3;5075696;18114500;77750;4915696;14232900;4392
AAS2DModeReportDS;synthetic;10000;10000;0;0;21;10;5075696;18114500;76001;4915696;14232900;5680
AAS2DModeReportDS;synthetic;10000;10000;0;0;21;30;5075696;18114500;48134;4915696;14232900;5914
AAS2DModeReportDS;synthetic;10000;10000;0;0;21;100;5075696;18114500;44373;4915696;14232900;17247
AAS2DModeReportDS;synthetic;10000;10000;0;0;21;300;5075696;18114500;39613;4915696;14232900;45491
AAS2DModeReportDS;synthetic;10000;10000;0;0;21;1000;5075696;18114500;41167;4915696;14232900;147546
AAS2DModeReportDS;synthetic;10000;10000;0;0;21;3000;5075696;18114500;44082;4915696;14232900;482403
AAS2DModeReportDS;synthetic;10000;10000;0;0;21;10000;5075696;18114500;48482;4915696;14232900;1764503
AAS2DModePerColorDS;synthetic;10000;10000;0;0;21;1;5075696;14688100;32660;480000;3598200;67247
AAS2DModePerColorDS;synthetic;10000;10000;0;0;21;3;5075696;14688100;32487;480000;3598200;74023
AAS2DModePerColorDS;synthetic;10000;10000;0;0;21;10;5075696;14688100;34508;480000;3598200;86383
AAS2DModePerColorDS;synthetic;10000;10000;0;0;21;30;5075696;14688100;35971;480000;3598200;95116
AAS2DModePerColorDS;synthetic;10000;10000;0;0;21;100;5075696;14688100;40450;480000;3598200;125944
AAS2DModePerColorDS;synthetic;10000;10000;0;0;21;300;5075696;14688100;41879;480000;3598200;175787
AAS2DModePerColorDS;synthetic;10000;10000;0;0;21;1000;5075696;14688100;43485;480000;3598200;230781
AAS2DModePerColorDS;synthetic;10000;10000;0;0;21;3000;5075696;14688100;41094;480000;3598200;366979
AAS2DModePerColorDS;synthetic;10000;10000;0;0;21;10000;5075696;14688100;35546;480000;3598200;502761
Amc::GridNoColor;synthetic;10000;10000;0;0;21;1;5075696;16454300;35161;1626816;495123900;47848
Amc::GridNoColor;synthetic;10000;10000;0;0;21;3;5075696;16454300;32935;1626816;495123900;90426
