DSType;dataType;numPoints;numColors;gamma;alpha;s;k;rangeSpace;rangeBuildTime;rangeQueryTime;modeSpace;modeBuildTime;modeQueryTime
Amc::GridNoColor;synthetic;50000;25000;0;0;36;5;29102832;94303826;60646;12272584;14508783638;263319
Amc::GridNoColor;synthetic;50000;25000;0;0;36;10;29102832;94303826;61305;12272584;14508783638;293017
Amc::GridNoColor;synthetic;50000;25000;0;0;36;50;29102832;94303826;63175;12272584;14508783638;394132
Amc::GridNoColor;synthetic;50000;25000;0;0;36;100;29102832;94303826;64651;12272584;14508783638;535626
Amc::GridNoColor;synthetic;50000;25000;0;0;36;500;29102832;94303826;68403;12272584;14508783638;746417
Amc::GridNoColor;synthetic;50000;25000;0;0;36;1000;29102832;94303826;69967;12272584;14508783638;843958
Amc::GridNoColor;synthetic;50000;25000;0;0;36;5000;29102832;94303826;72751;12272584;14508783638;1006371
Amc::GridNoColor;synthetic;50000;25000;0;0;36;10000;29102832;94303826;71498;12272584;14508783638;984207
Amc::GridNoColor;synthetic;50000;25000;0;0;36;25000;29102832;94303826;70093;12272584;14508783638;948416
Amc::GridNoColor;synthetic;50000;25000;0;0;36;50000;29102832;94303826;61751;12272584;14508783638;774718
Amc::GridSelectColor;synthetic;50000;25000;0;0;36;5;29102832;70700065;63705;12267616;14569548782;5636
Amc::GridSelectColor;synthetic;50000;25000;0;0;36;10;29102832;70700065;65647;12267616;14569548782;8097
Amc::GridSelectColor;synthetic;50000;25000;0;0;36;50;29102832;70700065;63671;12267616;14569548782;21414
Amc::GridSelectColor;synthetic;50000;25000;0;0;36;100;29102832;70700065;65433;12267616;14569548782;38010
Amc::GridSelectColor;synthetic;50000;25000;0;0;36;500;29102832;70700065;71772;12267616;14569548782;103100
Amc::GridSelectColor;synthetic;50000;25000;0;0;36;1000;29102832;70700065;69626;12267616;14569548782;140779
Amc::GridSelectColor;synthetic;50000;25000;0;0;36;5000;29102832;70700065;72991;12267616;14569548782;298245
Amc::GridSelectColor;synthetic;50000;25000;0;0;36;10000;29102832;70700065;72292;12267616;14569548782;403789
Amc::GridSelectColor;synthetic;50000;25000;0;0;36;25000;29102832;70700065;70393;12267616;14569548782;623991
Amc::GridSelectColor;synthetic;50000;25000;0;0;36;50000;29102832;70700065;62908;12267616;14569548782;844999
Amc::GridColumnColor;synthetic;50000;25000;0;0;36;5;29102832;67545631;60593;12266680;14271804844;462718
Amc::GridColumnColor;synthetic;50000;25000;0;0;36;10;29102832;67545631;61566;12266680;14271804844;497011
Amc::GridColumnColor;synthetic;50000;25000;0;0;36;50;29102832;67545631;63401;12266680;14271804844;621069
Amc::GridColumnColor;synthetic;50000;25000;0;0;36;100;29102832;67545631;65419;12266680;14271804844;676313
Amc::GridColumnColor;synthetic;50000;25000;0;0;36;500;29102832;67545631;68186;12266680;14271804844;710674
Amc::GridColumnColor;synthetic;50000;25000;0;0;36;1000;29102832;67545631;69533;12266680;14271804844;787698
Amc::GridColumnColor;synthetic;50000;25000;0;0;36;5000;29102832;67545631;72757;12266680;14271804844;815550
Amc::GridColumnColor;synthetic;50000;25000;0;0;36;10000;29102832;67545631;74004;12266680;14271804844;928353
Amc::GridColumnColor;synthetic;50000;25000;0;0;36;25000;29102832;67545631;69436;12266680;14271804844;895307
Amc::GridColumnColor;synthetic;50000;25000;0;0;36;50000;29102832;67545631;61777;12266680;14271804844;747638
Amc::GridSortedColor;synthetic;50000;25000;0;0;36;5;29102832;67795988;61117;12269376;14726527572;362388
Amc::GridSortedColor;synthetic;50000;25000;0;0;36;10;29102832;67795988;62012;12269376;14726527572;369832
Amc::GridSortedColor;synthetic;50000;25000;0;0;36;50;29102832;67795988;64125;12269376;14726527572;514540
