DSType;dataType;numPoints;numColors;gamma;alpha;s;k;rangeSpace;rangeBuildTime;rangeQueryTime;modeSpace;modeBuildTime;modeQueryTime
Amc::GridNoColor;synthetic;50000;25000;0;0;36;5;29102832;94303826;60646;12272584;14508783638;263319
Amc::GridNoColor;synthetic;50000;25000;0;0;36;10;29102832;94303826;61305;12272584;14508783638;556336
Amc::GridNoColor;synthetic;50000;25000;0;0;36;50;29102832;94303826;63175;12272584;14508783638;950468
Amc::GridNoColor;synthetic;50000;25000;0;0;36;100;29102832;94303826;64651;12272584;14508783638;1486094
Amc::GridNoColor;synthetic;50000;25000;0;0;36;500;29102832;94303826;68403;12272584;14508783638;2232511
Amc::GridNoColor;synthetic;50000;25000;0;0;36;1000;29102832;94303826;69967;12272584;14508783638;3076469
Amc::GridNoColor;synthetic;50000;25000;0;0;36;5000;29102832;94303826;72751;12272584;14508783638;4082840
Amc::GridNoColor;synthetic;50000;25000;0;0;36;10000;29102832;94303826;71498;12272584;14508783638;5067047
Amc::GridNoColor;synthetic;50000;25000;0;0;36;25000;29102832;94303826;70093;12272584;14508783638;6015463
Amc::GridNoColor;synthetic;50000;25000;0;0;36;50000;29102832;94303826;61751;12272584;14508783638;6790181
Amc::GridSelectColor;synthetic;50000;25000;0;0;36;5;29102832;70700065;63705;12267616;14569548782;5636
Amc::GridSelectColor;synthetic;50000;25000;0;0;36;10;29102832;70700065;65647;12267616;14569548782;13733
Amc::GridSelectColor;synthetic;50000;25000;0;0;36;50;29102832;70700065;63671;12267616;14569548782;35147
Amc::GridSelectColor;synthetic;50000;25000;0;0;36;100;29102832;70700065;65433;12267616;14569548782;73157
Amc::GridSelectColor;synthetic;50000;25000;0;0;36;500;29102832;70700065;71772;12267616;14569548782;176257
Amc::GridSelectColor;synthetic;50000;25000;0;0;36;1000;29102832;70700065;69626;12267616;14569548782;317036
Amc::GridSelectColor;synthetic;50000;25000;0;0;36;5000;29102832;70700065;72991;12267616;14569548782;615281
Amc::GridSelectColor;synthetic;50000;25000;0;0;36;10000;29102832;70700065;72292;12267616;14569548782;1019070
Amc::GridSelectColor;synthetic;50000;25000;0;0;36;25000;29102832;70700065;70393;12267616;14569548782;1643061
Amc::GridSelectColor;synthetic;50000;25000;0;0;36;50000;29102832;70700065;62908;12267616;14569548782;2488060
Amc::GridColumnColor;synthetic;50000;25000;0;0;36;5;29102832;67545631;60593;12266680;14271804844;462718
Amc::GridColumnColor;synthetic;50000;25000;0;0;36;10;29102832;67545631;61566;12266680;14271804844;959729
Amc::GridColumnColor;synthetic;50000;25000;0;0;36;50;29102832;67545631;63401;12266680;14271804844;1580798
Amc::GridColumnColor;synthetic;50000;25000;0;0;36;100;29102832;67545631;65419;12266680;14271804844;2257111
Amc::GridColumnColor;synthetic;50000;25000;0;0;36;500;29102832;67545631;68186;12266680;14271804844;2967785
Amc::GridColumnColor;synthetic;50000;25000;0;0;36;1000;29102832;67545631;69533;12266680;14271804844;3755483
Amc::GridColumnColor;synthetic;50000;25000;0;0;36;5000;29102832;67545631;72757;12266680;14271804844;4571033
Amc::GridColumnColor;synthetic;50000;25000;0;0;36;10000;29102832;67545631;74004;12266680;14271804844;5499386
Amc::GridColumnColor;synthetic;50000;25000;0;0;36;25000;29102832;67545631;69436;12266680;14271804844;6394693
Amc::GridColumnColor;synthetic;50000;25000;0;0;36;50000;29102832;67545631;61777;12266680;14271804844;7142331
Amc::GridSortedColor;synthetic;50000;25000;0;0;36;5;29102832;67795988;61117;12269376;14726527572;362388
Amc::GridSortedColor;synthetic;50000;25000;0;0;36;10;29102832;67795988;62012;12269376;14726527572;732220
Amc::GridSortedColor;synthetic;50000;25000;0;0;36;50;29102832;67795988;64125;12269376;14726527572;1246760
Amc::GridSortedColor;synthetic;50000;25000;0;0;36;100;29102832;67795988;67365;12269376;14726527572;1710287
Amc::GridSortedColor;synthetic;50000;25000;0;0;36;500;29102832;67795988;68330;12269376;14726527572;2310840
Amc::GridSortedColor;synthetic;50000;25000;0;0;36;1000;29102832;67795988;71789;12269376;14726527572;2881080
Amc::GridSortedColor;synthetic;50000;25000;0;0;36;5000;29102832;67795988;73232;12269376;14726527572;3521966
Amc::GridSortedColor;synthetic;50000;25000;0;0;36;10000;29102832;67795988;72839;12269376;14726527572;4210245
Amc::GridSortedColor;synthetic;50000;25000;0;0;36;25000;29102832;67795988;69470;12269376;14726527572;4965601
Amc::GridSortedColor;synthetic;50000;25000;0;0;36;50000;29102832;67795988;62764;12269376;14726527572;5829166
Amc::GridNoColor;synthetic;75000;25000;0;0;42;5;45005680;124997970;79419;20980408;35867625157;465238
Amc::GridNoColor;synthetic;75000;25000;0;0;42;10;45005680;124997970;80387;20980408;35867625157;983517
Amc::GridNoColor;synthetic;75000;25000;0;0;42;50;45005680;124997970;81720;20980408;35867625157;1773952
Amc::GridNoColor;synthetic;75000;25000;0;0;42;100;45005680;124997970;83972;20980408;35867625157;2762691
Amc::GridNoColor;synthetic;75000;25000;0;0;42;500;45005680;124997970;87047;20980408;35867625157;4085608
Amc::GridNoColor;synthetic;75000;25000;0;0;42;1000;45005680;124997970;88832;20980408;35867625157;5706492
Amc::GridNoColor;synthetic;75000;25000;0;0;42;5000;45005680;124997970;92095;20980408;35867625157;7619335
Amc::GridNoColor;synthetic;75000;25000;0;0;42;10000;45005680;124997970;93874;20980408;35867625157;9476766
Amc::GridNoColor;synthetic;75000;25000;0;0;42;25000;45005680;124997970;91202;20980408;35867625157;11432072
Amc::GridNoColor;synthetic;75000;25000;0;0;42;50000;45005680;124997970;85308;20980408;35867625157;13277887
Amc::GridNoColor;synthetic;75000;25000;0;0;42;75000;45005680;124997970;78477;20980408;35867625157;14312053
