DSType;dataType;numPoints;numColors;gamma;alpha;s;k;rangeSpace;rangeBuildTime;rangeQueryTime;modeSpace;modeBuildTime;modeQueryTime
AAS2DModeReportDS;synthetic;100000;1;0;0;46;1;61405680;247216700;92294;59805680;242207400;2789
AAS2DModeReportDS;synthetic;100000;1;0;0;46;3;61405680;247216700;88527;59805680;242207400;4430
AAS2DModeReportDS;synthetic;100000;1;0;0;46;10;61405680;247216700;127160;59805680;242207400;5681
AAS2DModeReportDS;synthetic;100000;1;0;0;46;30;61405680;247216700;116733;59805680;242207400;5603
AAS2DModeReportDS;synthetic;100000;1;0;0;46;100;61405680;247216700;116074;59805680;242207400;12040
AAS2DModeReportDS;synthetic;100000;1;0;0;46;300;61405680;247216700;160056;59805680;242207400;12589
AAS2DModeReportDS;synthetic;100000;1;0;0;46;1000;61405680;247216700;109211;59805680;242207400;44744
AAS2DModeReportDS;synthetic;100000;1;0;0;46;3000;61405680;247216700;154648;59805680;242207400;109279
AAS2DModeReportDS;synthetic;100000;1;0;0;46;10000;61405680;247216700;123474;59805680;242207400;293458
AAS2DModeReportDS;synthetic;100000;1;0;0;46;20000;61405680;247216700;138065;59805680;242207400;488785
AAS2DModeReportDS;synthetic;100000;1;0;0;46;30000;61405680;247216700;118847;59805680;242207400;568819
AAS2DModeReportDS;synthetic;100000;1;0;0;46;40000;61405680;247216700;114178;59805680;242207400;938944
AAS2DModeReportDS;synthetic;100000;1;0;0;46;50000;61405680;247216700;124987;59805680;242207400;1333440
AAS2DModeReportDS;synthetic;100000;1;0;0;46;60000;61405680;247216700;131686;59805680;242207400;1772225
AAS2DModeReportDS;synthetic;100000;1;0;0;46;70000;61405680;247216700;109577;59805680;242207400;1998678
AAS2DModeReportDS;synthetic;100000;1;0;0;46;80000;61405680;247216700;123983;59805680;242207400;2694660
AAS2DModeReportDS;synthetic;100000;1;0;0;46;90000;61405680;247216700;102349;59805680;242207400;2794103
AAS2DModeReportDS;synthetic;100000;1;0;0;46;100000;61405680;247216700;125367;59805680;242207400;2910605
AAS2DModePerColorDS;synthetic;100000;1;0;0;46;1;61405680;187779100;92783;59805680;180873200;3125
AAS2DModePerColorDS;synthetic;100000;1;0;0;46;3;61405680;187779100;91141;59805680;180873200;2368
AAS2DModePerColorDS;synthetic;100000;1;0;0;46;10;61405680;187779100;119320;59805680;180873200;2777
AAS2DModePerColorDS;synthetic;100000;1;0;0;46;30;61405680;187779100;93282;59805680;180873200;2978
AAS2DModePerColorDS;synthetic;100000;1;0;0;46;100;61405680;187779100;96350;59805680;180873200;3045
AAS2DModePerColorDS;synthetic;100000;1;0;0;46;300;61405680;187779100;102182;59805680;180873200;3307
AAS2DModePerColorDS;synthetic;100000;1;0;0;46;1000;61405680;187779100;102516;59805680;180873200;3392
AAS2DModePerColorDS;synthetic;100000;1;0;0;46;3000;61405680;187779100;104554;59805680;180873200;3394
AAS2DModePerColorDS;synthetic;100000;1;0;0;46;10000;61405680;187779100;107008;59805680;180873200;3547
AAS2DModePerColorDS;synthetic;100000;1;0;0;46;20000;61405680;187779100;109977;59805680;180873200;3109
AAS2DModePerColorDS;synthetic;100000;1;0;0;46;30000;61405680;187779100;105862;59805680;180873200;2927
AAS2DModePerColorDS;synthetic;100000;1;0;0;46;40000;61405680;187779100;103626;59805680;180873200;3054
AAS2DModePerColorDS;synthetic;100000;1;0;0;46;50000;61405680;187779100;102916;59805680;180873200;2516
AAS2DModePerColorDS;synthetic;100000;1;0;0;46;60000;61405680;187779100;100011;59805680;180873200;2371
AAS2DModePerColorDS;synthetic;100000;1;0;0;46;70000;61405680;187779100;97767;59805680;180873200;1765
AAS2DModePerColorDS;synthetic;100000;1;0;0;46;80000;61405680;187779100;96959;59805680;180873200;1341
AAS2DModePerColorDS;synthetic;100000;1;0;0;46;90000;61405680;187779100;92441;59805680;180873200;802
AAS2DModePerColorDS;synthetic;100000;1;0;0;46;100000;61405680;187779100;91084;59805680;180873200;134
Amc::GridNoColor;synthetic;100000;1;0;0;46;1;61405680;188957100;106478;80380156;12980273300;20408
Amc::GridNoColor;synthetic;100000;1;0;0;46;3;61405680;188957100;92503;80380156;12980273300;21511
Amc::GridNoColor;synthetic;100000;1;0;0;46;10;61405680;188957100;96448;80380156;12980273300;25008
Amc::GridNoColor;synthetic;100000;1;0;0;46;30;61405680;188957100;93687;80380156;12980273300;27822
Amc::GridNoColor;synthetic;100000;1;0;0;46;100;61405680;188957100;111212;80380156;12980273300;36329
Amc::GridNoColor;synthetic;100000;1;0;0;46;300;61405680;188957100;121001;80380156;12980273300;54309
Amc::GridNoColor;synthetic;100000;1;0;0;46;1000;61405680;188957100;108981;80380156;12980273300;64167
Amc::GridNoColor;synthetic;100000;1;0;0;46;3000;61405680;188957100;104760;80380156;12980273300;64302
Amc::GridNoColor;synthetic;100000;1;0;0;46;10000;61405680;188957100;115688;80380156;12980273300;64076
Amc::GridNoColor;synthetic;100000;1;0;0;46;20000;61405680;188957100;108079;80380156;12980273300;64987
Amc::GridNoColor;synthetic;100000;1;0;0;46;30000;61405680;188957100;106609;80380156;12980273300;76743
Amc::GridNoColor;synthetic;100000;1;0;0;46;40000;61405680;188957100;105354;80380156;12980273300;61979
Amc::GridNoColor;synthetic;100000;1;0;0;46;50000;61405680;188957100;116481;80380156;12980273300;62355
Amc::GridNoColor;synthetic;100000;1;0;0;46;60000;61405680;188957100;98330;80380156;12980273300;61589
Amc::GridNoColor;synthetic;100000;1;0;0;46;70000;61405680;188957100;101166;80380156;12980273300;59261
Amc::GridNoColor;synthetic;100000;1;0;0;46;80000;61405680;188957100;102880;80380156;12980273300;57072
Amc::GridNoColor;synthetic;100000;1;0;0;46;90000;61405680;188957100;91735;80380156;12980273300;55867
Amc::GridNoColor;synthetic;100000;1;0;0;46;100000;61405680;188957100;90075;80380156;12980273300;53257
Amc::GridSelectColor;synthetic;100000;1;0;0;46;1;61405680;177103400;100234;80380156;12812562500;6073
Amc::GridSelectColor;synthetic;100000;1;0;0;46;3;61405680;177103400;91974;80380156;12812562500;8084
Amc::GridSelectColor;synthetic;100000;1;0;0;46;10;61405680;177103400;94772;80380156;12812562500;9604
Amc::GridSelectColor;synthetic;100000;1;0;0;46;30;61405680;177103400;93741;80380156;12812562500;13916
Amc::GridSelectColor;synthetic;100000;1;0;0;46;100;61405680;177103400;95315;80380156;12812562500;24085
Amc::GridSelectColor;synthetic;100000;1;0;0;46;300;61405680;177103400;100091;80380156;12812562500;37211
Amc::GridSelectColor;synthetic;100000;1;0;0;46;1000;61405680;177103400;103860;80380156;12812562500;42851
Amc::GridSelectColor;synthetic;100000;1;0;0;46;3000;61405680;177103400;107501;80380156;12812562500;49160
Amc::GridSelectColor;synthetic;100000;1;0;0;46;10000;61405680;177103400;109243;80380156;12812562500;66880
Amc::GridSelectColor;synthetic;100000;1;0;0;46;20000;61405680;177103400;107965;80380156;12812562500;71105
Amc::GridSelectColor;synthetic;100000;1;0;0;46;30000;61405680;177103400;105981;80380156;12812562500;73137
Amc::GridSelectColor;synthetic;100000;1;0;0;46;40000;61405680;177103400;119605;80380156;12812562500;72285
Amc::GridSelectColor;synthetic;100000;1;0;0;46;50000;61405680;177103400;102123;80380156;12812562500;73600
Amc::GridSelectColor;synthetic;100000;1;0;0;46;60000;61405680;177103400;101206;80380156;12812562500;69545
Amc::GridSelectColor;synthetic;100000;1;0;0;46;70000;61405680;177103400;100228;80380156;12812562500;65549
Amc::GridSelectColor;synthetic;100000;1;0;0;46;80000;61405680;177103400;96227;80380156;12812562500;66535
Amc::GridSelectColor;synthetic;100000;1;0;0;46;90000;61405680;177103400;94586;80380156;12812562500;61652
Amc::GridSelectColor;synthetic;100000;1;0;0;46;100000;61405680;177103400;93550;80380156;12812562500;65714
Amc::GridColumnColor;synthetic;100000;1;0;0;46;1;61405680;181137700;101094;80380156;13939710300;3046
Amc::GridColumnColor;synthetic;100000;1;0;0;46;3;61405680;181137700;91216;80380156;13939710300;3191
Amc::GridColumnColor;synthetic;100000;1;0;0;46;10;61405680;181137700;93799;80380156;13939710300;3401
Amc::GridColumnColor;synthetic;100000;1;0;0;46;30;61405680;181137700;92507;80380156;13939710300;3572
Amc::GridColumnColor;synthetic;100000;1;0;0;46;100;61405680;181137700;99409;80380156;13939710300;3676
Amc::GridColumnColor;synthetic;100000;1;0;0;46;300;61405680;181137700;96444;80380156;13939710300;4232
Amc::GridColumnColor;synthetic;100000;1;0;0;46;1000;61405680;181137700;105866;80380156;13939710300;4634
Amc::GridColumnColor;synthetic;100000;1;0;0;46;3000;61405680;181137700;111848;80380156;13939710300;4278
Amc::GridColumnColor;synthetic;100000;1;0;0;46;10000;61405680;181137700;114481;80380156;13939710300;4324
Amc::GridColumnColor;synthetic;100000;1;0;0;46;20000;61405680;181137700;119895;80380156;13939710300;4025
Amc::GridColumnColor;synthetic;100000;1;0;0;46;30000;61405680;181137700;109485;80380156;13939710300;3812
Amc::GridColumnColor;synthetic;100000;1;0;0;46;40000;61405680;181137700;104028;80380156;13939710300;3583
Amc::GridColumnColor;synthetic;100000;1;0;0;46;50000;61405680;181137700;128792;80380156;13939710300;3533
Amc::GridColumnColor;synthetic;100000;1;0;0;46;60000;61405680;181137700;104225;80380156;13939710300;2984
