DSType;dataType;numPoints;numColors;gamma;alpha;s;k;rangeSpace;rangeBuildTime;rangeQueryTime;modeSpace;modeBuildTime;modeQueryTime
AAS2DModeReportDS;synthetic;100000;10000;0;0;2;1;61405680;617930600;229650;59805680;474454000;4545
AAS2DModeReportDS;synthetic;100000;10000;0;0;2;3;61405680;617930600;218469;59805680;474454000;8353
AAS2DModeReportDS;synthetic;100000;10000;0;0;2;10;61405680;617930600;197354;59805680;474454000;10425
AAS2DModeReportDS;synthetic;100000;10000;0;0;2;30;61405680;617930600;221698;59805680;474454000;21996
AAS2DModeReportDS;synthetic;100000;10000;0;0;2;100;61405680;617930600;228343;59805680;474454000;38481
AAS2DModeReportDS;synthetic;100000;10000;0;0;2;300;61405680;617930600;228149;59805680;474454000;104037
AAS2DModeReportDS;synthetic;100000;10000;0;0;2;1000;61405680;617930600;219484;59805680;474454000;317293
AAS2DModeReportDS;synthetic;100000;10000;0;0;2;3000;61405680;617930600;269447;59805680;474454000;898825
AAS2DModeReportDS;synthetic;100000;10000;0;0;2;10000;61405680;617930600;240326;59805680;474454000;3244683
AAS2DModeReportDS;synthetic;100000;10000;0;0;2;20000;61405680;617930600;194131;59805680;474454000;5822768
AAS2DModeReportDS;synthetic;100000;10000;0;0;2;30000;61405680;617930600;247586;59805680;474454000;8206528
AAS2DModeReportDS;synthetic;100000;10000;0;0;2;40000;61405680;617930600;224513;59805680;474454000;10938284
AAS2DModeReportDS;synthetic;100000;10000;0;0;2;50000;61405680;617930600;214366;59805680;474454000;13666931
AAS2DModeReportDS;synthetic;100000;10000;0;0;2;60000;61405680;617930600;217929;59805680;474454000;15629101
AAS2DModeReportDS;synthetic;100000;10000;0;0;2;70000;61405680;617930600;202920;59805680;474454000;18619610
AAS2DModeReportDS;synthetic;100000;10000;0;0;2;80000;61405680;617930600;214681;59805680;474454000;20748239
AAS2DModeReportDS;synthetic;100000;10000;0;0;2;90000;61405680;617930600;198816;59805680;474454000;23536809
AAS2DModeReportDS;synthetic;100000;10000;0;0;2;100000;61405680;617930600;181481;59805680;474454000;26509438
AAS2DModePerColorDS;synthetic;100000;10000;0;0;2;1;61405680;375616400;178367;17289440;153052100;1304404
AAS2DModePerColorDS;synthetic;100000;10000;0;0;2;3;61405680;375616400;171696;17289440;153052100;1407953
AAS2DModePerColorDS;synthetic;100000;10000;0;0;2;10;61405680;375616400;186319;17289440;153052100;1429454
AAS2DModePerColorDS;synthetic;100000;10000;0;0;2;30;61405680;375616400;207716;17289440;153052100;1633729
AAS2DModePerColorDS;synthetic;100000;10000;0;0;2;100;61405680;375616400;197979;17289440;153052100;1988868
AAS2DModePerColorDS;synthetic;100000;10000;0;0;2;300;61405680;375616400;196339;17289440;153052100;2447105
AAS2DModePerColorDS;synthetic;100000;10000;0;0;2;1000;61405680;375616400;205064;17289440;153052100;3414934
AAS2DModePerColorDS;synthetic;100000;10000;0;0;2;3000;61405680;375616400;220660;17289440;153052100;4272435
