DSType;dataType;numPoints;numColors;gamma;alpha;s;k;rangeSpace;rangeBuildTime;rangeQueryTime;modeSpace;modeBuildTime;modeQueryTime
AAS2DModeReportDS;openML/dataset.arff;29166;29;0;0;30;1;16217680;59941500;31322;15751024;62299600;992
AAS2DModeReportDS;openML/dataset.arff;29166;29;0;0;30;3;16217680;59941500;30601;15751024;62299600;1172
AAS2DModeReportDS;openML/dataset.arff;29166;29;0;0;30;10;16217680;59941500;30700;15751024;62299600;1381
AAS2DModeReportDS;openML/dataset.arff;29166;29;0;0;30;30;16217680;59941500;33833;15751024;62299600;2141
AAS2DModeReportDS;openML/dataset.arff;29166;29;0;0;30;100;16217680;59941500;33665;15751024;62299600;2025
AAS2DModeReportDS;openML/dataset.arff;29166;29;0;0;30;300;16217680;59941500;31900;15751024;62299600;3351
AAS2DModeReportDS;openML/dataset.arff;29166;29;0;0;30;1000;16217680;59941500;46713;15751024;62299600;10156
AAS2DModeReportDS;openML/dataset.arff;29166;29;0;0;30;3000;16217680;59941500;29415;15751024;62299600;41856
AAS2DModeReportDS;openML/dataset.arff;29166;29;0;0;30;10000;16217680;59941500;76298;15751024;62299600;215193
AAS2DModeReportDS;openML/dataset.arff;29166;29;0;0;30;20000;16217680;59941500;66434;15751024;62299600;495087
AAS2DModePerColorDS;openML/dataset.arff;29166;29;0;0;30;1;16217680;140989400;99810;15629328;150460300;5168
AAS2DModePerColorDS;openML/dataset.arff;29166;29;0;0;30;3;16217680;140989400;76407;15629328;150460300;6011
AAS2DModePerColorDS;openML/dataset.arff;29166;29;0;0;30;10;16217680;140989400;78830;15629328;150460300;4978
AAS2DModePerColorDS;openML/dataset.arff;29166;29;0;0;30;30;16217680;140989400;164988;15629328;150460300;7055
AAS2DModePerColorDS;openML/dataset.arff;29166;29;0;0;30;100;16217680;140989400;91388;15629328;150460300;4975
AAS2DModePerColorDS;openML/dataset.arff;29166;29;0;0;30;300;16217680;140989400;77299;15629328;150460300;5344
AAS2DModePerColorDS;openML/dataset.arff;29166;29;0;0;30;1000;16217680;140989400;90207;15629328;150460300;4987
AAS2DModePerColorDS;openML/dataset.arff;29166;29;0;0;30;3000;16217680;140989400;100213;15629328;150460300;5407
AAS2DModePerColorDS;openML/dataset.arff;29166;29;0;0;30;10000;16217680;140989400;99066;15629328;150460300;4656
AAS2DModePerColorDS;openML/dataset.arff;29166;29;0;0;30;20000;16217680;140989400;99839;15629328;150460300;4786
Amc::GridNoColor;openML/dataset.arff;29166;29;0;0;30;1;16217680;123313500;91655;21275552;780970000;34056
Amc::GridNoColor;openML/dataset.arff;29166;29;0;0;30;3;16217680;123313500;93190;21275552;780970000;34681
Amc::GridNoColor;openML/dataset.arff;29166;29;0;0;30;10;16217680;123313500;83193;21275552;780970000;24638
Amc::GridNoColor;openML/dataset.arff;29166;29;0;0;30;30;16217680;123313500;86271;21275552;780970000;33452
Amc::GridNoColor;openML/dataset.arff;29166;29;0;0;30;100;16217680;123313500;84058;21275552;780970000;35150
Amc::GridNoColor;openML/dataset.arff;29166;29;0;0;30;300;16217680;123313500;84471;21275552;780970000;30700
Amc::GridNoColor;openML/dataset.arff;29166;29;0;0;30;1000;16217680;123313500;90746;21275552;780970000;55412
Amc::GridNoColor;openML/dataset.arff;29166;29;0;0;30;3000;16217680;123313500;82565;21275552;780970000;189690
Amc::GridNoColor;openML/dataset.arff;29166;29;0;0;30;10000;16217680;123313500;79596;21275552;780970000;177163
Amc::GridNoColor;openML/dataset.arff;29166;29;0;0;30;20000;16217680;123313500;80575;21275552;780970000;181390
Amc::GridSelectColor;openML/dataset.arff;29166;29;0;0;30;1;16217680;132010900;80704;21371448;676863500;7177
Amc::GridSelectColor;openML/dataset.arff;29166;29;0;0;30;3;16217680;132010900;85689;21371448;676863500;7450
Amc::GridSelectColor;openML/dataset.arff;29166;29;0;0;30;10;16217680;132010900;83625;21371448;676863500;5143
Amc::GridSelectColor;openML/dataset.arff;29166;29;0;0;30;30;16217680;132010900;89580;21371448;676863500;5839
Amc::GridSelectColor;openML/dataset.arff;29166;29;0;0;30;100;16217680;132010900;84166;21371448;676863500;6599
Amc::GridSelectColor;openML/dataset.arff;29166;29;0;0;30;300;16217680;132010900;78840;21371448;676863500;9874
Amc::GridSelectColor;openML/dataset.arff;29166;29;0;0;30;1000;16217680;132010900;77002;21371448;676863500;33728
Amc::GridSelectColor;openML/dataset.arff;29166;29;0;0;30;3000;16217680;132010900;86226;21371448;676863500;136492
Amc::GridSelectColor;openML/dataset.arff;29166;29;0;0;30;10000;16217680;132010900;76733;21371448;676863500;180375
Amc::GridSelectColor;openML/dataset.arff;29166;29;0;0;30;20000;16217680;132010900;73285;21371448;676863500;187850
Amc::GridColumnColor;openML/dataset.arff;29166;29;0;0;30;1;16217680;142569600;78038;21277760;694647600;5546
Amc::GridColumnColor;openML/dataset.arff;29166;29;0;0;30;3;16217680;142569600;70134;21277760;694647600;7114
Amc::GridColumnColor;openML/dataset.arff;29166;29;0;0;30;10;16217680;142569600;84464;21277760;694647600;4610
Amc::GridColumnColor;openML/dataset.arff;29166;29;0;0;30;30;16217680;142569600;81205;21277760;694647600;5985
Amc::GridColumnColor;openML/dataset.arff;29166;29;0;0;30;100;16217680;142569600;78337;21277760;694647600;4699
Amc::GridColumnColor;openML/dataset.arff;29166;29;0;0;30;300;16217680;142569600;97031;21277760;694647600;5618
Amc::GridColumnColor;openML/dataset.arff;29166;29;0;0;30;1000;16217680;142569600;92029;21277760;694647600;4724
Amc::GridColumnColor;openML/dataset.arff;29166;29;0;0;30;3000;16217680;142569600;86949;21277760;694647600;3693
Amc::GridColumnColor;openML/dataset.arff;29166;29;0;0;30;10000;16217680;142569600;85571;21277760;694647600;4651
Amc::GridColumnColor;openML/dataset.arff;29166;29;0;0;30;20000;16217680;142569600;78540;21277760;694647600;4333
