DSType;dataType;numPoints;numColors;gamma;alpha;s;k;rangeSpace;rangeBuildTime;rangeQueryTime;modeSpace;modeBuildTime;modeQueryTime
AAS2DModeReportDS;openML/php3CTpvq.arff;14933;22;0;0;24;1;7838176;24369400;44849;7599248;20701300;1079
AAS2DModeReportDS;openML/php3CTpvq.arff;14933;22;0;0;24;3;7838176;24369400;37775;7599248;20701300;1951
AAS2DModeReportDS;openML/php3CTpvq.arff;14933;22;0;0;24;10;7838176;24369400;43304;7599248;20701300;2913
AAS2DModeReportDS;openML/php3CTpvq.arff;14933;22;0;0;24;30;7838176;24369400;38550;7599248;20701300;4164
AAS2DModeReportDS;openML/php3CTpvq.arff;14933;22;0;0;24;100;7838176;24369400;42324;7599248;20701300;7356
AAS2DModeReportDS;openML/php3CTpvq.arff;14933;22;0;0;24;300;7838176;24369400;43288;7599248;20701300;13729
AAS2DModeReportDS;openML/php3CTpvq.arff;14933;22;0;0;24;1000;7838176;24369400;44227;7599248;20701300;33075
AAS2DModeReportDS;openML/php3CTpvq.arff;14933;22;0;0;24;3000;7838176;24369400;48402;7599248;20701300;77597
AAS2DModeReportDS;openML/php3CTpvq.arff;14933;22;0;0;24;10000;7838176;24369400;56876;7599248;20701300;239025
AAS2DModePerColorDS;openML/php3CTpvq.arff;14933;22;0;0;24;1;7838176;19801900;33299;5698400;16036400;5516
AAS2DModePerColorDS;openML/php3CTpvq.arff;14933;22;0;0;24;3;7838176;19801900;33969;5698400;16036400;6905
AAS2DModePerColorDS;openML/php3CTpvq.arff;14933;22;0;0;24;10;7838176;19801900;35590;5698400;16036400;7767
AAS2DModePerColorDS;openML/php3CTpvq.arff;14933;22;0;0;24;30;7838176;19801900;36639;5698400;16036400;9258
AAS2DModePerColorDS;openML/php3CTpvq.arff;14933;22;0;0;24;100;7838176;19801900;41257;5698400;16036400;11568
AAS2DModePerColorDS;openML/php3CTpvq.arff;14933;22;0;0;24;300;7838176;19801900;41288;5698400;16036400;13534
AAS2DModePerColorDS;openML/php3CTpvq.arff;14933;22;0;0;24;1000;7838176;19801900;44807;5698400;16036400;14610
AAS2DModePerColorDS;openML/php3CTpvq.arff;14933;22;0;0;24;3000;7838176;19801900;50050;5698400;16036400;17932
AAS2DModePerColorDS;openML/php3CTpvq.arff;14933;22;0;0;24;10000;7838176;19801900;57486;5698400;16036400;18749
