DSType;dataType;numPoints;numColors;gamma;alpha;s;k;rangeSpace;rangeBuildTime;rangeQueryTime;modeSpace;modeBuildTime;modeQueryTime
AAS2DModeReportDS;osm/1.points;5000;11;0;0;17;1;2377840;8090600;43435;2297840;9597500;1684
AAS2DModeReportDS;osm/1.points;5000;11;0;0;17;3;2377840;8090600;43637;2297840;9597500;1827
AAS2DModeReportDS;osm/1.points;5000;11;0;0;17;10;2377840;8090600;35708;2297840;9597500;2143
AAS2DModeReportDS;osm/1.points;5000;11;0;0;17;30;2377840;8090600;35257;2297840;9597500;3519
AAS2DModeReportDS;osm/1.points;5000;11;0;0;17;100;2377840;8090600;38808;2297840;9597500;5726
AAS2DModeReportDS;osm/1.points;5000;11;0;0;17;300;2377840;8090600;35640;2297840;9597500;9625
AAS2DModeReportDS;osm/1.points;5000;11;0;0;17;1000;2377840;8090600;47058;2297840;9597500;28119
AAS2DModeReportDS;osm/1.points;5000;11;0;0;17;3000;2377840;8090600;56806;2297840;9597500;51731
AAS2DModePerColorDS;osm/1.points;5000;11;0;0;17;1;2377840;12556100;38032;1853744;8053000;3884
AAS2DModePerColorDS;osm/1.points;5000;11;0;0;17;3;2377840;12556100;42239;1853744;8053000;2478
AAS2DModePerColorDS;osm/1.points;5000;11;0;0;17;10;2377840;12556100;42155;1853744;8053000;6536
AAS2DModePerColorDS;osm/1.points;5000;11;0;0;17;30;2377840;12556100;41365;1853744;8053000;3788
AAS2DModePerColorDS;osm/1.points;5000;11;0;0;17;100;2377840;12556100;32992;1853744;8053000;4294
AAS2DModePerColorDS;osm/1.points;5000;11;0;0;17;300;2377840;12556100;52562;1853744;8053000;7532
AAS2DModePerColorDS;osm/1.points;5000;11;0;0;17;1000;2377840;12556100;65161;1853744;8053000;7470
AAS2DModePerColorDS;osm/1.points;5000;11;0;0;17;3000;2377840;12556100;40500;1853744;8053000;4076
Amc::GridNoColor;osm/1.points;5000;11;0;0;17;1;2377840;7238700;32382;2794260;42582600;7267
