DSType;dataType;numPoints;numColors;gamma;alpha;s;k;rangeSpace;rangeBuildTime;rangeQueryTime;modeSpace;modeBuildTime;modeQueryTime
AAS1DModeReportDS;synthetic;300000;50000;0;0;547;5;8400000;356753972800;974590;1200000;894600;177
AAS1DModeReportDS;synthetic;300000;50000;0;0;547;10;8400000;356753972800;908976;1200000;894600;183
AAS1DModeReportDS;synthetic;300000;50000;0;0;547;50;8400000;356753972800;911103;1200000;894600;366
AAS1DModeReportDS;synthetic;300000;50000;0;0;547;100;8400000;356753972800;915205;1200000;894600;775
AAS1DModeReportDS;synthetic;300000;50000;0;0;547;500;8400000;356753972800;878128;1200000;894600;2710
AAS1DModeReportDS;synthetic;300000;50000;0;0;547;1000;8400000;356753972800;899825;1200000;894600;5403
AAS1DModeReportDS;synthetic;300000;50000;0;0;547;5000;8400000;356753972800;917362;1200000;894600;24637
AAS1DModeReportDS;synthetic;300000;50000;0;0;547;10000;8400000;356753972800;912221;1200000;894600;52563
AAS1DModeReportDS;synthetic;300000;50000;0;0;547;30000;8400000;356753972800;920237;1200000;894600;143704
AAS1DModeReportDS;synthetic;300000;50000;0;0;547;60000;8400000;356753972800;898501;1200000;894600;296663
AAS1DModeReportDS;synthetic;300000;50000;0;0;547;100000;8400000;356753972800;954283;1200000;894600;499200
AAS1DModeReportDS;synthetic;300000;50000;0;0;547;250000;8400000;356753972800;884510;1200000;894600;1222750
